Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.71889653 Degree
Longitude: -76.46400482 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,19,21,22,24,26
10-min:, 16,19,22,25,28,30,33,35,38,40
15-min:, 20,24,28,31,35,39,41,44,48,51
30-min:, 27,33,39,45,52,58,64,69,76,82
60-min:, 34,41,50,59,69,79,87,97,109,119
2-hr:, 41,49,61,72,87,99,112,125,143,159
3-hr:, 44,53,66,79,95,110,125,141,163,183
6-hr:, 54,64,80,96,116,135,154,175,205,233
12-hr:, 64,76,95,115,141,166,192,221,263,303
24-hr:, 70,85,110,132,165,194,226,263,319,368
2-day:, 80,98,127,152,190,223,260,302,365,419
3-day:, 85,103,134,159,198,232,269,311,374,429
4-day:, 90,109,140,167,206,240,278,320,383,438
7-day:, 104,126,159,187,229,264,303,346,410,463
10-day:, 119,143,177,207,248,283,321,361,420,470
20-day:, 159,190,230,262,307,344,382,421,477,520
30-day:, 198,235,280,316,365,404,444,484,539,582
45-day:, 248,293,344,383,435,475,514,553,604,642
60-day:, 295,347,402,444,497,537,575,612,659,692

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,21,23,25,27,29
10-min:, 18,21,24,27,31,34,36,39,42,45
15-min:, 22,26,30,34,39,43,46,49,53,57
30-min:, 30,36,43,50,58,64,70,76,84,92
60-min:, 37,45,55,65,77,87,97,107,121,134
2-hr:, 45,54,67,80,96,109,124,139,159,177
3-hr:, 49,60,74,88,106,122,139,157,182,205
6-hr:, 60,72,89,107,129,150,172,196,231,263
12-hr:, 72,87,108,130,159,187,217,250,299,346
24-hr:, 79,96,124,149,186,218,254,294,356,410
2-day:, 90,110,143,170,212,249,290,336,406,467
3-day:, 95,116,150,178,221,258,299,345,415,476
4-day:, 100,122,157,186,229,267,308,354,425,486
7-day:, 116,139,176,207,253,291,334,381,451,511
10-day:, 131,157,195,227,272,311,352,396,460,516
20-day:, 173,206,249,284,333,372,413,456,517,565
30-day:, 214,253,302,340,393,435,478,521,581,627
45-day:, 265,313,368,410,465,508,550,592,647,690
60-day:, 314,370,429,473,529,572,612,652,702,739

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,20,21,22
10-min:, 14,17,20,22,25,27,29,31,33,35
15-min:, 18,22,25,28,32,35,37,39,42,44
30-min:, 25,30,36,41,47,52,57,61,67,71
60-min:, 31,37,46,53,63,70,78,86,95,104
2-hr:, 37,45,55,65,78,88,99,110,124,137
3-hr:, 40,48,60,71,85,97,110,123,140,156
6-hr:, 48,58,71,85,103,119,135,152,175,196
12-hr:, 57,68,84,101,123,144,165,188,219,249
24-hr:, 62,76,98,118,146,171,198,228,272,310
2-day:, 72,88,114,136,169,197,228,263,313,356
3-day:, 77,93,120,143,177,206,237,272,323,365
4-day:, 81,99,127,150,185,214,246,281,332,375
7-day:, 95,114,144,170,206,237,270,306,358,401
10-day:, 109,131,162,188,226,256,289,323,372,413
20-day:, 147,175,212,241,282,315,348,382,429,466
30-day:, 184,218,260,293,338,373,408,443,491,527
45-day:, 232,273,321,357,404,440,476,510,555,587
60-day:, 276,325,377,416,465,501,536,569,610,639

Date/time (GMT):  Thu Feb 29 23:11:43 2024
pyRunTime:  0.009647846221923828
