Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.36586739 Degree
Longitude: -76.45479658 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,19,20
10-min:, 13,16,19,21,23,25,26,28,30,31
15-min:, 17,20,24,26,29,31,33,35,37,39
30-min:, 23,27,33,37,42,46,50,54,58,62
60-min:, 28,34,42,48,56,62,69,75,83,90
2-hr:, 33,41,51,59,71,80,90,101,117,130
3-hr:, 37,44,56,65,78,88,100,112,130,145
6-hr:, 45,55,69,80,97,111,127,145,170,192
12-hr:, 56,67,85,100,122,142,164,188,226,259
24-hr:, 64,77,98,116,143,167,194,225,273,314
2-day:, 74,90,114,134,165,192,221,254,304,347
3-day:, 79,95,120,142,174,202,232,267,319,364
4-day:, 83,100,126,149,182,212,244,280,334,381
7-day:, 98,118,147,172,209,242,277,316,375,426
10-day:, 113,135,167,193,231,264,298,336,391,437
20-day:, 154,182,219,248,289,323,358,394,445,487
30-day:, 191,225,265,297,342,377,414,451,503,543
45-day:, 240,283,327,362,408,444,479,513,559,594
60-day:, 288,338,388,426,476,513,549,585,631,665

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,20,21,22
10-min:, 15,18,21,23,25,27,29,31,33,34
15-min:, 18,22,26,29,32,34,36,38,41,43
30-min:, 25,30,37,41,47,51,55,59,64,68
60-min:, 31,38,47,53,62,69,75,82,91,99
2-hr:, 37,45,56,65,78,88,99,111,129,144
3-hr:, 41,49,62,72,86,98,110,124,144,162
6-hr:, 51,61,77,90,108,124,141,160,189,214
12-hr:, 63,76,95,112,136,158,182,209,250,287
24-hr:, 71,85,108,128,158,184,213,246,297,341
2-day:, 82,100,126,149,182,211,243,279,333,380
3-day:, 87,105,132,156,190,221,254,291,348,397
4-day:, 91,110,139,163,199,231,265,304,363,414
7-day:, 107,129,161,187,227,262,300,343,407,462
10-day:, 122,146,180,208,249,283,320,361,421,471
20-day:, 163,194,233,264,308,343,380,419,474,519
30-day:, 202,239,281,315,361,399,437,477,533,577
45-day:, 253,298,345,381,429,466,503,540,589,627
60-day:, 303,355,407,447,499,538,577,614,664,701

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,15,16,17,18
10-min:, 12,15,17,19,21,22,24,25,26,27
15-min:, 15,18,21,24,26,28,30,31,33,34
30-min:, 21,25,30,34,38,42,45,48,52,54
60-min:, 26,31,39,44,51,56,61,67,74,79
2-hr:, 30,37,46,53,64,72,80,89,102,113
3-hr:, 33,40,50,58,70,79,89,99,113,125
6-hr:, 41,50,62,72,86,99,112,126,146,163
12-hr:, 50,61,76,89,108,125,143,162,191,215
24-hr:, 58,71,89,106,129,150,173,198,236,268
2-day:, 68,82,104,122,149,172,197,224,264,297
3-day:, 72,87,110,129,158,182,208,236,278,313
4-day:, 77,92,116,136,166,191,219,249,293,330
7-day:, 91,109,136,159,192,220,250,283,332,372
10-day:, 105,126,155,179,214,242,272,305,351,388
20-day:, 145,172,206,233,271,301,332,364,408,443
30-day:, 180,213,250,280,321,353,386,419,464,498
45-day:, 228,269,311,344,387,419,452,483,524,554
60-day:, 275,322,370,406,452,487,520,552,593,624

Date/time (GMT):  Thu Feb 29 23:11:47 2024
pyRunTime:  0.00952601432800293
