Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.70586667 Degree
Longitude: -83.12606515 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,21,23
10-min:, 12,15,17,20,23,25,28,30,34,37
15-min:, 15,18,22,25,29,32,35,38,43,46
30-min:, 21,25,31,36,42,48,53,59,68,75
60-min:, 26,32,40,47,56,65,74,83,98,109
2-hr:, 31,38,47,55,68,78,90,103,123,141
3-hr:, 34,41,51,59,72,83,95,109,129,146
6-hr:, 42,50,61,71,86,98,111,126,148,166
12-hr:, 52,62,76,88,105,119,134,151,176,197
24-hr:, 65,77,94,107,127,143,160,179,206,228
2-day:, 79,94,114,130,153,172,191,212,243,267
3-day:, 84,99,120,136,160,178,198,219,248,272
4-day:, 88,105,126,143,166,185,205,226,254,277
7-day:, 109,129,153,172,196,215,233,252,276,296
10-day:, 126,149,174,192,216,233,250,267,288,307
20-day:, 175,206,237,260,289,310,330,348,371,387
30-day:, 217,254,288,313,344,366,387,406,428,444
45-day:, 273,318,356,384,417,441,461,480,502,517
60-day:, 329,383,428,460,498,525,548,569,594,611

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,19,21,24,26
10-min:, 14,16,19,22,25,28,30,33,37,41
15-min:, 17,21,24,28,32,35,39,42,47,51
30-min:, 24,28,35,40,47,53,59,66,75,83
60-min:, 30,36,45,52,63,72,81,92,107,121
2-hr:, 35,42,52,61,75,86,99,114,136,155
3-hr:, 38,45,56,65,79,91,104,119,141,161
6-hr:, 46,55,68,78,94,107,121,138,162,183
12-hr:, 57,68,83,96,114,129,146,164,192,215
24-hr:, 70,83,101,116,137,155,173,194,225,250
2-day:, 85,102,123,140,165,186,208,232,268,297
3-day:, 90,107,129,147,172,193,215,239,273,302
4-day:, 95,113,135,153,179,200,222,245,278,306
7-day:, 116,138,164,183,210,230,250,271,299,322
10-day:, 134,158,184,204,229,248,267,286,311,334
20-day:, 185,218,251,275,306,329,350,371,398,418
30-day:, 228,267,303,330,362,386,409,430,456,475
45-day:, 286,334,374,403,438,463,486,507,532,550
60-day:, 345,402,448,482,523,551,577,601,629,649

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,17,18,20
10-min:, 11,13,16,18,20,22,24,26,29,31
15-min:, 14,17,20,22,26,28,31,33,37,39
30-min:, 19,23,28,32,38,42,47,52,59,64
60-min:, 24,29,36,42,50,57,65,73,84,93
2-hr:, 29,34,43,50,61,70,80,90,106,120
3-hr:, 31,37,46,54,65,74,84,95,111,125
6-hr:, 39,46,56,65,78,88,99,112,130,144
12-hr:, 48,58,70,81,95,108,121,135,156,173
24-hr:, 60,72,87,99,117,131,145,160,181,198
2-day:, 74,87,106,120,141,157,173,190,214,232
3-day:, 78,93,111,127,147,164,180,197,220,238
4-day:, 82,98,117,133,154,171,187,204,226,244
7-day:, 102,121,144,161,183,199,215,231,250,266
10-day:, 119,140,163,180,202,218,233,247,265,280
20-day:, 165,194,224,245,272,290,308,324,343,356
30-day:, 206,240,273,296,325,345,364,380,399,413
45-day:, 260,303,339,365,396,418,437,454,473,485
60-day:, 313,365,408,438,474,499,520,539,561,575

Date/time (GMT):  Thu Feb 29 23:11:49 2024
pyRunTime:  0.11382198333740234
