Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.9947249 Degree
Longitude: -80.49988181 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,19,21,22
10-min:, 13,15,18,21,23,25,27,29,31,33
15-min:, 16,19,23,25,29,31,34,36,39,41
30-min:, 21,25,31,35,41,45,49,53,58,61
60-min:, 26,31,39,45,53,59,65,72,80,86
2-hr:, 30,36,45,53,62,70,78,86,97,105
3-hr:, 32,39,49,56,67,75,84,93,105,115
6-hr:, 39,47,58,67,79,90,101,112,128,141
12-hr:, 46,55,68,78,93,105,118,131,151,167
24-hr:, 56,66,80,92,107,120,134,147,167,182
2-day:, 66,78,93,106,123,136,150,164,184,199
3-day:, 71,84,100,113,131,144,158,173,192,206
4-day:, 76,90,107,121,139,153,167,181,200,214
7-day:, 94,111,130,144,163,178,192,206,224,238
10-day:, 109,128,149,164,184,200,214,228,246,259
20-day:, 155,181,207,227,251,269,286,302,321,335
30-day:, 197,230,260,282,309,329,347,364,384,399
45-day:, 253,295,329,355,386,408,428,446,468,482
60-day:, 307,356,395,424,458,483,504,523,545,560

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,24
10-min:, 14,17,20,23,26,28,30,32,34,36
15-min:, 17,21,25,28,32,34,37,39,42,45
30-min:, 23,28,34,39,45,49,53,58,63,67
60-min:, 28,34,43,49,58,65,71,78,87,94
2-hr:, 33,40,50,58,68,77,85,94,105,115
3-hr:, 36,43,54,62,73,82,92,102,115,126
6-hr:, 43,52,64,74,87,98,110,122,138,152
12-hr:, 51,61,75,86,102,115,129,143,164,181
24-hr:, 61,72,87,100,117,131,145,159,180,196
2-day:, 71,84,100,114,132,146,161,176,197,213
3-day:, 76,90,108,121,140,154,169,184,204,220
4-day:, 82,97,115,129,148,163,177,192,212,227
7-day:, 99,117,137,153,173,188,203,218,237,252
10-day:, 115,135,157,174,195,211,226,241,259,273
20-day:, 163,191,218,239,264,283,300,317,337,352
30-day:, 207,242,273,297,325,346,365,383,404,419
45-day:, 266,309,346,373,405,429,450,469,491,507
60-day:, 321,373,414,443,479,505,527,547,570,586

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,19,20
10-min:, 12,14,17,19,21,23,24,26,28,29
15-min:, 14,17,21,23,26,28,30,32,35,36
30-min:, 19,23,28,32,37,40,44,47,51,54
60-min:, 23,28,36,41,48,53,59,64,71,76
2-hr:, 27,33,41,48,56,63,70,77,86,93
3-hr:, 29,35,44,51,60,67,75,82,93,101
6-hr:, 35,43,53,61,72,81,90,99,112,122
12-hr:, 42,51,62,71,84,94,105,117,132,145
24-hr:, 51,61,74,84,99,110,122,134,151,164
2-day:, 61,72,86,98,113,126,138,151,168,181
3-day:, 66,78,93,105,121,134,146,159,176,189
4-day:, 71,85,100,113,129,142,155,167,184,197
7-day:, 88,104,122,136,154,167,180,193,209,221
10-day:, 103,121,140,155,174,188,201,214,230,242
20-day:, 146,172,196,215,237,254,270,284,302,314
30-day:, 186,218,246,267,293,312,329,345,363,376
45-day:, 241,280,314,338,368,388,407,424,444,457
60-day:, 294,341,378,406,438,461,481,500,520,534

Date/time (GMT):  Thu Feb 29 23:11:54 2024
pyRunTime:  0.013041019439697266
