Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.78228667 Degree
Longitude: -79.44596041 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,17,18,19
10-min:, 12,14,17,19,22,24,26,27,29,31
15-min:, 15,18,22,24,28,30,32,34,37,38
30-min:, 20,25,31,35,41,45,49,53,58,62
60-min:, 25,31,40,46,55,61,68,75,84,91
2-hr:, 29,36,46,54,64,73,81,89,101,109
3-hr:, 32,38,49,57,69,77,87,96,108,117
6-hr:, 40,48,60,71,85,96,109,121,139,153
12-hr:, 49,58,74,86,105,120,137,155,182,203
24-hr:, 61,73,93,109,133,152,173,195,228,254
2-day:, 71,86,108,127,153,174,197,220,254,281
3-day:, 76,92,115,135,162,184,208,233,267,295
4-day:, 81,98,123,143,171,194,219,245,280,309
7-day:, 94,113,140,162,192,216,240,266,301,329
10-day:, 107,129,157,180,209,232,256,279,310,335
20-day:, 144,171,205,232,267,295,323,350,387,414
30-day:, 178,210,247,275,311,339,365,391,424,448
45-day:, 225,265,306,337,376,405,433,459,491,514
60-day:, 268,315,359,391,432,461,488,512,542,562

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,19,21,22
10-min:, 13,16,19,21,24,26,28,30,33,35
15-min:, 16,20,24,27,31,33,36,38,41,43
30-min:, 23,27,34,39,46,50,55,60,66,70
60-min:, 28,34,44,51,61,68,76,84,94,102
2-hr:, 33,40,51,60,71,81,90,100,113,123
3-hr:, 35,43,55,64,76,86,96,107,122,133
6-hr:, 44,53,68,79,94,107,121,136,157,174
12-hr:, 55,66,83,98,118,136,155,176,208,235
24-hr:, 66,79,101,118,143,164,187,211,245,274
2-day:, 77,93,117,136,164,187,212,238,274,304
3-day:, 82,99,125,145,174,198,224,251,289,319
4-day:, 87,105,132,154,185,210,236,264,303,335
7-day:, 100,121,150,173,205,231,258,286,324,354
10-day:, 114,137,168,191,222,247,273,298,332,359
20-day:, 153,182,218,246,284,314,344,374,414,445
30-day:, 188,222,260,290,328,357,386,413,450,476
45-day:, 235,277,320,353,394,424,454,481,516,541
60-day:, 281,329,375,409,452,482,511,537,569,591

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,14,15,16,16
10-min:, 11,13,15,17,19,21,22,24,25,26
15-min:, 13,16,20,22,25,27,28,30,31,32
30-min:, 18,22,28,32,37,40,43,46,50,53
60-min:, 23,28,36,41,49,54,60,65,72,77
2-hr:, 27,32,42,49,58,65,71,78,86,92
3-hr:, 29,35,44,52,61,69,76,84,93,99
6-hr:, 36,43,55,63,76,85,95,105,118,127
12-hr:, 44,53,66,77,93,105,118,132,150,164
24-hr:, 56,68,86,101,122,139,157,176,203,224
2-day:, 66,80,100,117,141,160,179,200,228,250
3-day:, 70,85,107,124,149,169,189,210,239,262
4-day:, 75,90,113,132,157,178,199,221,250,274
7-day:, 87,105,130,150,177,198,220,242,271,294
10-day:, 100,120,147,168,195,216,236,257,283,304
20-day:, 136,162,193,218,250,275,300,324,356,379
30-day:, 169,199,234,260,294,319,342,365,394,415
45-day:, 214,252,291,320,357,383,408,432,460,479
60-day:, 257,301,343,374,412,439,464,486,513,530

Date/time (GMT):  Thu Feb 29 23:11:56 2024
pyRunTime:  0.008838176727294922
