Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.72593444 Degree
Longitude: -77.77970931 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,11,13,15,17,20,22,26,29
10-min:, 9,12,15,18,22,25,28,31,37,42
15-min:, 11,14,18,21,26,29,33,37,44,49
30-min:, 15,19,24,29,35,40,45,50,59,67
60-min:, 20,24,31,36,44,50,57,64,75,85
2-hr:, 24,29,37,44,54,61,68,77,90,101
3-hr:, 27,33,42,49,60,67,75,85,99,111
6-hr:, 33,39,50,58,70,79,88,100,116,130
12-hr:, 40,48,59,69,82,92,103,116,136,153
24-hr:, 48,56,70,81,96,108,120,135,158,177
2-day:, 55,65,81,94,112,125,139,156,180,199
3-day:, 61,71,88,102,121,136,151,168,192,212
4-day:, 66,77,94,109,129,144,159,177,202,222
7-day:, 78,90,109,125,147,164,181,200,227,248
10-day:, 90,103,123,140,164,182,200,220,248,269
20-day:, 127,142,166,186,213,234,256,277,304,325
30-day:, 159,175,202,224,254,278,301,323,351,371
45-day:, 198,216,246,271,305,331,357,380,409,428
60-day:, 231,251,283,310,347,377,404,429,458,478

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,13,16,20,23,27,31,38,43
10-min:, 12,15,19,23,29,33,38,44,53,61
15-min:, 14,17,22,26,34,39,45,52,63,72
30-min:, 19,24,30,36,46,53,62,71,85,98
60-min:, 25,30,39,46,58,67,78,90,108,124
2-hr:, 30,36,47,56,70,81,94,107,128,146
3-hr:, 34,40,52,61,77,89,103,117,140,159
6-hr:, 41,48,61,72,90,103,119,135,162,185
12-hr:, 49,58,72,84,105,120,138,156,188,215
24-hr:, 58,68,84,98,121,138,159,180,215,245
2-day:, 66,77,96,112,139,158,181,205,243,274
3-day:, 72,84,105,122,149,170,194,219,258,289
4-day:, 78,90,111,129,158,179,204,230,270,301
7-day:, 91,105,128,147,179,202,229,258,300,333
10-day:, 105,119,144,164,198,223,252,282,325,359
20-day:, 146,163,192,215,254,283,315,350,395,429
30-day:, 182,200,231,258,300,332,366,405,452,485
45-day:, 226,246,281,310,357,393,431,474,523,557
60-day:, 262,285,322,354,405,444,485,532,583,618

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 5,6,8,10,12,13,14,15,17,19
10-min:, 7,9,12,14,16,18,20,21,24,26
15-min:, 9,11,14,16,19,21,23,25,28,31
30-min:, 12,15,19,22,26,29,32,34,39,42
60-min:, 16,19,24,28,34,37,41,43,49,54
2-hr:, 19,23,30,35,41,45,50,53,59,65
3-hr:, 22,26,33,39,46,50,55,58,65,71
6-hr:, 27,32,40,47,54,60,65,69,77,85
12-hr:, 33,39,48,56,65,71,77,81,92,101
24-hr:, 39,46,57,66,76,84,91,96,107,118
2-day:, 46,54,67,77,89,98,106,112,124,134
3-day:, 51,60,73,85,97,107,115,121,133,144
4-day:, 55,64,79,90,104,113,122,128,141,151
7-day:, 66,76,92,105,120,130,140,147,160,170
10-day:, 77,87,105,118,134,145,155,162,176,186
20-day:, 110,122,142,158,176,189,199,207,219,228
30-day:, 138,151,174,192,210,225,235,243,254,261
45-day:, 173,188,214,234,254,270,280,288,298,304
60-day:, 203,220,247,269,291,308,318,327,336,341

Date/time (GMT):  Thu Feb 29 23:12:00 2024
pyRunTime:  0.008377790451049805
