Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.8299479 Degree
Longitude: -81.93526088 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,19,21,23,24
10-min:, 14,16,19,22,25,27,29,31,34,35
15-min:, 17,20,24,27,31,33,36,39,42,44
30-min:, 22,27,33,37,43,48,52,56,62,67
60-min:, 27,33,41,47,56,63,70,77,86,94
2-hr:, 31,38,47,54,65,73,81,90,102,112
3-hr:, 33,40,50,57,68,77,86,96,109,120
6-hr:, 39,47,58,67,80,90,101,112,128,141
12-hr:, 46,55,67,77,91,103,115,128,146,161
24-hr:, 56,67,81,92,108,121,135,149,168,184
2-day:, 68,81,97,110,128,142,156,171,192,208
3-day:, 74,88,104,118,136,151,165,180,200,215
4-day:, 80,94,112,126,145,159,174,188,208,223
7-day:, 96,113,132,147,167,182,196,211,229,243
10-day:, 111,131,152,168,188,204,218,232,250,263
20-day:, 155,182,208,228,252,270,287,303,322,336
30-day:, 195,227,257,279,307,326,344,361,381,395
45-day:, 248,288,323,348,378,400,420,437,458,472
60-day:, 300,349,387,415,448,472,493,512,533,548

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,15,18,19,21,23,25,27
10-min:, 15,18,21,24,27,29,32,34,37,39
15-min:, 18,22,26,29,33,36,39,42,46,49
30-min:, 24,29,36,41,47,52,57,62,68,73
60-min:, 30,36,45,52,61,69,76,84,94,103
2-hr:, 34,42,52,60,71,80,89,99,112,123
3-hr:, 37,44,55,63,75,85,94,105,119,131
6-hr:, 43,52,64,74,88,99,111,123,140,154
12-hr:, 51,60,74,84,100,112,125,139,159,175
24-hr:, 60,72,87,99,116,129,143,158,178,194
2-day:, 73,86,103,117,136,151,166,182,204,220
3-day:, 79,93,111,125,144,159,175,190,211,227
4-day:, 84,100,119,133,153,168,183,199,219,235
7-day:, 101,120,140,156,176,192,207,222,241,255
10-day:, 117,138,160,177,198,214,230,245,263,277
20-day:, 163,191,218,239,265,284,301,318,338,353
30-day:, 204,238,269,292,321,341,360,377,398,413
45-day:, 258,301,336,363,394,417,437,456,477,492
60-day:, 314,364,404,433,468,492,514,534,557,572

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,17,18,20,21
10-min:, 12,15,18,20,22,24,26,28,30,31
15-min:, 15,18,22,24,27,30,32,34,37,39
30-min:, 20,24,30,34,39,43,46,50,55,58
60-min:, 25,30,37,43,50,56,62,68,76,82
2-hr:, 28,34,43,49,58,65,72,79,89,97
3-hr:, 30,36,45,52,62,69,77,85,96,104
6-hr:, 36,43,53,61,72,81,90,100,113,123
12-hr:, 42,50,62,71,83,93,104,114,129,141
24-hr:, 53,63,76,86,101,113,125,137,155,168
2-day:, 64,76,91,103,120,133,146,159,177,191
3-day:, 70,83,99,111,128,141,154,168,185,199
4-day:, 75,89,106,119,136,149,163,176,194,207
7-day:, 91,107,126,140,158,172,185,198,215,227
10-day:, 106,124,144,159,178,193,207,220,236,248
20-day:, 148,173,198,217,240,257,272,287,305,317
30-day:, 186,217,245,266,292,311,327,343,361,374
45-day:, 237,276,309,333,362,382,401,417,437,450
60-day:, 287,334,370,397,429,452,471,489,509,523

Date/time (GMT):  Thu Feb 29 23:12:02 2024
pyRunTime:  0.0658273696899414
