Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.97849713 Degree
Longitude: -77.9627492 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,20,21,22
10-min:, 14,17,20,22,25,27,29,31,33,35
15-min:, 18,21,25,28,32,35,37,39,42,44
30-min:, 25,29,36,41,47,52,57,61,67,71
60-min:, 31,37,46,54,63,71,78,86,95,104
2-hr:, 36,44,54,64,77,87,97,108,123,135
3-hr:, 39,48,59,70,83,94,106,118,133,147
6-hr:, 49,58,72,86,103,118,134,150,173,193
12-hr:, 60,72,89,106,129,150,171,195,229,260
24-hr:, 69,84,107,127,157,182,210,240,286,324
2-day:, 81,98,125,147,179,206,235,266,312,350
3-day:, 86,104,132,156,190,218,248,282,330,370
4-day:, 91,110,140,164,200,230,262,297,347,389
7-day:, 105,126,158,184,222,253,287,322,374,417
10-day:, 119,143,177,204,243,275,308,344,394,434
20-day:, 159,190,229,261,303,337,371,405,452,489
30-day:, 196,232,275,307,350,382,414,445,485,515
45-day:, 246,291,340,377,424,459,493,525,566,597
60-day:, 291,342,395,434,485,522,557,591,633,663

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,17,19,20,22,23,25
10-min:, 16,19,22,25,28,30,32,34,37,39
15-min:, 20,24,28,31,35,38,41,43,46,49
30-min:, 27,33,40,46,52,58,63,67,74,79
60-min:, 34,41,51,59,69,78,86,95,106,115
2-hr:, 41,49,61,72,86,97,109,121,137,151
3-hr:, 45,54,67,79,94,106,119,132,150,166
6-hr:, 56,67,83,98,118,135,152,171,197,220
12-hr:, 69,82,102,121,147,170,194,220,259,294
24-hr:, 77,94,120,142,174,201,232,265,315,357
2-day:, 90,109,138,163,197,227,258,293,344,387
3-day:, 95,115,146,171,208,239,273,309,362,407
4-day:, 100,121,153,180,219,252,287,325,380,428
7-day:, 115,138,173,201,241,275,312,351,409,456
10-day:, 129,155,191,221,262,297,333,371,426,471
20-day:, 170,203,245,279,324,359,396,433,485,525
30-day:, 208,247,292,326,371,406,439,473,517,551
45-day:, 261,308,359,398,448,485,521,556,601,635
60-day:, 307,361,416,458,511,550,588,624,670,703

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,15,18,20,23,24,26,27,29,30
15-min:, 16,19,23,26,29,31,33,35,37,38
30-min:, 22,27,32,37,42,46,50,54,58,61
60-min:, 28,33,41,48,56,63,69,75,83,90
2-hr:, 32,39,49,57,68,76,85,94,105,115
3-hr:, 35,42,52,61,73,82,92,101,113,123
6-hr:, 43,52,64,75,89,102,114,127,145,160
12-hr:, 53,64,79,93,112,129,146,164,190,212
24-hr:, 63,76,97,115,140,162,185,210,246,276
2-day:, 74,89,113,133,161,184,209,235,272,302
3-day:, 79,95,121,142,171,196,222,250,289,320
4-day:, 83,101,128,150,182,208,235,264,306,339
7-day:, 97,117,146,169,203,230,258,289,331,365
10-day:, 110,132,163,188,223,251,280,310,352,385
20-day:, 149,178,215,243,282,312,342,373,413,443
30-day:, 184,218,258,288,327,357,385,413,448,474
45-day:, 232,274,321,355,399,431,461,490,527,552
60-day:, 275,324,373,410,457,492,523,554,591,617

Date/time (GMT):  Thu Feb 29 23:12:47 2024
pyRunTime:  0.01102757453918457
