Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.94618528 Degree
Longitude: -78.24133319 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,20,21,23
10-min:, 15,18,21,23,26,28,30,32,34,36
15-min:, 19,22,26,30,33,36,38,40,43,45
30-min:, 26,31,37,43,49,54,59,63,68,72
60-min:, 32,39,48,56,65,73,81,88,98,105
2-hr:, 38,46,57,67,80,90,101,112,127,140
3-hr:, 41,49,61,72,86,98,110,122,138,152
6-hr:, 50,59,74,87,105,120,136,153,177,198
12-hr:, 59,71,88,105,128,149,170,194,227,257
24-hr:, 69,83,107,126,155,180,206,236,280,317
2-day:, 80,97,124,146,177,204,232,262,307,344
3-day:, 85,103,131,154,187,214,244,276,322,360
4-day:, 90,109,138,162,197,225,256,289,337,376
7-day:, 104,125,156,182,218,248,280,314,362,402
10-day:, 118,142,175,202,239,270,302,336,383,421
20-day:, 161,192,231,263,305,339,372,407,453,490
30-day:, 199,236,279,312,354,387,418,449,490,520
45-day:, 250,295,345,382,430,465,499,532,574,605
60-day:, 298,351,405,446,497,535,572,606,650,681

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,16,18,20,21,23,24,25
10-min:, 17,20,23,26,29,32,34,36,38,40
15-min:, 21,25,30,33,37,40,43,45,48,50
30-min:, 29,35,42,48,55,60,65,70,76,81
60-min:, 36,44,54,63,73,82,90,98,109,118
2-hr:, 43,52,64,75,90,101,113,126,143,157
3-hr:, 46,56,69,81,97,110,123,137,155,171
6-hr:, 56,67,84,99,118,136,153,172,198,221
12-hr:, 67,80,99,118,143,165,189,214,252,285
24-hr:, 76,92,118,139,171,197,226,259,307,348
2-day:, 88,107,136,160,194,222,253,287,336,377
3-day:, 93,113,144,168,204,234,266,301,352,395
4-day:, 99,119,151,177,215,246,280,316,368,413
7-day:, 114,137,170,198,237,270,304,342,395,440
10-day:, 129,154,190,219,259,292,327,364,416,458
20-day:, 173,206,249,282,328,364,400,438,489,529
30-day:, 212,252,297,332,377,412,446,480,524,558
45-day:, 266,313,366,405,456,494,531,566,612,646
60-day:, 316,371,428,471,526,566,605,642,690,724

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,19,19
10-min:, 14,16,19,21,23,25,27,28,30,31
15-min:, 17,20,23,26,29,32,34,35,37,38
30-min:, 23,28,33,38,43,48,51,55,59,62
60-min:, 29,35,43,50,58,64,71,77,85,91
2-hr:, 34,41,50,59,70,79,88,97,109,118
3-hr:, 36,44,54,64,75,85,95,105,118,129
6-hr:, 44,53,65,77,92,105,118,131,149,164
12-hr:, 53,63,79,94,113,130,148,166,192,214
24-hr:, 63,76,97,114,140,161,183,207,243,271
2-day:, 74,90,114,133,161,184,208,234,270,299
3-day:, 78,95,120,141,170,194,219,246,284,314
4-day:, 83,100,127,148,179,204,231,258,297,329
7-day:, 96,116,144,167,199,226,253,282,323,355
10-day:, 110,132,162,186,220,248,275,305,344,376
20-day:, 150,179,216,244,283,313,342,372,412,443
30-day:, 187,221,261,292,331,360,389,416,451,477
45-day:, 235,277,324,358,402,435,466,495,532,558
60-day:, 281,331,382,420,467,502,535,566,605,632

Date/time (GMT):  Thu Feb 29 23:12:49 2024
pyRunTime:  0.0345613956451416
