Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.17821699 Degree
Longitude: -75.9850149 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,20,22,25
10-min:, 13,15,18,20,23,25,27,30,33,36
15-min:, 16,19,22,25,28,31,34,37,41,45
30-min:, 21,25,30,34,40,44,49,54,61,67
60-min:, 25,31,38,44,52,58,65,73,85,95
2-hr:, 30,36,45,52,63,73,85,98,118,137
3-hr:, 33,39,48,56,69,80,93,107,131,152
6-hr:, 41,49,60,70,85,98,114,132,162,188
12-hr:, 50,59,74,86,105,122,143,167,205,240
24-hr:, 60,71,89,104,128,150,177,208,259,306
2-day:, 70,84,104,121,149,175,206,243,302,357
3-day:, 74,89,109,127,156,183,215,252,312,368
4-day:, 79,94,115,134,163,191,223,261,323,380
7-day:, 93,110,134,155,188,218,253,294,359,419
10-day:, 107,128,153,176,210,242,277,319,384,442
20-day:, 146,172,201,226,263,297,334,376,440,496
30-day:, 182,213,245,273,313,348,387,430,494,549
45-day:, 230,268,303,333,377,414,454,498,562,616
60-day:, 277,322,362,395,444,486,531,579,649,707

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,22,25,28
10-min:, 14,17,20,22,25,28,30,33,37,41
15-min:, 17,21,25,28,31,34,38,41,46,51
30-min:, 23,28,34,38,44,49,54,60,69,76
60-min:, 28,34,42,49,57,65,73,82,95,107
2-hr:, 33,40,50,58,71,82,95,110,134,156
3-hr:, 36,44,54,63,77,89,103,120,147,172
6-hr:, 46,55,67,78,94,110,127,148,182,213
12-hr:, 56,67,82,96,117,137,159,186,231,271
24-hr:, 67,80,99,116,142,166,194,228,282,331
2-day:, 78,94,116,135,166,194,227,266,329,388
3-day:, 82,99,121,141,172,201,234,274,339,398
4-day:, 87,104,127,147,178,208,242,283,348,408
7-day:, 101,121,147,169,204,236,273,317,386,449
10-day:, 117,139,167,191,228,261,299,343,412,473
20-day:, 157,185,216,242,282,317,357,401,469,529
30-day:, 194,228,262,290,333,370,411,456,524,582
45-day:, 245,285,322,354,400,439,481,527,595,652
60-day:, 293,341,382,418,469,512,559,610,684,746

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,15,16,17,19,21
10-min:, 11,14,16,18,20,22,24,26,28,31
15-min:, 14,17,20,22,25,27,30,32,35,38
30-min:, 19,22,27,31,35,39,43,47,53,57
60-min:, 23,27,34,39,46,51,57,64,73,80
2-hr:, 27,32,40,47,56,65,74,85,101,115
3-hr:, 29,35,44,51,61,71,81,93,111,127
6-hr:, 37,44,54,62,75,87,99,114,137,157
12-hr:, 45,54,66,77,93,108,124,143,173,199
24-hr:, 54,65,80,94,114,133,155,181,222,259
2-day:, 64,76,94,109,134,156,182,212,260,303
3-day:, 68,81,100,116,141,164,191,222,272,316
4-day:, 72,86,106,123,149,173,200,232,283,330
7-day:, 85,102,123,142,171,197,227,262,316,364
10-day:, 99,118,142,161,192,220,251,286,340,388
20-day:, 136,160,187,210,245,274,308,345,400,447
30-day:, 171,201,231,256,293,325,359,398,454,501
45-day:, 217,254,287,315,355,389,426,465,522,569
60-day:, 263,306,343,375,420,459,499,543,606,657

Date/time (GMT):  Thu Feb 29 23:12:51 2024
pyRunTime:  0.011708736419677734
