Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.34310539 Degree
Longitude: -77.06629984 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,12,14,15,16,17,18,19
10-min:, 13,15,18,19,21,23,24,25,27,28
15-min:, 15,18,22,24,26,28,30,31,33,35
30-min:, 21,25,30,33,37,40,43,46,49,52
60-min:, 25,30,37,42,48,53,57,62,68,73
2-hr:, 29,35,43,49,58,65,73,82,95,106
3-hr:, 31,37,46,53,63,72,81,91,107,121
6-hr:, 39,47,57,66,78,89,100,113,132,149
12-hr:, 48,58,71,82,99,112,128,145,172,195
24-hr:, 59,70,87,100,120,138,158,180,215,246
2-day:, 69,82,101,116,140,161,184,210,251,288
3-day:, 73,87,107,123,147,168,192,218,260,297
4-day:, 78,93,112,129,154,175,200,227,269,306
7-day:, 91,108,129,147,172,194,218,245,286,323
10-day:, 105,124,147,166,193,217,242,270,312,348
20-day:, 144,169,196,218,249,276,303,333,376,413
30-day:, 180,210,240,265,299,327,356,387,430,466
45-day:, 228,265,300,328,365,395,425,456,499,534
60-day:, 274,319,358,389,431,464,498,533,580,618

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,15,16,18,19,20,21
10-min:, 14,17,19,21,23,25,26,28,30,31
15-min:, 17,20,24,26,29,31,33,35,37,39
30-min:, 23,27,33,36,41,44,47,51,55,58
60-min:, 28,34,41,46,53,58,63,69,76,82
2-hr:, 32,39,47,54,64,72,80,90,105,118
3-hr:, 34,42,51,59,70,79,90,101,119,135
6-hr:, 43,52,64,74,87,99,112,126,149,168
12-hr:, 55,66,80,92,110,126,143,163,193,220
24-hr:, 64,77,95,109,131,150,171,195,231,264
2-day:, 75,90,111,128,153,175,200,229,273,312
3-day:, 80,96,117,134,160,183,209,237,282,323
4-day:, 85,101,123,141,168,191,217,246,292,333
7-day:, 98,117,140,159,186,209,235,264,308,348
10-day:, 113,133,158,178,208,233,260,290,335,375
20-day:, 153,180,209,232,266,293,323,354,401,440
30-day:, 191,223,255,281,317,347,377,410,456,495
45-day:, 240,280,317,346,386,417,449,482,529,567
60-day:, 289,336,377,410,454,489,524,561,611,652

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,11,12,13,14,15,16,17
10-min:, 11,14,16,17,19,20,21,22,23,24
15-min:, 14,17,20,21,24,25,26,28,29,30
30-min:, 19,22,27,30,33,36,38,41,43,46
60-min:, 23,28,34,38,43,47,51,55,60,64
2-hr:, 26,31,38,44,52,58,64,72,82,91
3-hr:, 28,34,41,47,56,63,71,80,92,103
6-hr:, 35,42,51,59,69,78,88,98,113,126
12-hr:, 44,53,64,74,88,99,112,125,146,163
24-hr:, 54,65,80,92,110,125,142,161,190,214
2-day:, 63,75,92,106,127,145,165,187,220,249
3-day:, 67,80,98,112,134,152,172,195,229,258
4-day:, 72,85,104,119,141,160,180,203,238,268
7-day:, 85,101,120,136,159,179,200,223,257,286
10-day:, 98,116,137,154,179,200,222,247,282,312
20-day:, 135,159,184,205,234,257,282,308,345,376
30-day:, 170,198,227,250,282,307,333,360,398,429
45-day:, 216,252,284,310,345,372,400,428,467,497
60-day:, 260,303,339,369,408,439,470,501,543,576

Date/time (GMT):  Thu Feb 29 23:13:34 2024
pyRunTime:  0.1777210235595703
