Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.40007824 Degree
Longitude: -79.19884219 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,21,24,26,27,29,31,32
15-min:, 17,20,24,27,30,32,35,37,39,41
30-min:, 23,27,34,39,45,49,53,57,62,66
60-min:, 28,34,44,50,59,66,73,80,89,96
2-hr:, 34,41,52,61,72,82,91,101,114,125
3-hr:, 36,44,56,65,78,88,98,109,123,135
6-hr:, 45,55,69,81,98,111,126,141,163,181
12-hr:, 56,68,85,101,123,142,162,184,217,245
24-hr:, 70,85,108,128,157,181,208,238,282,319
2-day:, 83,100,127,149,181,208,236,267,312,350
3-day:, 87,106,134,157,191,219,249,281,328,367
4-day:, 92,112,142,166,201,230,261,295,344,385
7-day:, 107,128,160,186,223,253,286,320,370,410
10-day:, 121,145,179,206,244,274,306,339,386,424
20-day:, 161,192,232,263,305,338,371,405,451,486
30-day:, 198,235,277,309,351,383,414,445,484,514
45-day:, 248,293,342,378,425,459,492,524,564,594
60-day:, 295,346,398,437,486,522,556,588,629,658

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,20,22,23
10-min:, 15,17,21,23,26,28,30,32,34,36
15-min:, 18,22,26,29,33,36,38,40,43,45
30-min:, 25,30,37,42,49,54,58,63,69,73
60-min:, 31,38,48,55,65,73,80,88,98,107
2-hr:, 37,45,57,67,80,90,100,111,126,138
3-hr:, 40,49,62,72,86,97,109,120,137,150
6-hr:, 50,61,77,90,108,123,139,156,181,201
12-hr:, 62,75,95,112,136,157,179,204,241,273
24-hr:, 76,92,118,139,170,196,225,257,304,346
2-day:, 90,108,137,161,196,224,256,289,340,381
3-day:, 95,115,145,171,207,237,269,305,357,400
4-day:, 100,121,153,180,218,249,283,320,374,419
7-day:, 115,139,173,201,240,273,308,345,399,444
10-day:, 130,156,192,221,262,294,328,364,415,457
20-day:, 172,206,248,281,325,361,397,434,484,523
30-day:, 210,249,293,327,372,406,439,472,515,548
45-day:, 262,309,361,399,447,484,519,553,597,630
60-day:, 309,363,418,459,511,549,585,620,663,695

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,15,16,17,18
10-min:, 12,14,17,19,21,23,25,26,27,28
15-min:, 15,18,22,24,27,29,31,33,34,35
30-min:, 21,25,31,35,40,44,48,51,54,57
60-min:, 26,31,39,46,54,60,65,71,78,84
2-hr:, 30,37,47,55,65,73,81,89,99,107
3-hr:, 33,40,51,59,70,79,87,96,107,115
6-hr:, 41,50,63,73,88,99,111,123,139,153
12-hr:, 51,61,77,91,110,125,141,158,182,202
24-hr:, 65,78,100,118,143,165,188,212,248,277
2-day:, 76,93,117,137,165,189,214,240,277,307
3-day:, 81,98,124,145,174,199,225,252,290,322
4-day:, 85,103,130,152,183,209,236,264,304,336
7-day:, 99,119,148,172,205,232,260,289,329,362
10-day:, 113,135,166,191,225,252,280,309,348,379
20-day:, 151,180,217,246,284,314,343,373,412,442
30-day:, 187,222,262,292,331,360,388,415,449,475
45-day:, 236,278,324,358,402,434,463,492,527,553
60-day:, 281,330,379,416,462,495,526,555,591,616

Date/time (GMT):  Thu Feb 29 23:13:36 2024
pyRunTime:  0.009381294250488281
