Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.4153948 Degree
Longitude: -78.28199165 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,21,22,24
10-min:, 14,17,20,22,25,28,30,32,35,37
15-min:, 17,21,25,28,32,35,38,40,44,47
30-min:, 24,29,35,41,47,52,57,62,69,74
60-min:, 29,36,45,52,62,70,78,86,98,108
2-hr:, 35,43,54,63,76,86,98,110,127,141
3-hr:, 38,46,58,68,82,94,106,119,138,155
6-hr:, 48,59,73,86,104,119,136,154,180,203
12-hr:, 60,73,91,108,131,152,175,200,239,273
24-hr:, 73,88,113,133,163,189,218,250,297,337
2-day:, 85,103,131,153,187,215,245,278,326,366
3-day:, 91,110,139,164,199,228,261,295,346,389
4-day:, 96,117,148,174,211,242,276,313,367,411
7-day:, 112,135,169,196,236,269,305,343,397,443
10-day:, 127,153,188,217,258,290,325,361,412,454
20-day:, 168,200,241,274,318,353,388,424,473,511
30-day:, 206,244,288,322,367,402,436,469,513,547
45-day:, 257,304,354,392,440,476,511,544,587,618
60-day:, 303,355,409,449,499,536,571,604,645,675

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,23,25,27
10-min:, 15,19,22,25,28,30,33,35,39,41
15-min:, 19,23,28,31,35,38,41,45,49,52
30-min:, 26,32,39,45,52,57,63,68,76,82
60-min:, 33,40,50,58,68,77,86,95,108,119
2-hr:, 39,48,60,70,84,96,108,122,141,157
3-hr:, 43,53,66,77,93,106,119,134,156,174
6-hr:, 55,67,83,98,118,135,153,174,204,230
12-hr:, 69,83,104,122,149,172,197,226,269,308
24-hr:, 82,99,126,149,182,211,242,277,329,374
2-day:, 94,114,144,170,206,236,270,306,360,406
3-day:, 100,121,154,180,219,251,286,325,381,429
4-day:, 106,129,163,191,232,266,303,343,403,453
7-day:, 124,149,186,217,260,297,336,377,439,490
10-day:, 139,167,206,238,282,317,355,395,452,500
20-day:, 182,217,261,296,343,380,418,458,512,554
30-day:, 221,262,309,345,393,430,467,503,552,589
45-day:, 274,323,376,416,468,506,544,580,627,662
60-day:, 321,377,433,475,528,568,605,641,686,718

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,16,17,18,20,21
10-min:, 13,15,18,20,23,25,26,28,30,32
15-min:, 16,19,23,25,29,31,33,36,38,40
30-min:, 21,26,32,36,42,46,50,55,60,64
60-min:, 27,33,41,47,56,62,69,76,85,93
2-hr:, 31,38,48,56,67,76,86,95,109,120
3-hr:, 34,41,52,61,72,82,92,103,118,130
6-hr:, 43,52,65,76,91,104,117,131,151,169
12-hr:, 54,65,81,95,115,132,150,170,198,223
24-hr:, 66,80,102,120,146,168,192,217,255,285
2-day:, 77,94,119,139,168,192,217,244,283,314
3-day:, 83,100,127,148,179,205,232,261,302,335
4-day:, 88,106,135,158,191,218,246,277,321,356
7-day:, 102,123,154,178,213,242,272,304,348,384
10-day:, 117,140,172,198,234,263,293,323,365,400
20-day:, 156,186,224,253,293,324,355,386,428,459
30-day:, 193,228,269,301,342,372,403,432,470,499
45-day:, 242,285,332,367,411,444,475,505,542,569
60-day:, 286,336,386,423,469,503,535,564,600,626

Date/time (GMT):  Thu Feb 29 23:13:40 2024
pyRunTime:  0.010314702987670898
