Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.74640947 Degree
Longitude: -77.48519399 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,23
10-min:, 14,16,20,22,25,27,29,31,34,36
15-min:, 17,21,25,28,31,34,37,39,43,45
30-min:, 24,29,35,40,47,51,56,61,68,73
60-min:, 29,36,45,52,62,70,78,86,97,106
2-hr:, 34,42,53,62,75,85,96,107,124,137
3-hr:, 37,45,57,67,80,92,104,117,135,150
6-hr:, 46,55,70,82,99,114,130,147,173,194
12-hr:, 55,67,85,100,123,143,165,189,226,257
24-hr:, 63,76,98,117,146,172,202,235,286,330
2-day:, 74,89,114,135,168,196,227,262,315,360
3-day:, 78,94,120,143,177,207,239,276,331,378
4-day:, 82,99,127,151,186,217,252,290,347,396
7-day:, 95,114,145,170,209,242,279,319,379,430
10-day:, 108,130,163,190,229,262,297,336,391,437
20-day:, 147,174,211,240,281,315,349,385,434,473
30-day:, 180,213,253,285,330,366,402,439,489,528
45-day:, 226,266,311,346,391,426,460,493,535,567
60-day:, 269,316,365,402,450,485,519,551,592,621

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,15,17,19,20,22,24,25
10-min:, 15,18,22,24,27,30,32,34,38,40
15-min:, 19,23,28,31,35,38,41,43,47,50
30-min:, 26,32,39,45,51,57,62,68,75,81
60-min:, 33,40,50,58,69,77,86,95,108,118
2-hr:, 38,46,59,69,83,94,106,119,137,153
3-hr:, 41,50,64,74,90,102,116,130,151,168
6-hr:, 52,62,78,92,111,128,145,165,194,218
12-hr:, 63,75,95,112,138,160,184,212,254,290
24-hr:, 72,87,112,134,166,195,227,264,320,369
2-day:, 83,101,129,153,189,221,255,294,353,403
3-day:, 88,106,136,161,198,231,267,307,368,420
4-day:, 92,111,142,168,207,241,278,320,383,437
7-day:, 106,128,161,190,232,268,308,352,418,475
10-day:, 120,144,180,209,252,288,327,368,429,480
20-day:, 161,191,231,263,308,345,382,422,476,519
30-day:, 195,230,274,309,357,395,434,475,529,572
45-day:, 241,284,332,369,417,454,491,526,573,608
60-day:, 286,337,389,428,479,517,554,589,633,665

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,19,20
10-min:, 12,15,18,20,22,24,26,27,29,31
15-min:, 15,19,22,25,28,30,32,34,37,39
30-min:, 21,26,32,36,42,46,50,54,59,63
60-min:, 26,32,41,47,55,62,69,75,84,92
2-hr:, 31,38,48,56,67,75,84,94,107,117
3-hr:, 33,40,51,59,71,81,91,101,115,127
6-hr:, 41,50,62,73,88,100,113,127,147,163
12-hr:, 50,60,76,89,108,124,142,161,189,212
24-hr:, 56,68,87,103,128,150,174,201,241,274
2-day:, 66,79,102,120,148,172,198,226,267,302
3-day:, 70,84,108,128,157,182,209,239,283,319
4-day:, 74,89,114,135,166,192,221,252,298,336
7-day:, 86,103,130,153,186,215,245,279,327,367
10-day:, 98,118,147,171,206,234,264,296,342,379
20-day:, 134,160,193,220,256,286,316,346,388,420
30-day:, 167,197,234,264,304,336,368,400,443,476
45-day:, 211,249,291,323,365,396,427,457,495,522
60-day:, 251,296,341,376,420,452,482,511,547,572

Date/time (GMT):  Thu Feb 29 23:13:42 2024
pyRunTime:  0.011590719223022461
