Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.50981906 Degree
Longitude: -80.24245633 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,21,22
10-min:, 13,15,18,20,23,25,27,28,31,32
15-min:, 15,18,22,25,28,31,33,35,38,40
30-min:, 20,25,30,34,40,44,48,52,57,60
60-min:, 25,30,38,44,52,58,64,70,78,85
2-hr:, 29,35,44,51,60,68,75,83,94,102
3-hr:, 31,38,47,54,65,73,81,90,102,112
6-hr:, 37,45,56,64,77,87,97,108,123,135
12-hr:, 45,53,65,75,89,101,113,126,144,159
24-hr:, 54,64,77,88,104,116,129,143,161,176
2-day:, 63,75,90,102,118,132,145,159,178,192
3-day:, 68,81,96,108,125,139,152,166,184,198
4-day:, 73,86,102,115,132,145,159,172,190,203
7-day:, 88,104,122,136,154,168,181,194,211,223
10-day:, 102,120,140,155,173,188,201,214,231,243
20-day:, 145,170,195,213,236,253,269,283,301,314
30-day:, 184,215,243,264,290,309,326,341,360,373
45-day:, 237,276,308,333,362,382,401,418,438,451
60-day:, 286,332,369,396,428,450,470,488,509,522

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,21,23,24
10-min:, 14,17,20,22,25,27,29,31,34,35
15-min:, 17,20,24,27,31,34,36,39,42,44
30-min:, 23,27,33,38,44,48,53,57,62,66
60-min:, 28,33,42,48,57,64,70,77,86,93
2-hr:, 32,39,49,56,66,75,83,91,103,112
3-hr:, 35,42,52,60,71,80,89,99,111,122
6-hr:, 41,50,61,71,84,94,105,117,133,146
12-hr:, 49,58,71,82,97,110,123,136,155,171
24-hr:, 57,69,83,95,111,124,137,151,171,186
2-day:, 67,80,96,109,126,140,154,169,188,204
3-day:, 72,86,102,115,133,147,161,175,194,209
4-day:, 77,92,109,122,140,154,168,182,200,214
7-day:, 93,110,129,143,162,177,191,204,222,235
10-day:, 108,127,147,163,183,198,212,226,243,256
20-day:, 153,179,205,224,248,265,282,297,316,330
30-day:, 193,225,255,277,304,323,341,357,377,391
45-day:, 247,288,322,347,378,399,419,437,457,472
60-day:, 298,346,384,412,445,468,489,507,529,543

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,15,16,17,18,20
10-min:, 11,14,16,18,21,22,24,25,27,28
15-min:, 14,17,20,22,25,28,30,32,34,36
30-min:, 18,22,27,31,36,39,43,46,50,53
60-min:, 23,27,34,40,47,52,57,63,69,75
2-hr:, 26,32,40,46,54,61,67,74,82,89
3-hr:, 28,34,42,49,58,65,72,80,90,97
6-hr:, 34,41,51,58,69,78,87,96,108,118
12-hr:, 41,49,59,68,81,91,101,112,127,139
24-hr:, 50,60,73,83,97,108,120,132,148,161
2-day:, 60,71,85,96,111,123,135,147,164,177
3-day:, 64,76,91,102,118,130,142,154,170,183
4-day:, 69,81,96,108,124,136,149,161,177,188
7-day:, 84,99,116,129,146,158,171,183,198,209
10-day:, 97,114,133,146,164,177,190,202,217,228
20-day:, 138,162,186,203,224,240,255,269,285,297
30-day:, 176,205,232,252,276,294,310,324,342,354
45-day:, 227,264,295,318,346,365,383,399,417,430
60-day:, 275,319,353,379,409,431,450,466,486,499

Date/time (GMT):  Thu Feb 29 23:13:47 2024
pyRunTime:  0.019431114196777344
