Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.86064362 Degree
Longitude: -80.66591062 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,20,22,23
10-min:, 13,15,18,21,24,26,28,30,32,34
15-min:, 16,19,23,26,29,32,34,37,40,42
30-min:, 21,25,31,35,41,45,50,54,59,63
60-min:, 25,31,39,45,53,60,66,73,82,89
2-hr:, 29,36,45,52,62,70,78,86,97,106
3-hr:, 31,38,48,55,66,74,83,92,105,114
6-hr:, 38,45,56,65,78,88,99,110,126,138
12-hr:, 44,53,65,75,90,101,114,127,146,161
24-hr:, 53,63,76,88,103,116,130,144,163,179
2-day:, 62,73,89,101,118,131,145,160,180,195
3-day:, 66,79,94,107,124,138,152,167,186,202
4-day:, 71,84,100,113,131,145,159,174,193,208
7-day:, 86,101,119,134,153,168,182,197,217,231
10-day:, 99,117,136,151,172,187,202,218,237,252
20-day:, 139,163,188,207,232,251,269,286,308,324
30-day:, 175,205,234,256,284,306,326,345,369,387
45-day:, 225,262,295,321,353,376,397,417,442,459
60-day:, 271,315,352,380,414,439,462,482,507,524

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,24,26
10-min:, 14,17,21,23,26,29,31,33,36,38
15-min:, 18,21,25,29,33,36,38,41,45,47
30-min:, 23,28,35,40,46,51,55,60,66,71
60-min:, 29,35,44,51,60,67,74,81,91,99
2-hr:, 33,40,51,59,70,78,87,96,108,118
3-hr:, 35,43,54,62,74,83,93,103,116,127
6-hr:, 42,51,63,73,87,98,109,122,139,152
12-hr:, 49,59,72,83,99,111,125,139,158,174
24-hr:, 57,68,83,95,112,126,140,155,176,192
2-day:, 67,79,96,109,127,141,156,172,193,209
3-day:, 71,84,101,115,133,148,163,178,199,216
4-day:, 76,90,107,121,140,155,170,185,206,222
7-day:, 91,108,127,142,162,178,194,210,230,246
10-day:, 106,124,145,161,183,199,215,231,252,268
20-day:, 148,174,200,220,247,266,285,304,327,345
30-day:, 186,218,248,272,301,324,345,366,392,410
45-day:, 237,276,311,338,371,396,418,440,466,484
60-day:, 284,330,369,398,435,461,485,506,533,551

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,17,19,20
10-min:, 11,14,16,18,21,23,24,26,28,29
15-min:, 14,17,20,23,26,28,30,32,35,37
30-min:, 19,23,28,32,36,40,44,47,52,55
60-min:, 23,28,35,40,47,53,58,64,71,77
2-hr:, 26,32,40,46,55,61,68,75,84,91
3-hr:, 28,34,43,49,58,66,73,80,90,98
6-hr:, 34,41,51,59,69,78,87,97,109,119
12-hr:, 40,48,59,68,81,91,101,112,127,140
24-hr:, 49,58,71,81,95,107,119,131,148,161
2-day:, 57,68,82,93,109,121,133,146,163,176
3-day:, 62,73,88,99,115,128,140,153,170,183
4-day:, 66,78,93,106,122,135,147,160,177,190
7-day:, 80,95,112,125,143,156,170,183,201,214
10-day:, 93,109,128,142,161,175,189,203,220,233
20-day:, 131,154,177,195,218,236,252,268,288,302
30-day:, 166,194,221,242,268,288,306,324,346,361
45-day:, 213,249,280,304,334,355,375,394,416,432
60-day:, 258,299,335,361,394,417,438,457,480,495

Date/time (GMT):  Thu Feb 29 23:13:49 2024
pyRunTime:  0.00919961929321289
