Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.68232799 Degree
Longitude: -79.86385921 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,19,20,21
10-min:, 15,17,21,23,26,27,29,31,32,34
15-min:, 18,22,26,29,33,35,37,39,41,42
30-min:, 25,30,37,42,48,52,57,60,65,68
60-min:, 31,38,48,55,64,71,78,84,93,100
2-hr:, 38,46,58,67,80,89,99,109,123,133
3-hr:, 41,50,63,73,86,97,108,118,133,144
6-hr:, 51,61,78,90,108,123,138,154,176,194
12-hr:, 62,75,95,111,135,155,176,199,233,261
24-hr:, 73,88,112,133,163,189,217,248,294,333
2-day:, 85,104,131,154,188,215,245,277,324,363
3-day:, 90,109,139,163,198,227,259,292,341,382
4-day:, 95,115,146,172,208,239,272,307,358,401
7-day:, 109,131,164,191,229,261,294,330,382,424
10-day:, 124,148,183,211,251,283,317,352,402,442
20-day:, 167,200,241,273,318,352,387,423,471,509
30-day:, 207,245,290,323,367,401,433,465,507,538
45-day:, 261,308,359,398,447,484,519,553,596,627
60-day:, 310,365,421,462,516,555,592,627,671,702

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,20,21,22,23
10-min:, 16,19,23,25,28,30,32,33,35,37
15-min:, 20,24,29,32,35,38,40,42,45,46
30-min:, 27,33,41,46,52,57,62,66,71,75
60-min:, 34,42,52,60,70,77,85,92,102,109
2-hr:, 41,50,64,74,87,98,108,119,134,146
3-hr:, 45,55,69,80,94,105,117,129,145,158
6-hr:, 56,68,85,99,118,134,150,168,192,212
12-hr:, 68,83,104,122,147,169,192,216,254,284
24-hr:, 78,95,121,143,175,203,233,266,315,358
2-day:, 92,112,142,166,202,232,264,299,351,394
3-day:, 97,118,150,176,213,244,278,315,369,414
4-day:, 103,124,158,185,224,257,293,331,388,435
7-day:, 117,140,175,203,243,277,314,352,408,455
10-day:, 132,158,195,225,267,301,337,376,430,474
20-day:, 178,212,256,290,337,374,412,450,503,544
30-day:, 218,258,305,341,387,423,457,491,537,571
45-day:, 274,324,378,418,470,509,546,583,629,664
60-day:, 325,382,441,485,540,581,620,658,706,740

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,17,18,19
10-min:, 13,16,19,21,23,25,26,27,29,30
15-min:, 17,20,24,27,30,31,33,35,36,37
30-min:, 23,28,34,39,44,47,51,54,58,60
60-min:, 29,35,44,50,58,64,70,76,83,88
2-hr:, 34,42,53,61,72,80,89,97,108,116
3-hr:, 37,46,58,67,78,87,96,105,117,125
6-hr:, 47,56,71,82,98,110,123,135,152,166
12-hr:, 56,68,87,101,122,138,155,173,199,219
24-hr:, 67,82,104,123,150,172,196,223,260,291
2-day:, 80,96,122,143,173,198,224,251,290,321
3-day:, 84,102,129,151,183,209,236,265,305,338
4-day:, 89,108,136,160,193,220,248,278,321,355
7-day:, 103,123,154,178,213,241,271,301,345,379
10-day:, 117,140,172,199,234,264,293,324,367,400
20-day:, 158,188,227,257,298,329,361,392,433,464
30-day:, 196,232,274,306,347,378,407,436,472,498
45-day:, 248,293,341,378,424,458,490,520,558,585
60-day:, 296,348,401,441,490,526,560,592,631,659

Date/time (GMT):  Thu Feb 29 23:13:51 2024
pyRunTime:  0.007603168487548828
