Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.77071799 Degree
Longitude: -82.02524219 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,19,20,22,23
10-min:, 13,16,19,21,24,26,28,30,32,33
15-min:, 16,19,23,26,30,32,35,37,40,42
30-min:, 22,26,32,36,42,46,50,54,59,62
60-min:, 26,32,40,46,54,61,67,73,81,87
2-hr:, 31,37,47,54,64,72,80,88,98,107
3-hr:, 33,39,49,57,67,76,84,93,105,114
6-hr:, 39,47,58,67,79,89,99,110,125,137
12-hr:, 46,55,67,77,91,103,115,128,145,160
24-hr:, 55,66,80,91,107,119,133,146,165,180
2-day:, 65,78,93,105,122,136,150,164,183,198
3-day:, 70,83,100,112,130,144,157,171,190,205
4-day:, 76,89,106,119,137,151,165,179,198,211
7-day:, 91,107,126,140,159,173,187,201,218,231
10-day:, 104,123,142,157,177,192,205,219,236,249
20-day:, 144,169,194,212,235,252,268,283,301,314
30-day:, 180,211,239,259,285,303,320,336,355,369
45-day:, 229,267,298,322,350,371,389,406,426,439
60-day:, 275,319,354,380,411,433,452,470,490,503

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,24,25
10-min:, 15,18,21,23,26,29,31,32,35,36
15-min:, 18,22,26,29,33,35,38,40,43,45
30-min:, 24,29,35,40,46,50,55,59,64,68
60-min:, 29,35,44,51,60,66,73,80,88,95
2-hr:, 34,41,51,59,70,78,86,95,106,115
3-hr:, 36,44,54,63,74,83,92,101,114,124
6-hr:, 43,51,63,73,86,97,108,119,135,147
12-hr:, 50,59,72,83,98,110,123,136,155,170
24-hr:, 59,70,85,97,113,127,140,155,175,190
2-day:, 70,83,99,112,130,144,159,174,194,210
3-day:, 75,89,106,119,138,152,167,181,201,216
4-day:, 80,95,113,127,145,160,174,189,208,223
7-day:, 96,113,133,148,168,182,197,211,230,244
10-day:, 110,129,150,166,186,201,216,230,248,261
20-day:, 151,177,203,222,246,264,280,296,315,329
30-day:, 188,220,249,271,297,317,334,351,371,385
45-day:, 239,278,311,336,365,386,406,423,444,458
60-day:, 286,332,369,395,428,451,471,489,510,524

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,19,20
10-min:, 12,14,17,19,22,23,25,26,28,29
15-min:, 15,18,21,24,27,29,31,33,35,37
30-min:, 20,24,29,33,38,41,45,48,52,55
60-min:, 24,29,36,42,49,55,60,65,72,77
2-hr:, 28,34,43,49,58,64,71,78,87,94
3-hr:, 30,36,45,52,61,68,76,83,93,101
6-hr:, 36,43,53,61,72,81,90,99,111,121
12-hr:, 42,51,62,71,84,94,104,115,130,142
24-hr:, 52,62,75,85,100,112,124,136,153,166
2-day:, 62,73,88,99,115,127,140,152,169,183
3-day:, 66,79,94,106,122,135,147,160,177,189
4-day:, 71,84,100,113,129,142,155,167,184,196
7-day:, 86,102,119,133,150,163,176,189,205,216
10-day:, 99,116,135,149,168,181,194,207,222,233
20-day:, 138,161,185,202,224,240,255,269,286,298
30-day:, 173,202,229,248,273,290,306,321,339,351
45-day:, 220,256,287,309,337,356,373,389,407,420
60-day:, 263,306,340,365,394,415,434,450,468,481

Date/time (GMT):  Thu Feb 29 23:13:53 2024
pyRunTime:  0.06395840644836426
