Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.80884514 Degree
Longitude: -78.56936624 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,21,22
10-min:, 12,14,17,19,22,24,26,28,30,32
15-min:, 14,17,21,24,27,30,32,35,38,40
30-min:, 19,23,29,33,38,42,46,50,56,60
60-min:, 23,28,36,42,49,56,62,68,77,84
2-hr:, 27,33,42,48,58,65,73,81,93,102
3-hr:, 30,36,45,53,63,71,80,89,102,113
6-hr:, 37,44,55,64,77,87,98,110,127,140
12-hr:, 45,54,67,77,92,105,118,133,154,171
24-hr:, 53,63,77,89,105,119,133,148,170,187
2-day:, 62,74,89,102,120,134,150,165,188,205
3-day:, 66,79,95,108,126,141,157,173,195,213
4-day:, 71,84,101,114,133,148,164,180,203,221
7-day:, 86,101,120,134,154,170,187,203,226,243
10-day:, 100,118,138,154,176,193,210,227,250,268
20-day:, 141,165,191,211,237,258,278,298,324,344
30-day:, 178,208,238,262,292,316,339,361,390,411
45-day:, 232,270,305,332,366,392,416,440,469,490
60-day:, 282,328,367,397,435,463,489,514,544,566

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,17,19,20,23,24
10-min:, 13,16,19,21,24,26,28,30,33,35
15-min:, 16,19,23,26,30,32,35,38,41,44
30-min:, 21,26,32,36,42,46,51,55,61,66
60-min:, 26,31,40,46,54,61,68,75,85,92
2-hr:, 30,36,46,53,64,72,80,89,101,111
3-hr:, 33,40,50,58,70,79,88,98,112,123
6-hr:, 41,50,62,72,85,97,108,121,139,154
12-hr:, 50,60,74,85,102,115,130,145,168,186
24-hr:, 58,69,84,96,114,128,143,159,182,200
2-day:, 68,80,98,111,130,146,162,179,203,222
3-day:, 72,86,104,118,137,153,170,187,211,230
4-day:, 77,92,109,124,144,161,178,195,220,239
7-day:, 93,110,129,145,167,184,201,219,243,262
10-day:, 109,128,149,167,190,208,226,245,270,289
20-day:, 151,177,203,225,253,274,296,317,345,366
30-day:, 189,221,252,277,309,334,358,381,412,435
45-day:, 244,285,321,350,386,413,439,463,494,517
60-day:, 298,346,387,419,459,488,516,542,574,598

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,17,18,19
10-min:, 11,13,15,17,20,21,23,25,27,28
15-min:, 13,16,19,21,24,26,29,31,33,35
30-min:, 17,21,26,29,34,38,41,45,49,53
60-min:, 21,26,32,38,44,50,55,61,68,74
2-hr:, 25,30,38,44,52,58,65,72,81,89
3-hr:, 27,33,41,47,56,64,71,79,90,98
6-hr:, 33,40,50,58,69,78,87,97,111,122
12-hr:, 41,49,61,70,83,94,105,117,135,148
24-hr:, 49,59,71,82,97,109,121,135,153,167
2-day:, 57,68,82,94,110,123,136,150,169,184
3-day:, 61,73,88,100,116,130,143,157,176,192
4-day:, 66,78,93,106,123,136,150,165,184,200
7-day:, 80,94,111,125,143,157,172,186,206,221
10-day:, 93,110,129,143,163,178,194,209,229,245
20-day:, 132,155,179,198,222,241,259,277,301,318
30-day:, 168,197,225,247,275,297,318,338,364,383
45-day:, 219,256,288,314,346,370,392,414,440,459
60-day:, 267,310,348,376,412,438,462,485,513,532

Date/time (GMT):  Thu Feb 29 23:13:59 2024
pyRunTime:  0.011943817138671875
