Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.67882005 Degree
Longitude: -78.36131056 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,20,21,22
10-min:, 15,18,21,23,26,28,30,32,34,35
15-min:, 19,22,26,29,33,36,38,40,42,44
30-min:, 26,31,37,43,49,54,58,62,67,72
60-min:, 32,39,48,55,65,73,80,87,97,104
2-hr:, 38,46,57,67,79,90,100,111,126,138
3-hr:, 41,49,61,71,85,97,109,121,137,151
6-hr:, 49,59,73,86,103,119,134,151,174,194
12-hr:, 58,70,87,104,126,147,168,190,223,252
24-hr:, 68,82,105,123,151,174,199,226,266,299
2-day:, 80,96,122,143,173,198,224,253,294,327
3-day:, 84,102,129,151,182,208,236,265,308,343
4-day:, 89,108,136,159,191,218,247,278,322,358
7-day:, 103,124,154,178,213,241,271,303,348,385
10-day:, 117,140,172,198,233,262,292,324,368,403
20-day:, 160,190,229,259,301,333,366,400,445,481
30-day:, 197,234,276,307,349,381,412,442,482,512
45-day:, 248,293,341,377,424,459,493,525,567,597
60-day:, 298,350,402,442,492,529,564,598,641,672

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,12,14,16,18,20,21,22,24,25
10-min:, 17,20,23,26,29,31,33,35,37,39
15-min:, 21,25,29,33,36,39,42,44,47,49
30-min:, 29,34,41,47,54,59,64,69,75,80
60-min:, 36,43,53,62,72,80,89,97,108,116
2-hr:, 42,51,63,74,88,100,111,124,140,154
3-hr:, 45,55,68,80,95,108,121,134,152,168
6-hr:, 55,65,81,96,115,131,148,166,191,214
12-hr:, 65,78,97,115,139,160,183,208,243,275
24-hr:, 73,89,113,133,162,187,213,243,286,323
2-day:, 86,104,131,154,186,212,241,272,316,354
3-day:, 91,110,139,162,196,224,254,286,332,371
4-day:, 96,116,147,171,206,235,266,300,348,388
7-day:, 111,134,166,193,230,260,293,327,377,419
10-day:, 126,151,185,213,251,282,314,349,398,437
20-day:, 171,203,245,277,322,356,392,429,479,518
30-day:, 210,248,293,326,371,404,438,471,515,548
45-day:, 263,310,361,399,448,486,522,557,603,637
60-day:, 313,368,423,465,518,557,595,631,677,711

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,19,19
10-min:, 14,16,19,21,23,25,27,28,29,31
15-min:, 17,20,24,26,29,32,34,35,37,38
30-min:, 23,28,33,38,44,48,51,55,59,62
60-min:, 29,35,43,50,58,65,71,77,85,91
2-hr:, 34,41,51,59,70,79,88,97,108,118
3-hr:, 36,44,54,64,75,85,95,105,118,128
6-hr:, 44,53,65,77,92,105,118,131,149,164
12-hr:, 53,64,79,94,113,130,148,166,191,213
24-hr:, 63,76,97,114,138,158,180,203,236,262
2-day:, 74,90,114,133,160,182,205,229,263,290
3-day:, 79,95,120,140,168,191,215,240,276,304
4-day:, 83,100,126,147,177,201,226,252,289,318
7-day:, 96,116,143,165,197,222,248,275,313,343
10-day:, 109,131,160,184,216,242,269,296,333,363
20-day:, 150,178,214,242,280,310,339,368,407,437
30-day:, 186,220,259,289,328,357,385,412,447,472
45-day:, 235,277,323,356,399,431,462,491,527,554
60-day:, 282,332,381,418,465,499,531,561,599,626

Date/time (GMT):  Thu Feb 29 23:14:01 2024
pyRunTime:  0.011327981948852539
