Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.28047017 Degree
Longitude: -74.70479631 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,17,18,19,21,22
10-min:, 14,16,20,22,25,27,29,30,33,34
15-min:, 17,21,25,28,31,34,36,38,41,43
30-min:, 24,29,35,40,46,51,55,60,65,70
60-min:, 29,36,45,52,61,69,76,84,94,102
2-hr:, 36,44,55,64,76,86,97,107,122,134
3-hr:, 39,48,61,71,85,96,108,121,138,152
6-hr:, 50,60,76,90,108,124,141,160,186,208
12-hr:, 60,73,93,110,135,157,182,208,248,283
24-hr:, 70,84,107,127,156,182,210,241,287,327
2-day:, 81,98,125,147,180,208,238,271,320,361
3-day:, 85,103,131,154,187,215,246,278,326,366
4-day:, 90,109,138,161,195,223,253,286,332,371
7-day:, 106,127,158,184,220,251,283,318,369,410
10-day:, 121,144,177,203,240,270,302,335,382,420
20-day:, 163,194,231,261,302,334,366,399,443,477
30-day:, 203,240,281,312,354,386,417,448,488,518
45-day:, 259,304,351,386,432,465,498,528,567,595
60-day:, 310,363,415,454,503,538,572,603,641,668

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,15,17,18,20,21,23,24
10-min:, 15,18,22,24,27,29,32,34,36,38
15-min:, 19,23,27,30,34,37,40,42,46,48
30-min:, 26,32,39,44,51,56,61,66,73,78
60-min:, 33,40,50,58,68,76,84,93,105,114
2-hr:, 40,48,61,71,84,95,107,119,136,150
3-hr:, 44,53,68,79,94,107,121,135,155,172
6-hr:, 56,68,85,100,121,138,158,178,209,235
12-hr:, 68,82,105,124,152,177,203,234,281,321
24-hr:, 76,92,117,139,171,198,228,262,314,358
2-day:, 88,107,137,161,196,227,260,297,351,398
3-day:, 93,113,143,168,204,234,267,304,357,402
4-day:, 98,119,150,175,212,242,275,310,362,406
7-day:, 116,139,172,200,240,273,308,346,402,448
10-day:, 131,156,191,220,260,292,327,363,415,458
20-day:, 174,206,247,279,322,355,390,425,474,511
30-day:, 215,253,297,330,374,407,441,474,518,552
45-day:, 272,320,369,407,454,490,525,558,600,631
60-day:, 325,382,436,477,528,566,601,635,676,705

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,19
10-min:, 12,15,18,20,22,24,25,27,29,30
15-min:, 16,19,22,25,28,30,32,34,36,37
30-min:, 21,26,32,36,41,45,49,53,57,61
60-min:, 27,33,41,47,55,61,68,74,82,88
2-hr:, 32,39,50,58,68,77,86,94,106,115
3-hr:, 35,43,55,64,76,85,95,105,119,129
6-hr:, 45,54,69,80,96,109,123,137,157,174
12-hr:, 54,66,83,98,119,138,157,177,207,231
24-hr:, 64,77,99,116,142,164,187,212,249,280
2-day:, 74,90,114,134,163,187,212,240,279,311
3-day:, 79,95,120,141,171,195,221,248,287,318
4-day:, 83,101,127,148,178,203,229,256,295,326
7-day:, 98,117,146,169,201,228,256,285,327,360
10-day:, 112,134,164,188,221,248,275,304,343,374
20-day:, 153,182,217,244,282,310,339,367,405,434
30-day:, 192,227,265,294,333,362,390,417,452,478
45-day:, 246,289,333,366,408,439,468,496,531,555
60-day:, 295,346,396,432,478,511,541,569,603,627

Date/time (GMT):  Thu Feb 29 23:14:04 2024
pyRunTime:  0.009615182876586914
