Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.30248872 Degree
Longitude: -80.25816981 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,20,22,24
10-min:, 13,15,18,21,24,26,28,30,32,34
15-min:, 16,19,23,26,29,32,35,37,41,43
30-min:, 21,25,31,35,41,46,50,54,60,64
60-min:, 25,31,39,45,54,60,67,74,83,90
2-hr:, 29,35,44,51,61,69,77,86,97,106
3-hr:, 31,37,47,55,65,74,83,92,105,115
6-hr:, 37,44,55,64,76,87,97,109,125,137
12-hr:, 44,52,64,74,89,101,114,127,146,162
24-hr:, 52,62,76,87,103,116,130,144,165,181
2-day:, 60,71,86,99,116,130,144,159,179,196
3-day:, 65,77,92,105,123,137,151,166,187,203
4-day:, 69,82,98,111,129,144,158,174,194,211
7-day:, 84,99,117,132,152,167,183,198,220,236
10-day:, 97,114,134,149,170,186,202,219,240,256
20-day:, 135,159,184,203,229,248,267,286,310,327
30-day:, 171,200,229,252,281,303,325,346,373,392
45-day:, 220,256,290,316,349,373,396,418,445,464
60-day:, 265,308,346,375,411,437,461,484,511,530

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,21,22,24,26
10-min:, 14,17,21,23,26,29,31,33,36,38
15-min:, 17,21,25,28,33,35,38,41,45,48
30-min:, 23,28,35,40,46,51,55,60,66,71
60-min:, 28,34,43,50,60,67,74,82,92,100
2-hr:, 32,39,49,57,68,76,85,94,107,117
3-hr:, 34,42,52,61,72,81,91,101,115,126
6-hr:, 41,49,61,71,84,95,106,118,135,149
12-hr:, 49,58,72,83,99,112,125,140,160,177
24-hr:, 56,67,82,94,111,125,139,155,176,194
2-day:, 64,77,93,106,124,139,154,169,191,208
3-day:, 69,82,99,112,131,145,161,177,198,216
4-day:, 74,87,105,118,137,152,168,184,206,223
7-day:, 89,105,124,139,160,176,193,209,232,249
10-day:, 102,120,141,157,179,196,213,230,253,270
20-day:, 142,168,193,214,240,261,281,300,326,345
30-day:, 179,210,240,264,295,318,341,363,392,413
45-day:, 229,268,303,330,365,390,415,438,467,487
60-day:, 277,323,362,392,429,456,482,505,534,555

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,18,19,21
10-min:, 11,14,16,19,21,23,25,26,28,30
15-min:, 14,17,20,23,26,28,31,33,35,37
30-min:, 19,22,28,32,37,40,44,48,53,56
60-min:, 23,28,35,40,48,53,59,65,73,79
2-hr:, 26,32,40,46,55,61,68,75,85,92
3-hr:, 28,34,42,49,58,66,73,81,92,100
6-hr:, 33,40,50,58,69,77,87,96,109,119
12-hr:, 39,47,58,67,79,90,100,112,127,139
24-hr:, 48,57,70,80,95,107,119,131,149,162
2-day:, 56,67,81,92,108,120,133,146,163,177
3-day:, 61,72,87,99,115,127,140,154,172,185
4-day:, 65,78,93,105,122,135,148,162,180,194
7-day:, 80,94,111,125,143,157,171,186,204,218
10-day:, 92,109,127,142,161,176,191,205,224,238
20-day:, 129,151,175,193,217,235,252,269,290,306
30-day:, 163,190,218,239,267,288,308,327,351,369
45-day:, 210,245,277,302,333,356,377,397,422,439
60-day:, 254,295,332,359,393,417,440,461,486,504

Date/time (GMT):  Thu Feb 29 23:14:06 2024
pyRunTime:  0.033124685287475586
