Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.40481169 Degree
Longitude: -81.11023142 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,11,13,14,15,16,17,18
10-min:, 12,14,16,18,21,22,24,25,27,29
15-min:, 15,17,21,23,26,28,30,32,34,36
30-min:, 20,24,29,33,38,42,46,50,54,58
60-min:, 25,30,38,43,51,57,63,69,78,84
2-hr:, 28,34,43,50,59,66,74,81,91,99
3-hr:, 30,36,45,52,62,70,77,85,96,105
6-hr:, 36,43,53,61,72,81,90,100,113,124
12-hr:, 42,50,61,70,82,93,103,115,130,143
24-hr:, 53,63,75,85,99,110,121,133,148,160
2-day:, 63,75,89,100,115,126,138,149,164,176
3-day:, 67,80,94,106,120,132,143,154,169,179
4-day:, 72,85,100,111,126,137,149,159,173,182
7-day:, 84,99,115,128,144,156,167,178,191,200
10-day:, 96,113,131,145,164,177,190,202,217,228
20-day:, 131,154,177,195,218,234,251,266,285,298
30-day:, 163,190,216,235,259,277,294,309,328,341
45-day:, 205,239,269,292,321,342,362,380,402,417
60-day:, 248,288,321,346,375,396,414,431,450,463

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,16,17,18,20,21
10-min:, 13,15,18,20,23,25,27,29,31,33
15-min:, 16,19,23,26,29,31,34,36,39,41
30-min:, 22,27,33,37,43,47,52,56,62,66
60-min:, 27,33,42,48,57,64,71,78,88,97
2-hr:, 31,38,48,55,65,74,82,91,104,115
3-hr:, 33,40,50,58,68,77,86,96,110,121
6-hr:, 39,47,58,67,79,89,100,112,128,142
12-hr:, 46,54,66,76,90,101,113,126,145,161
24-hr:, 56,67,80,91,106,118,130,142,159,172
2-day:, 67,80,95,106,122,134,147,160,176,189
3-day:, 72,85,100,112,128,140,152,165,181,193
4-day:, 76,90,106,118,134,146,158,170,185,196
7-day:, 89,104,122,135,152,165,177,189,204,215
10-day:, 101,119,139,154,173,187,201,215,232,244
20-day:, 139,162,187,206,230,248,265,282,304,319
30-day:, 171,200,227,247,273,292,310,327,348,362
45-day:, 216,251,284,308,339,362,383,403,428,445
60-day:, 260,302,337,363,394,416,437,455,477,491

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,10,12,12,13,14,15,15
10-min:, 10,12,15,16,18,20,21,22,23,24
15-min:, 13,16,19,21,23,25,26,28,29,30
30-min:, 18,22,26,30,34,37,40,43,46,48
60-min:, 22,27,34,39,45,50,55,60,65,70
2-hr:, 26,31,39,45,53,59,64,70,77,82
3-hr:, 28,33,41,47,56,62,68,74,82,87
6-hr:, 33,40,49,56,65,73,80,87,96,103
12-hr:, 39,46,57,65,75,84,92,100,111,120
24-hr:, 50,59,71,80,92,102,112,122,135,144
2-day:, 59,70,84,94,108,118,128,138,151,160
3-day:, 63,75,89,99,113,123,133,143,155,164
4-day:, 68,80,94,105,119,129,139,148,160,168
7-day:, 79,93,109,121,136,146,156,166,177,185
10-day:, 91,107,124,137,154,166,178,189,202,211
20-day:, 124,146,168,185,206,221,236,249,266,277
30-day:, 155,181,205,223,246,262,277,291,307,318
45-day:, 195,227,256,277,304,323,341,357,376,389
60-day:, 237,275,306,330,357,376,393,408,425,436

Date/time (GMT):  Thu Feb 29 23:14:08 2024
pyRunTime:  0.04862403869628906
