Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.60866915 Degree
Longitude: -77.61344346 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,18,20,22,25,27
10-min:, 13,16,19,22,25,28,30,33,36,39
15-min:, 16,19,23,27,31,34,37,41,45,49
30-min:, 21,26,32,37,44,49,54,59,67,73
60-min:, 26,32,40,47,57,64,72,81,93,102
2-hr:, 30,36,46,54,65,75,85,97,113,127
3-hr:, 32,39,49,58,70,80,91,104,122,138
6-hr:, 40,48,61,70,85,97,111,125,147,165
12-hr:, 50,60,75,87,105,121,138,156,185,209
24-hr:, 59,71,88,102,124,142,162,183,216,244
2-day:, 68,82,102,118,143,164,188,213,252,285
3-day:, 72,87,107,124,150,172,196,222,261,295
4-day:, 76,91,112,130,157,179,204,231,271,305
7-day:, 89,107,130,149,177,200,224,250,289,320
10-day:, 103,123,148,168,197,220,245,272,310,341
20-day:, 142,168,196,218,249,273,297,321,355,382
30-day:, 178,209,240,264,297,322,347,372,406,431
45-day:, 225,263,299,326,360,386,411,435,466,490
60-day:, 271,316,355,384,420,447,473,498,529,552

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,16,18,20,22,24,27,30
10-min:, 15,18,22,24,28,31,34,37,40,43
15-min:, 18,22,26,30,35,38,42,45,50,54
30-min:, 24,29,36,42,49,55,60,66,75,81
60-min:, 29,36,45,53,64,72,81,90,103,114
2-hr:, 34,41,53,62,74,85,96,109,127,143
3-hr:, 37,44,56,65,79,90,103,116,136,153
6-hr:, 45,54,68,79,95,108,123,138,162,182
12-hr:, 56,67,83,96,116,133,151,172,202,228
24-hr:, 64,77,95,110,133,152,173,196,231,260
2-day:, 74,89,110,128,155,177,202,230,271,307
3-day:, 78,94,116,134,162,185,211,239,281,317
4-day:, 83,99,122,141,169,193,219,248,292,328
7-day:, 96,115,140,161,190,214,240,269,310,345
10-day:, 111,132,158,180,210,235,262,291,332,366
20-day:, 151,178,208,232,263,289,314,341,378,407
30-day:, 188,221,254,279,313,340,367,394,430,458
45-day:, 237,277,314,342,379,406,433,458,492,518
60-day:, 284,332,372,402,441,469,496,523,556,581

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,21,23
10-min:, 12,14,17,19,22,24,26,28,31,33
15-min:, 14,17,21,24,27,30,33,35,39,41
30-min:, 19,23,29,33,38,43,47,51,57,62
60-min:, 23,28,36,42,50,56,63,70,79,87
2-hr:, 26,32,40,47,57,65,73,82,95,106
3-hr:, 29,35,44,51,61,70,79,89,103,115
6-hr:, 36,44,54,63,76,86,97,109,126,140
12-hr:, 45,54,67,78,94,107,121,136,158,177
24-hr:, 55,66,81,95,114,129,147,165,192,214
2-day:, 63,76,94,109,131,150,170,191,223,249
3-day:, 67,80,99,115,138,157,178,200,232,259
4-day:, 71,85,104,121,144,164,185,208,241,268
7-day:, 83,100,121,139,164,184,206,228,260,286
10-day:, 97,115,138,157,183,204,226,249,282,308
20-day:, 134,158,184,205,233,255,277,299,328,351
30-day:, 169,198,227,250,280,303,326,348,378,400
45-day:, 214,250,284,309,341,365,388,410,438,458
60-day:, 258,301,338,366,400,425,449,472,500,521

Date/time (GMT):  Thu Feb 29 23:14:12 2024
pyRunTime:  0.04251599311828613
