Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.41560862 Degree
Longitude: -78.94104729 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,14,15,17,19,21,23
10-min:, 11,13,16,18,21,23,26,28,31,34
15-min:, 14,16,20,22,26,29,32,35,39,42
30-min:, 18,22,27,31,37,41,46,51,57,63
60-min:, 22,27,34,40,48,54,61,69,79,88
2-hr:, 26,31,39,46,56,65,75,85,100,113
3-hr:, 28,33,41,49,60,69,79,91,107,121
6-hr:, 34,40,50,59,72,83,95,108,127,144
12-hr:, 42,49,60,71,86,100,115,131,155,176
24-hr:, 49,59,74,87,107,125,144,166,200,229
2-day:, 58,69,86,100,122,141,162,184,218,247
3-day:, 64,76,94,109,132,151,172,195,229,258
4-day:, 70,83,102,118,142,162,183,206,240,270
7-day:, 80,96,116,132,156,175,195,216,244,272
10-day:, 96,113,135,153,177,196,215,235,263,289
20-day:, 129,152,175,194,220,239,258,276,300,317
30-day:, 158,185,211,232,258,279,298,317,340,356
45-day:, 197,230,260,283,312,333,353,372,394,409
60-day:, 236,274,307,332,363,386,407,426,448,462

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,19,21,23,25
10-min:, 13,15,18,20,23,26,28,31,34,37
15-min:, 16,18,22,25,29,32,35,38,43,46
30-min:, 21,24,30,35,41,46,51,56,63,69
60-min:, 25,30,38,44,53,60,68,76,87,97
2-hr:, 29,34,43,51,62,72,82,94,110,124
3-hr:, 31,37,46,54,66,76,87,99,117,132
6-hr:, 39,46,57,66,80,92,105,120,140,158
12-hr:, 47,55,68,80,96,111,127,145,171,194
24-hr:, 54,65,81,96,117,136,158,182,219,251
2-day:, 63,75,93,109,133,153,176,201,239,271
3-day:, 69,82,102,118,142,163,186,212,250,283
4-day:, 75,90,110,127,152,174,197,222,261,295
7-day:, 86,102,124,141,166,187,209,232,265,298
10-day:, 101,120,143,162,187,208,229,251,283,313
20-day:, 136,159,184,204,231,251,272,293,319,339
30-day:, 166,194,221,242,271,292,314,334,360,379
45-day:, 206,240,271,295,325,348,369,390,414,431
60-day:, 245,285,319,346,378,402,424,445,469,485

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,11,12,14,15,16,18,20
10-min:, 10,12,14,16,19,21,22,24,27,29
15-min:, 12,15,18,20,23,25,28,30,33,36
30-min:, 16,20,24,28,33,36,40,44,50,54
60-min:, 20,24,30,35,42,48,54,60,68,76
2-hr:, 23,27,35,41,50,58,66,74,86,96
3-hr:, 25,30,37,44,53,61,70,79,92,103
6-hr:, 31,36,45,53,63,73,83,94,109,122
12-hr:, 37,44,54,63,76,88,100,113,132,149
24-hr:, 46,55,68,80,97,112,128,146,172,193
2-day:, 53,64,79,92,111,127,145,163,189,211
3-day:, 59,71,87,101,121,138,155,174,200,222
4-day:, 65,78,96,110,131,148,166,185,211,233
7-day:, 75,90,109,124,145,162,179,196,219,238
10-day:, 90,107,127,144,166,183,200,217,240,260
20-day:, 123,145,167,185,209,226,243,259,279,293
30-day:, 152,177,202,222,247,266,283,299,319,333
45-day:, 190,221,250,272,299,319,337,354,373,386
60-day:, 227,264,295,319,349,370,389,406,425,438

Date/time (GMT):  Thu Feb 29 23:14:14 2024
pyRunTime:  0.03441214561462402
