Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.73046262 Degree
Longitude: -82.13335906 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,20,21,24,26
10-min:, 14,16,20,22,25,27,30,32,35,38
15-min:, 17,20,24,27,31,34,37,40,44,47
30-min:, 22,27,33,38,44,49,54,59,66,71
60-min:, 27,33,42,48,57,65,72,80,91,100
2-hr:, 31,38,47,55,66,75,84,94,109,121
3-hr:, 33,40,50,58,69,79,89,99,115,127
6-hr:, 39,47,59,68,81,92,103,116,133,148
12-hr:, 46,55,67,78,92,104,117,131,151,167
24-hr:, 56,67,81,93,109,122,136,150,170,186
2-day:, 69,82,98,111,129,144,159,174,195,212
3-day:, 74,88,105,119,138,152,167,182,202,218
4-day:, 80,95,113,127,146,160,175,190,210,225
7-day:, 96,113,133,149,169,184,199,214,233,248
10-day:, 112,131,153,169,190,205,220,235,253,267
20-day:, 156,183,210,230,255,273,290,306,326,340
30-day:, 195,228,259,281,309,329,348,365,386,400
45-day:, 248,289,325,350,382,404,424,442,463,478
60-day:, 302,352,391,420,455,479,501,520,543,558

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,22,24,26,28
10-min:, 15,18,22,24,28,30,33,35,39,41
15-min:, 19,22,27,30,34,37,41,44,48,52
30-min:, 25,30,37,42,48,54,59,65,72,78
60-min:, 30,37,46,53,63,71,79,88,100,110
2-hr:, 35,42,53,61,73,83,93,104,120,133
3-hr:, 37,45,56,64,77,87,98,110,127,141
6-hr:, 44,53,65,75,90,102,114,128,148,164
12-hr:, 51,61,74,86,102,115,129,144,165,183
24-hr:, 61,73,88,100,118,131,146,161,182,198
2-day:, 74,87,105,119,138,154,170,186,209,226
3-day:, 79,94,112,127,146,162,178,194,215,232
4-day:, 85,101,120,135,154,170,185,201,222,238
7-day:, 102,120,141,158,179,195,211,226,247,262
10-day:, 118,139,161,178,200,216,232,248,268,283
20-day:, 164,192,221,242,268,287,305,322,343,359
30-day:, 205,239,272,295,324,346,365,383,405,420
45-day:, 260,303,339,366,399,422,443,462,485,501
60-day:, 317,369,410,441,477,503,525,546,570,586

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,17,19,21,22
10-min:, 12,15,18,20,22,24,26,28,31,32
15-min:, 15,18,22,24,28,30,33,35,38,41
30-min:, 20,24,30,34,39,44,48,52,57,61
60-min:, 25,30,38,43,51,58,64,71,79,87
2-hr:, 28,34,43,49,59,66,74,82,94,103
3-hr:, 30,36,45,52,62,70,78,87,99,109
6-hr:, 36,43,53,61,72,82,91,102,116,127
12-hr:, 42,50,61,71,83,94,105,116,132,145
24-hr:, 53,63,76,86,101,113,125,138,155,168
2-day:, 64,77,92,104,121,134,148,161,180,194
3-day:, 70,83,99,112,129,142,156,169,187,201
4-day:, 75,89,106,119,137,150,164,177,195,208
7-day:, 91,107,126,140,159,173,187,200,217,230
10-day:, 106,124,145,160,179,194,208,221,238,250
20-day:, 148,173,199,218,241,258,274,289,307,320
30-day:, 186,217,247,268,294,313,331,347,365,378
45-day:, 237,276,310,334,364,384,403,420,440,453
60-day:, 288,335,373,401,434,456,477,495,516,530

Date/time (GMT):  Thu Feb 29 23:14:17 2024
pyRunTime:  0.03883671760559082
