Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.26549699 Degree
Longitude: -74.22240686 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,17,18,19,20,22
10-min:, 14,16,19,22,24,26,28,30,32,34
15-min:, 17,21,25,27,31,33,36,38,41,43
30-min:, 23,28,35,40,46,50,55,59,65,69
60-min:, 29,36,45,52,61,68,76,83,93,101
2-hr:, 36,44,56,65,77,87,98,109,124,136
3-hr:, 40,48,61,72,86,98,110,123,141,156
6-hr:, 51,61,78,91,111,127,144,163,190,212
12-hr:, 61,74,94,112,137,160,184,211,251,286
24-hr:, 70,86,111,132,165,194,226,263,318,367
2-day:, 81,99,128,152,189,220,256,295,354,404
3-day:, 86,105,135,160,197,229,265,304,362,412
4-day:, 91,111,142,168,206,238,274,313,371,420
7-day:, 106,128,161,188,229,263,299,339,398,447
10-day:, 120,144,178,207,247,280,316,354,409,455
20-day:, 162,193,232,263,306,340,375,411,460,499
30-day:, 201,238,281,315,360,395,430,465,512,547
45-day:, 256,302,351,389,438,474,510,545,589,621
60-day:, 306,360,414,454,505,542,577,611,652,682

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,15,17,18,20,21,23,24
10-min:, 15,18,22,24,27,29,32,34,36,38
15-min:, 19,23,27,31,34,37,40,42,46,48
30-min:, 26,32,39,44,51,56,61,66,73,78
60-min:, 33,40,50,58,68,76,84,93,105,114
2-hr:, 40,49,62,72,86,97,109,121,139,154
3-hr:, 44,54,69,80,96,109,123,137,158,176
6-hr:, 57,69,87,102,123,141,161,182,213,239
12-hr:, 69,83,106,125,154,178,206,237,283,323
24-hr:, 79,96,124,147,183,214,250,290,351,405
2-day:, 91,111,143,170,210,245,284,328,394,451
3-day:, 95,116,149,176,217,252,290,334,398,454
4-day:, 100,121,154,182,223,258,297,340,403,457
7-day:, 115,139,174,204,247,283,323,366,430,485
10-day:, 129,155,192,222,265,300,339,380,441,492
20-day:, 172,205,246,279,324,360,398,436,490,532
30-day:, 212,251,296,332,379,417,454,491,542,581
45-day:, 269,317,368,408,459,497,535,572,620,656
60-day:, 321,377,433,475,528,567,604,640,684,717

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,19
10-min:, 12,15,17,19,22,23,25,26,28,29
15-min:, 15,18,22,24,27,30,32,33,35,37
30-min:, 21,25,31,35,41,44,48,52,56,60
60-min:, 26,32,40,46,54,60,66,73,81,87
2-hr:, 32,39,50,58,68,77,86,95,107,116
3-hr:, 36,44,55,64,76,86,96,107,121,131
6-hr:, 45,55,69,81,97,111,124,139,160,176
12-hr:, 55,66,84,99,120,139,158,179,209,234
24-hr:, 64,77,100,119,147,172,199,228,271,308
2-day:, 74,89,115,136,168,195,224,256,302,340
3-day:, 79,96,123,145,178,206,236,268,315,353
4-day:, 84,102,131,154,188,217,247,280,327,366
7-day:, 99,119,149,174,210,240,272,306,354,393
10-day:, 112,135,167,192,229,258,289,322,369,406
20-day:, 153,182,218,247,286,318,348,380,422,454
30-day:, 191,226,267,298,340,372,404,435,476,506
45-day:, 244,287,334,370,415,450,482,513,552,580
60-day:, 292,343,395,433,480,515,547,578,614,640

Date/time (GMT):  Thu Feb 29 23:14:19 2024
pyRunTime:  0.009218931198120117
