Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.63218457 Degree
Longitude: -80.04766838 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,17,19,20,22
10-min:, 12,15,17,20,22,24,26,28,30,32
15-min:, 15,18,21,24,27,30,32,35,37,40
30-min:, 20,24,29,34,39,43,47,51,56,59
60-min:, 24,29,37,43,50,56,63,69,77,83
2-hr:, 28,34,42,49,58,66,74,81,92,100
3-hr:, 30,36,45,53,63,71,79,88,99,109
6-hr:, 37,44,54,63,74,84,95,105,120,132
12-hr:, 44,52,63,73,87,98,111,123,141,155
24-hr:, 53,63,77,88,103,115,128,142,160,174
2-day:, 63,74,89,101,117,130,144,157,176,190
3-day:, 67,80,95,107,124,137,150,164,182,196
4-day:, 72,85,101,114,131,144,157,170,188,201
7-day:, 87,102,120,134,151,165,178,191,208,220
10-day:, 100,118,137,151,170,184,197,210,226,238
20-day:, 141,166,190,208,230,247,262,277,295,307
30-day:, 179,209,237,257,282,300,317,333,351,364
45-day:, 230,268,300,323,352,372,390,407,426,439
60-day:, 277,322,358,384,415,437,456,474,494,508

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,19,21,22,24
10-min:, 14,16,19,22,25,27,29,31,33,35
15-min:, 17,20,24,27,30,33,36,38,41,43
30-min:, 22,27,32,37,43,47,51,56,61,65
60-min:, 27,33,41,47,55,62,69,75,84,91
2-hr:, 31,38,47,54,64,72,80,89,100,109
3-hr:, 34,40,50,58,69,77,86,95,108,118
6-hr:, 40,48,59,68,81,91,102,113,129,141
12-hr:, 48,57,69,80,95,107,120,133,151,166
24-hr:, 57,68,82,94,110,123,136,150,169,185
2-day:, 67,79,95,108,125,139,153,167,187,202
3-day:, 71,85,101,114,132,145,159,173,192,207
4-day:, 76,90,107,120,138,152,166,180,198,212
7-day:, 91,108,126,141,159,173,187,201,218,231
10-day:, 106,124,144,159,179,194,208,221,238,251
20-day:, 149,174,199,218,241,259,275,290,309,322
30-day:, 188,219,248,269,296,314,332,348,368,382
45-day:, 240,279,313,337,367,388,407,424,445,459
60-day:, 289,336,373,400,432,455,475,494,515,529

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,14,16,17,18,19
10-min:, 11,13,16,18,20,22,23,25,27,28
15-min:, 14,16,19,22,25,27,29,31,33,35
30-min:, 18,22,27,30,35,39,42,45,49,52
60-min:, 22,27,33,39,46,51,56,61,68,74
2-hr:, 26,31,38,45,53,59,66,72,81,87
3-hr:, 28,33,41,48,57,64,71,78,88,95
6-hr:, 34,40,49,57,67,76,85,94,106,116
12-hr:, 40,47,58,67,79,89,99,110,124,136
24-hr:, 50,60,72,82,96,107,119,131,147,160
2-day:, 59,70,84,95,110,122,134,146,163,175
3-day:, 63,75,90,101,116,128,140,153,169,181
4-day:, 68,80,95,107,123,135,147,159,175,187
7-day:, 82,97,114,127,143,156,168,180,195,206
10-day:, 95,112,130,143,161,174,186,198,213,224
20-day:, 135,158,181,198,219,234,249,262,279,290
30-day:, 171,199,225,245,269,286,301,316,333,345
45-day:, 220,256,286,309,336,355,372,388,406,419
60-day:, 266,309,342,367,397,418,437,453,472,484

Date/time (GMT):  Thu Feb 29 23:14:21 2024
pyRunTime:  0.012110710144042969
