Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.05790503 Degree
Longitude: -75.34037377 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,18,20,23,27,30
10-min:, 13,16,19,21,25,28,31,35,41,45
15-min:, 16,19,24,27,31,35,39,44,51,57
30-min:, 22,26,33,38,45,51,58,66,77,88
60-min:, 27,33,41,48,59,68,78,90,109,125
2-hr:, 32,39,50,59,72,85,99,117,144,170
3-hr:, 36,44,54,64,78,91,107,125,155,182
6-hr:, 46,56,68,80,97,114,134,157,195,231
12-hr:, 58,70,86,101,124,146,172,203,253,301
24-hr:, 68,82,102,119,147,173,204,240,300,356
2-day:, 80,96,119,139,171,201,237,279,347,411
3-day:, 84,101,125,145,178,209,245,287,357,422
4-day:, 89,106,130,151,185,216,253,296,367,434
7-day:, 105,126,153,177,215,249,289,337,412,481
10-day:, 122,145,175,200,240,275,316,363,438,505
20-day:, 165,195,228,256,299,337,379,427,500,564
30-day:, 206,242,278,309,355,395,439,487,560,622
45-day:, 262,306,346,380,430,473,518,568,641,703
60-day:, 315,367,413,451,507,554,605,660,739,806

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,18,20,23,26,30,34
10-min:, 15,18,21,24,28,31,35,39,46,52
15-min:, 18,22,26,30,35,39,44,49,57,65
30-min:, 24,30,37,42,50,57,65,74,88,100
60-min:, 30,37,46,54,66,76,88,101,123,142
2-hr:, 36,44,56,65,81,95,111,131,163,194
3-hr:, 40,48,60,71,86,101,119,140,174,206
6-hr:, 52,62,76,88,108,127,149,176,220,262
12-hr:, 65,78,96,113,139,163,192,228,287,342
24-hr:, 76,91,112,131,161,189,221,260,323,382
2-day:, 89,106,132,153,188,220,258,302,375,443
3-day:, 93,112,137,160,195,228,266,311,386,455
4-day:, 98,117,143,166,202,235,274,321,396,467
7-day:, 116,139,169,194,235,272,315,366,446,521
10-day:, 134,159,191,219,261,299,343,394,473,545
20-day:, 179,211,247,277,323,363,408,459,537,605
30-day:, 221,259,298,331,380,422,468,520,597,663
45-day:, 279,325,368,404,457,501,550,603,681,746
60-day:, 334,388,436,476,534,584,637,695,779,850

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,16,18,20,22,25
10-min:, 12,14,17,19,22,24,27,30,34,37
15-min:, 14,17,21,24,27,31,34,37,43,47
30-min:, 19,24,29,34,40,45,50,56,65,72
60-min:, 24,29,37,43,52,59,68,77,91,103
2-hr:, 29,36,45,52,64,75,87,101,122,142
3-hr:, 33,39,49,57,70,81,93,108,131,151
6-hr:, 42,50,62,72,87,101,116,135,164,191
12-hr:, 52,63,78,90,110,128,149,173,212,247
24-hr:, 63,75,93,109,133,155,181,212,260,304
2-day:, 74,88,109,127,155,181,210,245,301,351
3-day:, 78,93,114,133,162,188,218,254,311,363
4-day:, 82,98,120,139,168,195,226,263,322,374
7-day:, 97,116,140,162,195,225,259,299,361,417
10-day:, 113,134,161,184,219,250,285,325,388,442
20-day:, 154,182,213,238,277,311,348,389,451,505
30-day:, 193,227,261,289,331,367,406,449,512,566
45-day:, 248,289,327,359,405,444,485,530,595,648
60-day:, 299,349,392,428,480,523,569,618,690,748

Date/time (GMT):  Thu Feb 29 23:14:23 2024
pyRunTime:  0.01170492172241211
