Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.56274716 Degree
Longitude: -80.54577965 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,11,13,13,14,15,16,16
10-min:, 11,14,16,18,20,21,23,24,25,25
15-min:, 14,17,21,23,25,27,28,30,31,32
30-min:, 20,24,29,33,37,41,44,46,49,52
60-min:, 24,30,37,43,50,55,60,65,71,75
2-hr:, 28,34,42,48,56,62,68,73,80,84
3-hr:, 30,36,44,51,59,65,71,77,85,90
6-hr:, 36,43,52,60,70,78,85,93,104,112
12-hr:, 43,51,62,71,84,94,105,116,132,145
24-hr:, 54,64,78,89,104,116,128,141,158,172
2-day:, 64,76,91,103,120,132,145,158,175,188
3-day:, 68,81,97,109,126,138,151,164,180,193
4-day:, 73,86,102,115,132,144,157,169,185,197
7-day:, 85,101,119,132,150,163,176,189,205,217
10-day:, 97,115,134,150,169,184,198,212,229,241
20-day:, 132,155,180,198,223,241,258,275,297,312
30-day:, 164,192,219,239,265,284,302,318,339,354
45-day:, 206,240,272,296,326,349,369,388,412,428
60-day:, 249,290,325,350,381,403,422,440,461,475

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,18
10-min:, 13,15,18,20,22,24,25,26,28,29
15-min:, 16,19,23,25,28,30,32,33,35,36
30-min:, 22,26,32,36,41,45,49,52,56,59
60-min:, 27,33,41,47,55,61,67,73,80,86
2-hr:, 31,37,46,53,62,69,75,82,90,96
3-hr:, 33,39,48,56,65,72,79,86,95,103
6-hr:, 39,47,57,65,76,85,94,103,117,127
12-hr:, 46,55,67,77,91,103,115,128,148,164
24-hr:, 58,69,83,95,111,123,137,151,170,185
2-day:, 68,81,97,110,127,141,154,169,188,203
3-day:, 72,86,103,115,133,147,160,174,193,207
4-day:, 77,91,108,121,139,153,166,180,198,212
7-day:, 89,106,125,139,158,172,186,200,218,231
10-day:, 102,120,141,157,178,193,209,224,243,257
20-day:, 138,162,188,208,233,253,272,291,315,332
30-day:, 171,200,228,250,277,297,317,335,357,374
45-day:, 215,250,284,309,340,364,386,408,434,452
60-day:, 259,301,337,363,396,419,440,460,483,498

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,8,9,10,11,12,12,13,13,14
10-min:, 10,12,15,16,18,19,20,20,21,21
15-min:, 13,15,18,20,23,24,25,26,26,27
30-min:, 18,21,26,29,33,36,38,40,42,43
60-min:, 22,27,34,38,44,49,53,56,60,63
2-hr:, 25,31,38,44,50,55,59,64,68,71
3-hr:, 27,33,40,46,53,58,63,68,73,76
6-hr:, 33,40,48,55,63,70,76,82,89,94
12-hr:, 40,47,57,65,76,85,93,101,112,120
24-hr:, 51,61,74,84,97,108,119,130,144,155
2-day:, 61,72,87,98,112,124,135,146,161,172
3-day:, 65,77,92,103,118,130,141,152,166,176
4-day:, 69,82,97,109,124,136,147,158,171,181
7-day:, 81,96,113,126,142,154,166,177,191,200
10-day:, 93,110,128,143,161,174,187,199,214,224
20-day:, 127,149,172,190,212,229,245,260,278,291
30-day:, 157,184,210,229,254,271,288,303,321,333
45-day:, 198,231,261,284,313,333,352,369,390,404
60-day:, 240,279,313,337,367,387,405,421,440,452

Date/time (GMT):  Thu Feb 29 23:14:25 2024
pyRunTime:  0.024986743927001953
