Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.13676329 Degree
Longitude: -77.20358245 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,23
10-min:, 14,17,20,22,25,27,29,31,34,36
15-min:, 17,21,25,28,32,34,37,40,43,45
30-min:, 24,29,36,41,47,52,57,62,68,73
60-min:, 30,36,46,53,63,70,78,86,98,107
2-hr:, 35,43,54,63,76,86,97,109,126,140
3-hr:, 38,46,58,68,82,93,106,119,139,155
6-hr:, 46,56,71,83,101,117,133,152,179,202
12-hr:, 56,68,86,102,126,147,170,197,236,271
24-hr:, 65,79,101,121,151,178,209,243,297,343
2-day:, 76,92,117,139,173,202,234,270,324,371
3-day:, 80,97,124,147,182,212,246,284,341,389
4-day:, 84,102,130,155,191,223,258,298,357,408
7-day:, 98,118,149,175,215,249,287,329,392,445
10-day:, 112,134,168,196,236,270,307,347,405,454
20-day:, 151,180,217,248,290,325,360,397,449,489
30-day:, 186,220,262,295,342,379,416,455,508,549
45-day:, 234,276,322,358,405,441,476,511,555,588
60-day:, 279,328,378,417,467,504,539,573,616,647

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,15,17,19,20,22,24,26
10-min:, 15,18,22,24,28,30,32,35,38,40
15-min:, 19,23,28,31,35,38,41,44,48,50
30-min:, 26,32,39,45,52,57,63,68,76,82
60-min:, 33,40,50,58,69,78,86,96,109,119
2-hr:, 39,47,60,69,83,95,107,121,140,156
3-hr:, 42,51,64,75,90,103,117,132,154,173
6-hr:, 52,62,79,92,112,129,148,169,200,226
12-hr:, 64,77,97,114,141,164,191,221,267,307
24-hr:, 72,88,112,134,166,195,228,265,321,372
2-day:, 84,102,130,154,190,222,257,296,355,407
3-day:, 89,107,137,163,201,234,270,311,374,428
4-day:, 93,113,144,171,211,245,284,327,392,449
7-day:, 107,129,163,192,235,272,313,359,428,487
10-day:, 123,147,183,214,258,295,334,378,442,496
20-day:, 164,195,235,268,313,350,388,428,484,529
30-day:, 200,236,281,317,366,405,445,487,544,590
45-day:, 249,294,343,381,431,469,507,544,593,629
60-day:, 296,347,401,442,494,534,572,608,654,688

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,19,20
10-min:, 13,15,18,20,22,24,26,28,30,31
15-min:, 16,19,23,25,28,31,33,35,37,39
30-min:, 22,26,32,37,42,46,50,54,59,63
60-min:, 27,33,41,48,56,63,69,76,85,92
2-hr:, 32,39,49,57,68,77,86,96,109,120
3-hr:, 34,41,52,61,73,83,93,104,119,131
6-hr:, 42,51,64,75,90,103,117,132,153,170
12-hr:, 51,61,78,91,111,129,147,168,198,223
24-hr:, 59,72,92,110,136,159,184,212,255,291
2-day:, 69,83,107,126,155,180,207,237,281,317
3-day:, 73,88,113,134,164,190,219,250,295,333
4-day:, 77,93,119,141,173,200,230,262,310,350
7-day:, 90,108,137,161,196,226,258,293,343,386
10-day:, 103,124,154,179,215,245,277,310,358,397
20-day:, 140,167,202,230,268,299,330,362,406,439
30-day:, 174,206,245,276,318,351,384,418,463,498
45-day:, 220,259,303,336,379,412,444,475,515,543
60-day:, 263,309,357,393,439,472,504,535,573,600

Date/time (GMT):  Thu Feb 29 23:14:27 2024
pyRunTime:  0.009418249130249023
