Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.90123494 Degree
Longitude: -74.44011632 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,13,16,18,20,22,26,28
10-min:, 10,12,15,18,22,25,28,31,36,40
15-min:, 12,14,18,21,26,30,33,37,43,47
30-min:, 16,19,24,29,35,39,44,49,57,63
60-min:, 20,24,30,36,43,49,55,62,71,78
2-hr:, 25,30,37,43,52,58,65,72,82,90
3-hr:, 29,34,42,49,58,65,72,80,91,99
6-hr:, 36,42,52,60,70,79,87,97,110,121
12-hr:, 44,52,64,73,87,97,108,120,137,152
24-hr:, 53,62,76,88,104,117,130,144,166,183
2-day:, 62,72,89,102,121,135,149,165,188,206
3-day:, 69,79,96,111,130,145,160,177,200,219
4-day:, 74,85,103,117,138,153,169,186,209,228
7-day:, 88,100,119,134,156,172,189,207,231,250
10-day:, 102,114,134,150,173,190,208,226,251,270
20-day:, 145,159,182,201,227,248,268,288,313,332
30-day:, 182,197,223,244,273,296,318,339,364,382
45-day:, 228,245,274,297,330,356,380,401,427,444
60-day:, 267,286,317,342,377,405,431,453,479,495

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,16,20,23,27,30,36,40
10-min:, 12,15,19,23,28,33,38,43,51,57
15-min:, 15,18,23,27,34,39,44,51,60,67
30-min:, 19,23,30,36,45,51,59,67,79,89
60-min:, 24,29,38,45,56,64,74,84,99,111
2-hr:, 31,37,46,54,66,76,86,98,114,127
3-hr:, 36,42,52,60,73,83,95,107,125,139
6-hr:, 44,51,63,73,89,101,115,129,151,168
12-hr:, 54,62,77,89,109,123,141,159,186,209
24-hr:, 64,74,92,106,130,147,168,189,223,250
2-day:, 74,86,106,122,149,168,191,215,250,279
3-day:, 82,94,115,132,160,180,204,229,265,294
4-day:, 88,101,122,140,168,190,214,240,277,306
7-day:, 104,118,140,159,189,212,237,265,303,333
10-day:, 120,134,158,177,209,233,260,288,327,358
20-day:, 169,185,212,235,272,300,330,363,404,435
30-day:, 210,229,259,284,325,355,388,425,468,498
45-day:, 263,283,317,345,390,424,460,501,545,575
60-day:, 307,329,365,396,444,481,520,563,609,639

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,12,13,14,15,17,18
10-min:, 8,10,12,15,17,19,20,21,24,25
15-min:, 9,11,15,17,20,22,24,25,28,30
30-min:, 13,15,19,23,27,29,32,34,37,40
60-min:, 16,19,24,28,33,37,40,42,46,49
2-hr:, 20,24,30,35,40,44,47,49,54,58
3-hr:, 24,28,34,39,45,49,52,55,60,64
6-hr:, 30,34,42,48,55,60,64,67,73,78
12-hr:, 37,43,52,60,68,74,80,83,92,99
24-hr:, 44,51,63,72,82,90,97,101,111,120
2-day:, 52,60,74,84,96,104,112,117,127,136
3-day:, 58,66,80,92,104,113,120,126,136,145
4-day:, 62,71,86,98,110,119,127,132,143,151
7-day:, 75,84,100,112,125,135,143,148,158,167
10-day:, 87,97,113,126,140,150,158,163,173,181
20-day:, 124,136,155,170,185,196,204,209,217,224
30-day:, 156,169,190,207,223,235,242,247,254,259
45-day:, 197,211,235,253,270,283,290,294,300,302
60-day:, 231,247,272,292,310,324,330,333,337,339

Date/time (GMT):  Thu Feb 29 23:14:29 2024
pyRunTime:  0.008701801300048828
