Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.2119886 Degree
Longitude: -75.36813071 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,18,19
10-min:, 14,16,19,21,24,25,27,28,29,30
15-min:, 17,21,24,27,30,32,34,35,37,38
30-min:, 24,29,35,39,44,48,51,55,58,61
60-min:, 29,36,44,51,59,65,71,77,84,89
2-hr:, 35,42,53,61,72,80,88,97,108,116
3-hr:, 38,46,58,67,78,88,97,106,119,128
6-hr:, 48,58,72,83,99,112,125,139,159,174
12-hr:, 58,70,88,102,124,141,160,181,211,235
24-hr:, 68,82,103,120,145,166,189,213,249,278
2-day:, 79,95,120,139,167,191,215,241,279,309
3-day:, 83,100,126,146,175,199,224,251,289,321
4-day:, 88,105,132,153,183,207,233,261,300,332
7-day:, 102,122,151,175,208,236,265,296,341,377
10-day:, 116,138,169,193,226,254,282,311,351,383
20-day:, 157,186,221,249,287,317,346,376,416,447
30-day:, 195,230,268,297,335,364,393,421,457,484
45-day:, 248,291,334,366,408,438,466,493,527,550
60-day:, 297,347,396,433,478,511,541,570,604,628

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,19,20,21
10-min:, 15,18,21,23,26,27,29,30,32,33
15-min:, 19,23,27,29,32,35,37,38,40,42
30-min:, 26,31,38,42,48,52,56,60,64,67
60-min:, 32,39,48,55,64,71,77,84,92,98
2-hr:, 38,47,58,67,78,88,97,106,119,128
3-hr:, 42,51,64,73,86,96,107,117,131,142
6-hr:, 53,64,79,92,109,123,138,153,175,192
12-hr:, 65,78,97,113,136,156,177,200,233,260
24-hr:, 75,90,113,131,158,181,206,232,270,303
2-day:, 87,105,132,154,184,209,236,265,306,340
3-day:, 92,110,138,161,192,218,246,275,317,352
4-day:, 96,116,144,168,200,227,255,285,329,364
7-day:, 111,134,165,190,227,256,288,322,370,410
10-day:, 125,150,183,209,245,274,304,336,379,415
20-day:, 168,200,238,268,308,340,372,404,448,481
30-day:, 207,244,284,315,356,387,417,447,487,516
45-day:, 262,307,353,387,430,462,493,521,557,582
60-day:, 313,366,418,456,504,539,571,601,638,664

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,15,16,16,17
10-min:, 13,15,18,19,21,23,24,25,26,27
15-min:, 16,19,22,25,27,29,30,31,33,33
30-min:, 22,26,32,36,40,43,46,49,52,54
60-min:, 27,33,41,46,53,59,64,69,75,79
2-hr:, 32,39,48,55,65,72,79,86,94,101
3-hr:, 35,42,53,60,71,78,86,94,103,111
6-hr:, 44,53,65,75,89,100,111,122,137,148
12-hr:, 53,64,80,93,111,126,141,157,179,197
24-hr:, 62,75,94,110,132,150,169,190,219,243
2-day:, 72,87,109,126,151,171,192,214,245,270
3-day:, 76,92,115,133,159,180,201,224,256,281
4-day:, 80,97,120,140,166,188,210,234,266,292
7-day:, 94,113,139,161,191,215,241,268,305,335
10-day:, 108,129,156,178,209,233,258,283,318,344
20-day:, 146,173,206,232,267,293,320,346,380,407
30-day:, 184,216,252,279,315,342,367,392,424,448
45-day:, 235,275,316,347,385,414,440,464,494,515
60-day:, 282,330,376,411,453,484,513,539,570,592

Date/time (GMT):  Thu Feb 29 23:14:31 2024
pyRunTime:  0.009648323059082031
