Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.17751104 Degree
Longitude: -80.37851481 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,19
10-min:, 12,14,17,19,22,24,25,27,29,30
15-min:, 15,18,22,25,28,30,32,34,36,38
30-min:, 21,25,31,36,41,45,49,53,58,61
60-min:, 26,32,40,46,55,61,68,74,83,90
2-hr:, 30,37,47,55,65,73,81,90,101,110
3-hr:, 32,39,50,58,69,78,87,96,108,118
6-hr:, 39,48,60,70,83,95,106,119,136,150
12-hr:, 48,58,72,84,101,116,132,149,173,194
24-hr:, 58,71,90,105,128,147,168,190,222,248
2-day:, 69,84,106,124,149,170,193,216,251,278
3-day:, 74,89,112,131,157,179,202,227,262,291
4-day:, 78,94,118,138,166,188,212,238,274,303
7-day:, 91,109,136,157,186,210,234,260,295,323
10-day:, 104,125,153,175,204,227,250,273,305,330
20-day:, 142,169,202,228,263,291,318,346,382,410
30-day:, 176,208,245,272,308,336,362,388,421,446
45-day:, 223,262,304,335,374,403,430,456,489,512
60-day:, 268,314,358,391,432,461,488,513,543,564

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,19,21,22
10-min:, 13,16,19,22,24,26,28,30,33,34
15-min:, 17,20,24,27,31,33,36,38,41,43
30-min:, 23,28,35,39,46,50,55,59,65,70
60-min:, 29,35,44,51,61,68,75,83,93,102
2-hr:, 33,41,52,60,72,81,91,100,114,125
3-hr:, 36,43,55,64,76,86,96,107,122,134
6-hr:, 43,52,65,76,91,104,117,131,152,168
12-hr:, 52,63,79,92,111,127,144,164,193,218
24-hr:, 63,77,97,114,138,159,180,204,240,269
2-day:, 75,91,114,134,161,184,208,234,271,302
3-day:, 79,96,121,141,169,193,218,245,283,315
4-day:, 84,101,128,149,178,202,228,256,295,328
7-day:, 98,118,146,169,200,225,252,280,319,350
10-day:, 112,134,164,187,218,243,267,293,327,355
20-day:, 151,179,215,242,279,308,338,368,408,440
30-day:, 186,220,259,288,326,355,383,411,447,475
45-day:, 235,277,320,352,394,424,454,482,518,544
60-day:, 282,330,377,411,454,485,513,540,574,597

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,14,15,16,16
10-min:, 11,13,16,18,20,21,22,24,25,26
15-min:, 14,16,20,22,25,27,28,30,31,32
30-min:, 19,23,28,32,37,40,43,46,50,52
60-min:, 23,29,36,42,49,55,60,65,71,76
2-hr:, 27,33,42,49,58,65,72,78,87,93
3-hr:, 29,36,45,53,62,69,77,84,93,99
6-hr:, 36,44,55,64,76,85,94,104,116,125
12-hr:, 44,53,66,77,92,104,116,129,146,160
24-hr:, 54,65,83,97,117,134,151,170,196,218
2-day:, 64,77,98,114,137,155,175,195,223,246
3-day:, 68,83,104,121,145,164,184,205,234,257
4-day:, 73,88,110,128,153,173,194,215,245,269
7-day:, 84,102,126,145,172,193,214,236,265,288
10-day:, 98,117,143,163,189,210,230,251,277,298
20-day:, 133,159,190,214,247,271,296,320,351,375
30-day:, 166,196,231,256,289,314,338,361,390,410
45-day:, 211,249,287,316,353,379,404,427,456,476
60-day:, 255,299,340,371,410,436,461,484,511,529

Date/time (GMT):  Thu Feb 29 23:14:33 2024
pyRunTime:  0.010759353637695312
