Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.02870303 Degree
Longitude: -76.66086657 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,14,15,16,17,19,20
10-min:, 13,16,18,20,22,23,25,26,28,29
15-min:, 16,19,22,24,27,29,31,32,34,36
30-min:, 22,26,31,34,38,41,44,47,51,54
60-min:, 26,32,39,43,49,54,59,64,71,76
2-hr:, 30,36,45,51,61,69,78,88,104,117
3-hr:, 33,39,48,56,67,77,88,100,120,137
6-hr:, 41,49,60,69,83,95,109,125,149,170
12-hr:, 51,60,74,86,104,120,138,159,191,221
24-hr:, 60,71,89,104,128,150,177,208,260,308
2-day:, 70,84,104,121,149,175,206,243,302,358
3-day:, 74,89,109,128,156,183,214,252,312,368
4-day:, 79,94,115,134,163,191,223,261,322,378
7-day:, 92,110,134,155,187,217,252,292,357,416
10-day:, 107,127,152,174,208,239,274,315,379,436
20-day:, 146,173,202,227,265,298,335,377,441,496
30-day:, 182,214,246,273,314,349,387,430,493,548
45-day:, 231,269,304,334,378,415,454,498,561,615
60-day:, 277,323,362,396,445,486,530,578,647,705

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,19,21,22
10-min:, 15,17,20,22,24,26,27,29,31,32
15-min:, 18,21,25,27,30,32,34,36,38,40
30-min:, 24,29,34,38,42,45,49,52,57,60
60-min:, 29,35,43,48,55,60,65,71,79,85
2-hr:, 34,41,50,57,68,77,87,98,116,131
3-hr:, 37,44,54,62,75,86,98,112,135,155
6-hr:, 46,55,68,78,93,107,122,140,168,192
12-hr:, 57,68,84,97,117,135,155,179,217,251
24-hr:, 66,79,98,114,140,163,191,224,278,328
2-day:, 78,94,116,135,165,194,227,266,331,390
3-day:, 83,100,123,142,174,203,237,277,342,402
4-day:, 89,106,129,150,182,212,247,288,354,414
7-day:, 102,122,148,171,206,238,275,319,388,452
10-day:, 117,139,167,191,227,260,298,341,410,471
20-day:, 158,185,216,243,283,318,357,401,469,528
30-day:, 195,229,263,292,335,372,413,458,526,584
45-day:, 245,286,324,355,402,441,483,529,597,654
60-day:, 294,342,383,419,470,514,560,611,685,747

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,15,15,17,18
10-min:, 12,14,16,18,20,21,22,23,25,26
15-min:, 15,18,20,22,24,26,27,29,31,32
30-min:, 19,23,28,31,34,37,39,42,45,48
60-min:, 24,29,35,39,44,49,53,57,63,67
2-hr:, 27,33,40,46,54,61,69,77,90,100
3-hr:, 29,35,43,50,60,68,77,87,102,115
6-hr:, 37,44,54,62,74,84,95,108,127,143
12-hr:, 45,54,66,77,92,105,120,137,162,184
24-hr:, 55,66,82,95,116,135,158,184,226,264
2-day:, 63,76,94,109,134,156,182,212,260,304
3-day:, 68,81,99,115,140,163,190,220,269,313
4-day:, 72,86,105,121,147,170,197,228,278,323
7-day:, 85,101,123,141,170,195,225,259,312,359
10-day:, 99,117,140,160,190,217,248,282,335,382
20-day:, 137,161,188,211,245,275,308,344,399,446
30-day:, 172,201,231,256,293,325,359,397,452,499
45-day:, 218,254,288,315,356,390,426,465,521,568
60-day:, 263,306,344,375,421,459,499,542,604,655

Date/time (GMT):  Thu Feb 29 23:14:35 2024
pyRunTime:  0.011767387390136719
