Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.86247792 Degree
Longitude: -74.54435366 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,16,18,19,20,21
10-min:, 14,16,19,22,24,26,28,29,31,32
15-min:, 17,21,24,27,30,33,35,37,39,41
30-min:, 23,28,34,39,45,49,53,56,61,65
60-min:, 29,35,44,51,59,66,72,78,87,94
2-hr:, 35,43,54,63,76,86,96,107,122,133
3-hr:, 40,48,61,71,85,96,108,120,137,150
6-hr:, 52,63,80,93,112,128,145,164,191,213
12-hr:, 65,79,101,119,145,168,193,221,262,297
24-hr:, 75,91,114,133,162,186,212,240,281,316
2-day:, 89,107,135,157,189,216,245,275,319,355
3-day:, 93,112,140,164,197,224,253,284,329,365
4-day:, 97,117,146,170,204,232,262,294,339,375
7-day:, 114,137,169,196,234,265,299,334,384,426
10-day:, 132,157,192,220,258,290,322,356,403,441
20-day:, 178,211,251,283,326,360,394,428,473,509
30-day:, 221,261,304,337,381,414,447,479,520,551
45-day:, 281,330,380,417,464,499,532,563,602,630
60-day:, 337,394,450,492,543,581,616,649,688,716

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,17,18,19,20,22,23
10-min:, 15,18,21,24,26,28,30,32,34,36
15-min:, 19,23,27,30,33,36,38,40,43,45
30-min:, 26,31,38,43,49,53,58,62,67,71
60-min:, 32,39,49,56,65,72,79,86,96,103
2-hr:, 39,47,60,70,83,94,105,117,133,146
3-hr:, 44,53,68,78,94,106,118,131,150,165
6-hr:, 57,69,87,102,123,140,159,179,208,232
12-hr:, 72,88,111,131,159,184,211,241,285,324
24-hr:, 82,99,124,145,176,201,229,260,305,343
2-day:, 96,116,146,170,205,234,264,298,346,385
3-day:, 100,121,152,177,212,241,273,307,355,396
4-day:, 104,126,158,183,219,249,281,316,365,406
7-day:, 124,148,183,212,252,286,322,360,415,460
10-day:, 141,169,205,235,276,310,345,382,433,475
20-day:, 190,225,268,302,348,383,420,456,507,545
30-day:, 234,276,322,357,403,439,474,508,553,586
45-day:, 297,348,401,440,490,527,562,595,638,668
60-day:, 355,417,476,519,574,614,651,686,729,760

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,18
10-min:, 13,15,18,20,22,23,25,26,27,28
15-min:, 16,19,22,25,27,29,31,33,34,36
30-min:, 21,26,31,35,40,44,47,50,54,57
60-min:, 26,32,40,46,53,59,64,70,77,82
2-hr:, 32,39,49,57,68,77,85,94,106,115
3-hr:, 36,44,56,65,77,86,96,106,119,130
6-hr:, 47,58,72,84,101,115,129,144,165,182
12-hr:, 59,72,91,107,130,149,170,191,223,249
24-hr:, 69,84,105,123,148,169,192,215,249,277
2-day:, 82,99,124,145,174,197,222,248,285,314
3-day:, 86,104,130,151,181,205,231,257,294,324
4-day:, 90,109,136,158,188,213,239,266,304,334
7-day:, 106,127,157,181,216,243,272,302,344,378
10-day:, 123,147,179,204,239,268,296,325,365,396
20-day:, 167,198,236,265,305,335,366,396,435,466
30-day:, 209,246,287,318,359,389,419,447,484,510
45-day:, 266,312,359,395,439,471,502,530,565,590
60-day:, 319,374,427,466,514,550,582,612,647,672

Date/time (GMT):  Thu Feb 29 23:14:40 2024
pyRunTime:  0.009549617767333984
