Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.74066604 Degree
Longitude: -73.58942084 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,17,20,23,26,29,34,37
10-min:, 13,16,20,24,29,32,36,41,48,53
15-min:, 15,19,24,28,34,38,43,48,56,62
30-min:, 21,25,33,38,47,53,59,67,77,87
60-min:, 27,32,42,49,59,67,76,85,99,111
2-hr:, 36,43,55,64,77,87,97,109,125,138
3-hr:, 42,50,63,74,89,100,111,124,142,157
6-hr:, 52,62,78,92,110,124,139,155,178,197
12-hr:, 61,73,94,111,134,152,170,192,223,250
24-hr:, 69,85,110,131,161,182,206,234,276,313
2-day:, 78,97,128,154,189,215,244,279,333,379
3-day:, 85,106,139,167,205,234,264,302,361,411
4-day:, 92,113,148,177,217,246,278,317,378,430
7-day:, 109,132,168,199,241,272,305,346,409,462
10-day:, 126,150,187,219,262,294,329,370,432,484
20-day:, 179,204,246,281,328,364,402,443,500,546
30-day:, 223,251,296,333,384,424,463,504,558,600
45-day:, 279,309,358,398,454,498,540,581,634,671
60-day:, 326,358,410,454,513,560,605,647,699,735

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,15,19,22,28,32,37,42,50,56
10-min:, 17,21,26,31,39,45,52,59,71,80
15-min:, 20,24,31,37,46,53,61,70,83,94
30-min:, 28,33,43,51,64,73,85,96,115,130
60-min:, 35,42,54,65,81,93,108,123,147,167
2-hr:, 47,56,71,84,104,119,137,156,184,206
3-hr:, 54,65,82,96,119,137,157,178,209,234
6-hr:, 67,80,101,119,148,169,194,221,260,292
12-hr:, 78,94,120,143,179,206,238,271,324,367
24-hr:, 88,108,141,168,214,247,288,328,398,457
2-day:, 99,123,162,196,251,291,341,389,476,551
3-day:, 107,133,176,212,271,314,368,420,514,595
4-day:, 115,142,187,224,285,330,386,440,537,620
7-day:, 137,165,212,251,315,362,420,477,577,663
10-day:, 158,187,235,275,341,390,449,508,608,692
20-day:, 222,254,306,351,422,476,538,603,698,775
30-day:, 276,310,367,415,491,549,614,683,776,848
45-day:, 344,381,442,494,577,640,709,785,877,945
60-day:, 401,440,506,561,649,717,789,870,964,1031

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,11,13,15,17,18,19,22,24
10-min:, 10,12,15,18,21,23,26,27,31,34
15-min:, 12,14,18,21,25,28,30,32,36,40
30-min:, 16,19,25,29,34,38,42,45,50,55
60-min:, 20,25,32,37,44,49,53,57,64,70
2-hr:, 28,33,42,49,57,63,69,73,81,88
3-hr:, 32,38,48,56,66,72,79,84,93,100
6-hr:, 40,48,60,70,82,91,99,105,116,126
12-hr:, 47,57,72,85,100,111,122,130,146,160
24-hr:, 54,66,85,101,121,135,149,159,181,201
2-day:, 61,76,100,119,143,160,177,190,219,244
3-day:, 67,83,109,130,156,174,193,206,238,265
4-day:, 72,89,116,138,164,183,203,217,249,278
7-day:, 86,104,132,155,183,203,223,237,270,299
10-day:, 100,118,148,171,200,220,240,254,286,314
20-day:, 142,162,195,221,250,272,291,306,333,355
30-day:, 178,200,235,263,293,317,335,350,373,391
45-day:, 223,247,285,315,347,372,390,404,424,438
60-day:, 261,286,327,359,393,419,436,451,469,480

Date/time (GMT):  Thu Feb 29 23:14:42 2024
pyRunTime:  0.007480621337890625
