Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.78790447 Degree
Longitude: -78.88498513 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,19,20,21,22
10-min:, 14,17,20,22,25,27,29,31,34,35
15-min:, 18,21,25,28,32,35,37,40,42,44
30-min:, 24,29,36,41,47,52,57,62,67,72
60-min:, 30,37,46,53,63,71,78,86,96,105
2-hr:, 36,44,55,65,77,87,98,108,123,135
3-hr:, 39,48,60,71,84,96,107,119,135,149
6-hr:, 51,62,77,91,109,125,141,159,184,206
12-hr:, 65,78,98,116,141,163,187,213,251,286
24-hr:, 78,94,120,142,173,201,230,263,311,352
2-day:, 92,111,141,165,200,230,262,296,346,388
3-day:, 97,118,149,175,212,243,276,312,364,407
4-day:, 103,125,158,185,224,256,290,328,382,427
7-day:, 120,144,180,209,250,284,319,358,412,457
10-day:, 136,164,201,231,273,306,341,377,427,469
20-day:, 179,213,257,291,337,373,410,447,497,536
30-day:, 220,260,307,342,389,424,458,492,536,569
45-day:, 275,325,378,418,468,506,542,578,622,655
60-day:, 323,379,436,478,530,569,605,640,683,714

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,19,20,22,24,25
10-min:, 15,18,22,25,28,30,32,35,37,40
15-min:, 19,23,28,31,35,38,41,44,47,50
30-min:, 27,32,39,45,52,57,63,68,75,80
60-min:, 33,40,50,59,69,78,86,95,107,117
2-hr:, 40,48,61,72,85,97,108,120,137,152
3-hr:, 44,53,67,79,94,106,120,133,152,168
6-hr:, 57,70,87,102,122,140,159,179,209,234
12-hr:, 74,89,111,131,159,184,211,241,287,328
24-hr:, 86,105,133,157,192,222,255,290,344,390
2-day:, 101,122,155,182,221,253,288,326,382,429
3-day:, 107,130,165,193,233,267,303,343,401,450
4-day:, 114,138,174,203,246,281,319,360,420,471
7-day:, 131,157,196,228,272,309,348,390,450,501
10-day:, 148,177,218,250,295,331,369,409,465,512
20-day:, 192,229,276,313,362,401,441,482,538,583
30-day:, 234,278,328,366,415,453,490,527,576,613
45-day:, 292,344,401,443,497,537,577,615,665,701
60-day:, 340,400,459,503,559,600,639,677,724,758

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,15,18,20,23,25,26,28,29,30
15-min:, 16,19,23,26,29,31,33,35,37,38
30-min:, 22,27,32,37,43,47,51,54,58,62
60-min:, 27,33,42,48,57,63,70,76,84,90
2-hr:, 32,39,50,58,69,78,86,95,106,115
3-hr:, 35,43,54,63,75,85,94,104,116,126
6-hr:, 46,56,69,81,97,110,123,136,155,171
12-hr:, 58,70,87,103,124,142,160,180,207,231
24-hr:, 70,85,108,128,155,178,203,229,268,299
2-day:, 83,101,128,150,180,206,232,261,301,334
3-day:, 89,108,136,159,191,218,246,275,318,352
4-day:, 94,114,144,168,202,230,259,290,334,369
7-day:, 110,133,165,191,228,257,288,319,363,399
10-day:, 126,151,186,213,250,279,309,340,382,415
20-day:, 167,199,239,270,312,344,377,409,452,484
30-day:, 206,244,288,321,363,395,425,455,493,521
45-day:, 259,306,356,393,440,474,507,538,577,605
60-day:, 306,359,413,452,501,536,569,600,638,665

Date/time (GMT):  Thu Feb 29 23:14:44 2024
pyRunTime:  0.009644269943237305
