Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.57992633 Degree
Longitude: -75.64054972 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,16,17,18,19,20
10-min:, 14,17,20,22,24,26,27,29,30,32
15-min:, 18,21,25,27,31,33,35,36,38,40
30-min:, 24,29,35,40,45,49,53,57,61,64
60-min:, 30,36,45,52,60,67,73,79,87,94
2-hr:, 36,44,55,63,74,83,91,100,112,121
3-hr:, 39,47,59,68,81,91,101,111,125,136
6-hr:, 48,58,72,84,101,114,128,143,164,181
12-hr:, 59,70,88,103,125,144,165,187,219,246
24-hr:, 68,82,104,123,152,176,203,233,278,316
2-day:, 77,94,120,142,174,201,231,263,311,352
3-day:, 82,99,126,148,181,209,239,272,321,362
4-day:, 86,104,132,155,188,217,248,281,331,372
7-day:, 99,119,149,174,210,241,274,309,361,404
10-day:, 111,133,164,189,225,255,286,319,367,408
20-day:, 150,178,214,243,282,314,345,378,423,457
30-day:, 187,220,260,290,332,364,396,428,470,502
45-day:, 236,278,323,356,400,432,463,493,531,559
60-day:, 282,332,381,417,463,497,529,559,596,622

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,18,19,20,22,23
10-min:, 16,19,22,24,27,29,31,32,34,36
15-min:, 20,23,28,30,34,36,39,41,43,45
30-min:, 27,32,39,44,50,55,59,63,68,72
60-min:, 33,40,50,58,67,74,81,89,98,106
2-hr:, 40,49,61,70,82,92,102,112,126,136
3-hr:, 43,52,65,76,89,100,112,123,139,152
6-hr:, 54,65,81,94,112,127,143,160,185,205
12-hr:, 66,80,100,117,141,163,186,212,249,282
24-hr:, 74,90,115,136,167,193,222,254,303,344
2-day:, 85,104,132,156,191,220,253,288,341,386
3-day:, 90,109,138,163,198,228,261,297,351,396
4-day:, 94,114,144,169,206,236,270,307,360,406
7-day:, 109,131,163,190,230,263,298,336,392,440
10-day:, 121,145,178,206,244,276,309,345,398,442
20-day:, 162,192,231,262,304,338,372,407,456,494
30-day:, 200,236,278,311,355,389,424,458,504,539
45-day:, 251,296,343,379,425,459,493,525,566,596
60-day:, 299,352,404,443,492,527,561,593,633,661

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,14,15,16,17,17
10-min:, 13,15,18,20,22,23,24,25,26,27
15-min:, 16,19,22,25,27,29,31,32,33,34
30-min:, 22,26,32,36,41,44,47,50,53,55
60-min:, 27,33,41,47,54,59,65,70,76,81
2-hr:, 32,39,49,56,66,73,81,88,97,103
3-hr:, 35,43,53,61,72,80,89,97,107,115
6-hr:, 44,53,65,76,90,101,112,124,139,151
12-hr:, 52,63,79,92,110,126,142,158,181,200
24-hr:, 62,74,95,112,137,158,181,206,243,273
2-day:, 71,86,109,129,157,181,206,234,273,306
3-day:, 75,90,115,135,164,188,214,242,282,315
4-day:, 78,95,120,141,171,196,222,251,291,325
7-day:, 91,110,137,160,192,219,247,277,320,355
10-day:, 103,123,152,175,207,233,260,289,330,364
20-day:, 140,166,199,225,261,289,317,346,385,414
30-day:, 175,206,243,271,309,338,367,395,432,460
45-day:, 222,261,303,334,374,404,433,460,494,518
60-day:, 266,313,359,393,436,467,496,523,556,579

Date/time (GMT):  Thu Feb 29 23:14:46 2024
pyRunTime:  0.12548255920410156
