Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.50694406 Degree
Longitude: -76.99828634 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,13,15,17,19,20,21,23,24
10-min:, 16,19,22,24,27,30,32,34,36,39
15-min:, 20,23,27,31,35,38,40,43,46,48
30-min:, 27,32,39,45,51,57,62,67,73,78
60-min:, 34,41,50,58,68,77,85,94,105,114
2-hr:, 40,48,60,71,85,96,108,121,138,152
3-hr:, 43,52,65,77,92,105,119,134,153,171
6-hr:, 52,62,78,92,112,129,147,166,194,218
12-hr:, 62,74,93,111,136,159,183,209,247,282
24-hr:, 70,85,110,132,163,191,222,256,308,352
2-day:, 82,99,128,152,188,219,253,291,347,396
3-day:, 87,105,135,160,197,228,263,301,359,407
4-day:, 91,111,141,167,205,237,273,312,370,419
7-day:, 106,127,160,188,228,262,299,339,397,445
10-day:, 121,145,180,209,250,284,320,359,414,460
20-day:, 163,194,235,268,313,349,387,425,479,521
30-day:, 202,240,285,321,369,407,445,483,534,574
45-day:, 254,300,352,392,445,486,525,564,615,654
60-day:, 303,357,413,456,512,553,593,631,680,716

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,21,22,24,26,27
10-min:, 17,21,24,27,30,33,35,38,40,43
15-min:, 22,26,30,34,38,42,45,47,51,54
30-min:, 30,36,43,49,57,63,68,74,81,87
60-min:, 37,45,55,64,75,85,94,103,116,127
2-hr:, 45,53,66,78,93,106,119,133,152,168
3-hr:, 48,58,72,85,102,117,132,148,170,189
6-hr:, 59,70,87,104,125,144,164,186,216,243
12-hr:, 71,85,106,126,154,180,206,235,278,317
24-hr:, 79,95,123,147,182,212,246,283,339,388
2-day:, 91,110,142,169,208,242,280,322,385,439
3-day:, 96,116,149,177,217,252,290,332,396,451
4-day:, 101,122,156,185,226,261,300,343,407,462
7-day:, 117,140,176,207,251,288,328,372,437,492
10-day:, 132,159,197,228,273,310,350,392,453,504
20-day:, 176,209,253,289,338,377,418,460,519,566
30-day:, 217,257,305,344,395,435,476,518,574,617
45-day:, 271,320,375,418,474,517,560,602,658,701
60-day:, 321,378,438,483,541,585,628,669,722,762

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,15,17,18,19,20,21
10-min:, 14,17,20,22,25,27,29,30,32,34
15-min:, 18,21,25,28,31,34,36,38,40,42
30-min:, 24,29,35,40,46,51,55,59,64,68
60-min:, 30,37,45,53,62,69,76,83,92,100
2-hr:, 36,44,54,64,76,86,96,106,120,132
3-hr:, 39,47,58,69,82,93,105,117,133,146
6-hr:, 47,56,69,82,99,114,128,144,165,184
12-hr:, 55,66,82,98,119,138,157,178,207,232
24-hr:, 64,78,100,119,147,170,196,224,266,301
2-day:, 74,90,116,138,169,196,224,256,301,339
3-day:, 79,96,123,145,177,205,234,266,312,351
4-day:, 83,101,129,152,186,214,244,276,323,363
7-day:, 97,117,147,172,207,237,268,301,349,388
10-day:, 111,134,166,192,229,259,290,323,369,405
20-day:, 151,180,218,248,289,321,354,388,433,468
30-day:, 189,224,267,300,344,378,412,446,490,523
45-day:, 239,282,331,368,417,453,489,523,568,601
60-day:, 285,336,390,430,481,519,555,590,632,663

Date/time (GMT):  Thu Feb 29 23:14:48 2024
pyRunTime:  0.007733583450317383
