Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.7672726 Degree
Longitude: -73.97152637 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,17,20,23,25,28,33,36
10-min:, 14,16,20,24,29,32,36,40,46,51
15-min:, 16,19,24,28,34,38,42,47,54,60
30-min:, 22,26,32,38,46,52,58,64,74,82
60-min:, 27,32,41,48,58,65,73,81,94,104
2-hr:, 36,42,52,61,73,81,91,101,115,127
3-hr:, 42,49,60,70,84,94,104,116,133,146
6-hr:, 52,62,78,91,109,123,137,153,175,193
12-hr:, 64,77,99,117,142,161,181,203,235,261
24-hr:, 74,91,119,143,175,198,224,253,297,334
2-day:, 83,103,135,161,198,225,254,290,345,392
3-day:, 90,110,144,171,210,238,268,306,365,417
4-day:, 96,117,151,180,219,247,279,318,378,431
7-day:, 113,134,170,200,240,271,303,343,405,459
10-day:, 129,152,189,219,262,293,327,368,430,483
20-day:, 180,206,247,281,328,364,401,444,505,556
30-day:, 224,251,296,333,384,422,462,505,566,614
45-day:, 278,308,356,396,451,493,535,580,639,685
60-day:, 324,355,406,448,506,550,595,639,697,741

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,18,21,26,30,35,40,48,54
10-min:, 17,20,25,30,37,43,50,57,68,76
15-min:, 20,23,30,35,44,50,58,67,80,90
30-min:, 27,32,40,47,60,69,79,91,108,122
60-min:, 34,40,51,60,75,87,100,115,137,154
2-hr:, 44,52,64,75,94,107,124,141,167,188
3-hr:, 51,60,74,87,108,123,142,162,192,216
6-hr:, 64,75,95,112,139,160,185,212,252,284
12-hr:, 77,93,120,143,181,210,244,280,336,380
24-hr:, 89,110,144,173,222,258,302,348,422,483
2-day:, 99,123,161,194,250,291,343,395,487,565
3-day:, 107,131,171,206,264,307,362,417,514,597
4-day:, 114,139,180,215,275,319,375,431,531,616
7-day:, 133,159,201,238,300,346,405,463,566,653
10-day:, 152,178,223,260,325,373,433,494,597,685
20-day:, 210,240,289,331,403,457,522,591,697,783
30-day:, 260,292,345,390,468,526,596,671,778,863
45-day:, 322,356,414,463,546,609,684,765,874,957
60-day:, 374,410,470,522,610,677,755,841,951,1033

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,12,13,16,17,18,19,21,23
10-min:, 11,13,16,19,22,24,26,27,30,32
15-min:, 13,15,19,22,26,28,31,32,35,38
30-min:, 18,21,26,30,35,39,42,44,48,52
60-min:, 22,26,33,39,45,49,53,55,61,66
2-hr:, 29,34,42,49,56,61,66,69,75,81
3-hr:, 34,40,49,57,65,71,76,80,87,93
6-hr:, 43,51,64,74,85,93,100,105,115,123
12-hr:, 53,64,82,96,112,123,133,140,155,167
24-hr:, 62,76,99,117,138,153,166,176,196,214
2-day:, 70,86,112,134,157,175,191,201,228,253
3-day:, 76,93,120,143,168,186,203,213,242,269
4-day:, 81,99,127,150,175,193,211,222,251,278
7-day:, 96,114,144,167,194,212,230,240,270,297
10-day:, 110,129,160,184,211,230,248,258,287,313
20-day:, 155,176,210,238,266,287,303,313,339,361
30-day:, 193,216,253,282,311,333,349,358,381,400
45-day:, 240,265,305,337,367,389,404,412,432,447
60-day:, 281,307,349,382,412,435,449,456,472,484

Date/time (GMT):  Thu Feb 29 23:14:50 2024
pyRunTime:  0.00938558578491211
