Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.08168737 Degree
Longitude: -76.51762827 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,22,23,25,27
10-min:, 17,20,23,26,29,32,34,37,40,42
15-min:, 21,25,29,33,37,40,43,46,50,53
30-min:, 29,34,41,47,54,61,66,72,79,86
60-min:, 36,43,52,62,72,82,91,101,114,126
2-hr:, 43,51,63,75,90,104,118,132,152,170
3-hr:, 46,55,68,82,99,115,131,148,173,196
6-hr:, 55,66,82,98,120,139,160,183,214,244
12-hr:, 65,78,97,117,144,169,196,225,268,308
24-hr:, 75,91,118,140,174,204,236,272,326,373
2-day:, 87,105,135,161,201,235,273,315,380,435
3-day:, 92,111,143,169,209,243,280,322,385,440
4-day:, 97,118,150,177,217,251,288,328,389,445
7-day:, 113,137,172,202,245,281,320,362,423,474
10-day:, 129,155,192,223,268,305,344,386,447,498
20-day:, 175,209,253,290,341,383,427,473,538,590
30-day:, 217,257,309,349,406,450,496,543,606,656
45-day:, 270,319,379,427,494,547,601,657,734,795
60-day:, 322,380,446,498,567,621,675,729,800,855

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,16,18,20,22,24,26,28,30
10-min:, 19,22,25,29,32,35,38,41,44,47
15-min:, 23,28,32,36,41,45,48,51,55,59
30-min:, 32,38,45,52,60,67,73,80,88,96
60-min:, 40,48,58,68,80,91,101,112,127,140
2-hr:, 47,57,70,84,100,115,130,146,169,189
3-hr:, 51,61,76,91,110,127,145,165,192,218
6-hr:, 62,74,92,110,134,156,179,204,239,273
12-hr:, 74,89,110,133,163,192,221,254,302,348
24-hr:, 82,100,129,154,191,223,258,298,357,409
2-day:, 96,116,149,178,221,258,300,347,419,482
3-day:, 101,123,157,186,229,266,307,353,423,486
4-day:, 106,129,164,194,237,274,314,359,427,490
7-day:, 123,149,187,219,265,303,346,392,460,518
10-day:, 139,167,208,240,288,328,371,417,484,542
20-day:, 188,224,272,311,366,411,459,509,581,640
30-day:, 231,275,330,373,433,481,530,581,652,708
45-day:, 287,339,403,454,525,582,640,701,787,855
60-day:, 342,403,473,528,602,659,717,776,855,917

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,20,22,23
10-min:, 15,18,21,23,26,28,30,32,35,37
15-min:, 19,23,26,29,33,36,39,41,44,46
30-min:, 26,31,37,43,49,54,59,64,70,75
60-min:, 32,39,47,55,65,73,81,89,100,109
2-hr:, 38,46,57,68,81,93,104,116,132,147
3-hr:, 41,49,61,73,88,101,115,129,149,167
6-hr:, 49,59,73,87,106,123,139,158,183,206
12-hr:, 58,69,86,103,126,147,168,192,224,255
24-hr:, 69,84,108,128,158,183,210,240,283,319
2-day:, 80,96,124,147,182,211,243,277,328,370
3-day:, 84,102,131,155,190,219,250,284,334,377
4-day:, 89,108,138,162,197,227,258,291,340,383
7-day:, 105,127,159,186,224,255,288,323,373,413
10-day:, 120,144,179,207,247,279,313,348,398,438
20-day:, 164,195,237,270,316,353,391,430,484,525
30-day:, 204,242,290,328,379,419,460,500,554,595
45-day:, 254,301,356,401,462,510,557,605,670,718
60-day:, 304,359,421,469,533,582,630,677,737,783

Date/time (GMT):  Thu Feb 29 23:14:52 2024
pyRunTime:  0.010491371154785156
