Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.29617706 Degree
Longitude: -80.79759588 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,15,16,17,18,19,20
10-min:, 13,15,18,20,23,24,26,27,29,30
15-min:, 16,19,22,25,28,30,32,34,37,38
30-min:, 21,25,31,35,40,44,48,51,56,59
60-min:, 26,31,39,45,53,59,65,70,78,84
2-hr:, 31,37,46,53,63,70,77,85,95,103
3-hr:, 33,40,49,57,67,75,83,92,103,112
6-hr:, 40,48,59,68,80,90,100,111,126,138
12-hr:, 47,57,69,79,94,106,119,132,151,167
24-hr:, 57,67,81,93,109,122,136,150,169,185
2-day:, 68,80,96,109,126,140,155,169,189,205
3-day:, 74,87,104,117,135,150,164,179,199,214
4-day:, 80,94,112,126,144,159,174,188,208,223
7-day:, 97,115,134,150,169,185,199,214,233,247
10-day:, 113,133,154,171,191,207,222,237,255,269
20-day:, 161,188,215,236,261,280,297,314,334,349
30-day:, 204,239,270,293,322,342,361,379,400,415
45-day:, 263,306,342,369,401,425,446,465,487,503
60-day:, 318,369,410,440,475,501,523,543,567,582

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,21,22
10-min:, 14,17,20,22,25,27,28,30,32,34
15-min:, 17,21,25,27,31,33,36,38,40,42
30-min:, 23,28,34,39,44,48,52,56,61,65
60-min:, 28,34,43,50,58,64,71,77,86,92
2-hr:, 33,40,50,58,68,76,84,92,103,112
3-hr:, 36,43,54,62,73,82,91,100,112,123
6-hr:, 43,52,64,74,87,98,109,121,137,151
12-hr:, 51,62,75,86,102,115,128,143,164,182
24-hr:, 61,72,88,100,117,131,145,160,180,197
2-day:, 72,86,103,116,135,150,165,180,202,218
3-day:, 79,93,111,125,144,160,175,190,211,228
4-day:, 85,101,119,134,154,169,185,200,221,237
7-day:, 103,122,143,159,180,196,212,227,247,262
10-day:, 119,141,163,180,202,218,234,250,269,284
20-day:, 169,198,227,248,274,294,312,330,351,366
30-day:, 214,250,283,307,337,359,379,397,420,436
45-day:, 275,320,358,386,420,444,466,486,510,526
60-day:, 333,386,428,460,497,523,547,568,593,610

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,14,15,16,17,18
10-min:, 12,14,16,18,20,22,23,24,26,27
15-min:, 14,17,20,23,25,27,29,31,32,34
30-min:, 19,23,28,32,37,40,43,46,49,52
60-min:, 24,29,36,41,48,53,58,63,69,74
2-hr:, 28,34,42,49,57,63,70,76,84,90
3-hr:, 30,37,45,52,61,68,75,82,91,99
6-hr:, 37,44,54,62,73,82,90,99,111,121
12-hr:, 44,53,64,73,86,96,107,118,133,144
24-hr:, 53,63,76,87,101,113,125,138,155,168
2-day:, 63,75,90,102,118,131,143,157,174,188
3-day:, 69,82,97,110,126,139,152,166,183,197
4-day:, 75,88,105,118,135,148,161,174,192,205
7-day:, 91,108,126,140,159,173,186,199,216,229
10-day:, 107,126,146,162,181,196,210,223,240,252
20-day:, 153,179,205,224,248,265,282,297,315,329
30-day:, 195,227,257,279,306,325,343,359,379,392
45-day:, 251,292,326,352,383,405,424,442,463,477
60-day:, 304,353,392,420,454,478,499,518,540,554

Date/time (GMT):  Thu Feb 29 23:14:54 2024
pyRunTime:  0.02736520767211914
