Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.89934014 Degree
Longitude: -76.26420872 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 17,20,23,26,29,32,34,37,40,42
15-min:, 21,25,29,32,37,40,43,46,50,53
30-min:, 29,34,41,47,54,60,66,72,79,86
60-min:, 36,43,52,61,72,82,91,101,114,126
2-hr:, 42,51,63,75,91,104,118,133,153,172
3-hr:, 46,55,68,82,99,116,132,151,176,200
6-hr:, 55,66,82,99,121,141,162,186,219,249
12-hr:, 65,78,98,118,145,171,198,229,272,313
24-hr:, 74,91,117,139,173,201,233,268,320,365
2-day:, 86,104,134,160,198,231,269,310,373,427
3-day:, 91,110,141,167,206,239,275,315,375,429
4-day:, 96,116,148,174,213,246,281,320,378,431
7-day:, 112,134,169,198,239,274,312,352,410,458
10-day:, 127,152,188,218,261,297,335,376,435,483
20-day:, 171,203,247,283,333,375,418,463,527,578
30-day:, 211,251,301,342,397,441,486,532,596,645
45-day:, 262,310,369,417,484,538,594,651,730,793
60-day:, 313,369,434,486,556,610,665,720,794,851

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,16,18,20,22,24,25,28,30
10-min:, 18,22,25,28,32,35,37,40,44,47
15-min:, 23,27,31,36,40,44,47,51,55,59
30-min:, 32,38,45,52,59,66,73,79,87,95
60-min:, 39,47,57,67,79,90,100,111,126,139
2-hr:, 47,56,70,83,100,115,130,146,168,189
3-hr:, 51,61,76,91,110,128,146,166,194,220
6-hr:, 62,74,92,111,135,157,180,206,242,276
12-hr:, 74,88,110,133,163,192,222,255,303,348
24-hr:, 81,99,127,152,187,218,252,290,348,398
2-day:, 94,115,147,175,217,253,294,340,410,471
3-day:, 99,121,154,182,224,260,300,344,412,472
4-day:, 104,127,161,190,232,267,306,349,414,474
7-day:, 121,146,183,214,259,296,337,381,446,501
10-day:, 136,163,203,235,281,320,362,406,471,527
20-day:, 183,218,265,303,357,401,448,498,569,628
30-day:, 226,268,322,365,424,471,520,570,641,697
45-day:, 279,330,393,444,515,574,633,695,783,853
60-day:, 332,391,461,516,590,648,708,768,851,915

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,16,18,19,21,22,23
10-min:, 15,18,21,23,26,28,31,33,35,37
15-min:, 19,23,26,29,33,36,39,41,44,46
30-min:, 26,31,37,43,49,54,59,64,70,75
60-min:, 33,39,47,55,65,73,81,90,100,110
2-hr:, 38,46,57,68,81,93,105,117,134,149
3-hr:, 41,49,61,74,89,103,117,132,152,171
6-hr:, 50,59,74,88,107,125,142,161,187,211
12-hr:, 58,70,87,105,128,149,172,196,229,260
24-hr:, 69,84,108,128,158,183,209,238,280,314
2-day:, 79,96,123,146,179,208,239,272,321,362
3-day:, 84,101,129,153,187,215,246,278,326,367
4-day:, 88,107,136,160,194,223,252,284,330,372
7-day:, 103,125,156,182,219,250,281,315,362,399
10-day:, 118,141,175,202,241,272,305,339,386,424
20-day:, 160,190,231,263,309,345,383,421,473,513
30-day:, 199,236,283,320,371,410,449,489,542,582
45-day:, 246,291,346,390,452,500,548,597,663,713
60-day:, 295,348,409,457,522,571,619,667,730,776

Date/time (GMT):  Thu Feb 29 23:14:56 2024
pyRunTime:  0.007514476776123047
