Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.74935147 Degree
Longitude: -75.31163812 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,15,16,18,19,21,23
10-min:, 13,15,18,20,23,25,28,30,34,37
15-min:, 16,19,23,26,29,32,35,38,43,46
30-min:, 22,26,32,37,43,48,54,59,67,74
60-min:, 27,33,42,48,58,65,74,83,96,108
2-hr:, 33,40,50,58,70,81,93,106,125,143
3-hr:, 36,44,55,64,77,88,100,114,135,153
6-hr:, 46,56,69,80,96,111,127,146,174,200
12-hr:, 57,69,86,100,122,141,163,188,228,263
24-hr:, 67,80,100,117,142,164,188,216,257,293
2-day:, 79,95,118,137,166,190,218,248,293,332
3-day:, 83,100,124,144,174,199,227,258,304,345
4-day:, 87,104,130,151,181,208,237,269,316,358
7-day:, 103,123,151,175,209,239,271,307,361,406
10-day:, 119,141,172,196,232,262,294,329,379,422
20-day:, 160,189,224,252,292,324,357,393,443,483
30-day:, 199,235,273,303,343,376,409,444,491,529
45-day:, 253,296,339,372,416,450,483,517,562,597
60-day:, 304,355,403,440,489,526,562,599,647,683

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,21,24,26
10-min:, 14,17,20,23,26,28,31,34,38,41
15-min:, 18,21,25,28,32,36,39,42,47,52
30-min:, 24,29,36,41,48,53,59,66,75,83
60-min:, 30,37,46,53,64,72,82,92,107,121
2-hr:, 37,44,56,65,78,90,102,117,140,161
3-hr:, 40,49,61,70,85,97,110,126,150,172
6-hr:, 51,62,76,88,106,122,140,161,194,223
12-hr:, 64,77,95,111,134,156,180,208,253,293
24-hr:, 73,87,108,126,153,176,202,231,275,314
2-day:, 85,103,128,149,179,205,234,266,314,356
3-day:, 90,108,134,155,187,214,244,277,326,369
4-day:, 94,113,140,162,195,223,254,288,339,383
7-day:, 111,133,163,189,226,257,292,330,387,436
10-day:, 128,152,184,211,249,281,315,352,406,452
20-day:, 170,201,238,268,309,343,379,416,469,513
30-day:, 211,248,288,319,362,397,432,469,519,559
45-day:, 267,312,357,392,438,474,509,545,594,631
60-day:, 319,374,424,463,514,553,592,630,681,720

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,11,13,14,15,17,18,20
10-min:, 11,14,16,18,21,22,24,26,29,31
15-min:, 14,17,20,23,26,28,31,33,36,39
30-min:, 20,24,29,33,38,42,47,51,57,62
60-min:, 24,30,37,43,51,57,64,71,82,91
2-hr:, 29,36,45,52,63,72,81,92,107,120
3-hr:, 33,40,49,57,68,78,88,99,115,129
6-hr:, 42,50,62,72,86,98,111,126,148,167
12-hr:, 52,62,77,90,108,124,142,162,192,218
24-hr:, 62,75,93,108,131,150,171,194,228,256
2-day:, 73,88,109,127,152,174,197,223,260,292
3-day:, 77,92,115,133,160,182,206,233,272,304
4-day:, 81,97,120,139,167,190,215,243,283,317
7-day:, 96,114,140,162,193,220,248,278,323,361
10-day:, 111,132,160,183,215,242,270,300,343,379
20-day:, 150,178,211,237,273,302,332,363,407,441
30-day:, 188,222,257,285,323,353,383,414,455,488
45-day:, 240,282,322,353,395,426,457,488,528,559
60-day:, 289,338,383,418,464,498,532,565,608,641

Date/time (GMT):  Thu Feb 29 23:14:58 2024
pyRunTime:  0.009528875350952148
