Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.84760963 Degree
Longitude: -76.70862527 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,20,22,24,26,27,29,31
15-min:, 17,20,23,25,28,30,32,34,36,38
30-min:, 22,26,31,35,39,43,46,49,54,57
60-min:, 27,32,39,44,51,56,61,67,75,81
2-hr:, 31,37,46,53,63,72,82,93,109,124
3-hr:, 34,40,50,58,69,80,92,105,126,144
6-hr:, 42,50,62,72,86,99,114,130,157,180
12-hr:, 51,62,76,88,107,124,143,166,201,232
24-hr:, 60,72,90,105,129,152,179,210,262,310
2-day:, 71,85,105,122,151,177,208,244,304,359
3-day:, 75,90,111,129,158,185,217,255,317,374
4-day:, 80,95,117,136,166,194,227,266,329,388
7-day:, 94,112,136,157,191,221,257,299,367,429
10-day:, 108,128,154,177,212,243,280,322,388,448
20-day:, 148,175,205,230,269,303,341,384,450,508
30-day:, 185,217,250,277,319,355,394,438,504,561
45-day:, 234,272,308,338,383,421,462,507,573,628
60-day:, 280,326,366,400,450,493,538,587,659,719

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,16,17,19,20,22,23
10-min:, 15,18,21,22,25,27,28,30,32,34
15-min:, 18,22,25,28,31,33,35,37,40,43
30-min:, 24,29,35,39,43,47,51,55,60,64
60-min:, 30,36,43,49,56,62,68,74,83,90
2-hr:, 35,41,51,59,70,80,91,103,122,139
3-hr:, 38,45,56,64,78,89,103,118,141,163
6-hr:, 47,56,69,80,96,111,127,146,176,203
12-hr:, 58,69,85,99,119,138,160,185,225,262
24-hr:, 67,80,99,116,142,166,194,227,282,332
2-day:, 78,94,116,136,166,194,228,267,331,391
3-day:, 84,100,123,143,175,204,239,280,346,407
4-day:, 89,106,130,151,184,214,250,292,360,423
7-day:, 103,123,149,172,209,242,280,325,397,463
10-day:, 118,140,168,193,230,264,303,348,419,483
20-day:, 160,188,220,247,288,324,364,410,480,542
30-day:, 198,233,268,297,341,379,421,468,538,599
45-day:, 249,290,328,360,407,448,491,539,609,669
60-day:, 297,346,388,424,477,521,569,621,698,762

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,15,16,18,19
10-min:, 12,15,17,18,20,22,23,24,26,27
15-min:, 15,18,21,23,25,27,28,30,32,34
30-min:, 20,24,28,31,35,38,41,44,48,51
60-min:, 24,29,36,40,46,50,55,60,66,71
2-hr:, 28,34,41,48,56,64,72,81,95,106
3-hr:, 30,36,45,52,62,71,80,91,108,122
6-hr:, 37,45,55,64,77,87,100,113,134,151
12-hr:, 46,55,68,79,95,109,125,143,171,195
24-hr:, 55,66,82,96,117,136,159,185,227,264
2-day:, 64,77,95,110,135,157,183,213,261,305
3-day:, 68,82,100,117,142,165,192,223,273,318
4-day:, 73,87,106,123,149,173,201,233,285,331
7-day:, 86,103,124,143,173,199,230,265,320,370
10-day:, 100,119,142,163,194,221,253,288,343,392
20-day:, 139,163,191,214,249,279,313,351,407,456
30-day:, 174,203,234,260,297,330,365,404,462,510
45-day:, 220,257,291,320,361,396,433,473,532,581
60-day:, 266,309,347,379,426,465,506,550,615,667

Date/time (GMT):  Thu Feb 29 23:15:03 2024
pyRunTime:  0.009229183197021484
