Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.89207387 Degree
Longitude: -76.41954778 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,13,15,17,19,20,22,23,25
10-min:, 15,18,22,24,27,30,32,34,37,39
15-min:, 19,23,27,31,35,38,41,43,47,49
30-min:, 26,32,39,44,51,57,62,67,74,80
60-min:, 33,40,50,58,68,77,86,95,107,117
2-hr:, 40,48,60,71,84,96,108,121,138,153
3-hr:, 43,52,65,77,93,107,121,137,158,177
6-hr:, 52,63,79,94,114,132,151,172,201,227
12-hr:, 62,75,94,113,139,163,189,218,261,300
24-hr:, 68,83,108,129,162,191,223,260,315,364
2-day:, 79,96,125,149,187,219,255,296,358,412
3-day:, 84,102,131,157,195,228,265,306,368,422
4-day:, 88,107,138,164,203,237,274,316,378,431
7-day:, 102,123,156,184,225,260,298,340,403,456
10-day:, 116,139,174,202,243,277,314,354,412,461
20-day:, 155,184,223,254,298,334,370,408,461,503
30-day:, 193,229,272,307,355,393,431,470,522,563
45-day:, 241,285,334,372,422,459,496,533,580,615
60-day:, 287,338,391,431,482,519,555,589,632,663

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,21,22,24,26,28
10-min:, 17,20,24,27,30,33,36,38,41,44
15-min:, 21,26,30,34,38,42,45,48,52,55
30-min:, 29,35,43,49,56,63,69,75,83,90
60-min:, 36,44,55,64,75,85,95,105,119,131
2-hr:, 44,53,66,78,93,106,120,134,154,172
3-hr:, 48,58,73,86,103,119,135,152,176,198
6-hr:, 59,70,88,104,127,147,168,192,226,257
12-hr:, 71,85,107,128,157,184,214,247,297,343
24-hr:, 78,95,123,147,183,215,251,291,352,406
2-day:, 88,108,140,167,208,244,284,329,398,457
3-day:, 93,114,147,175,217,253,293,339,407,467
4-day:, 99,120,154,183,226,262,303,349,417,477
7-day:, 113,136,172,203,248,286,328,374,443,501
10-day:, 128,153,191,222,266,304,344,387,450,504
20-day:, 169,201,242,277,324,362,401,443,501,547
30-day:, 208,247,294,331,382,423,464,506,564,608
45-day:, 259,305,358,398,451,491,531,570,621,660
60-day:, 306,360,417,459,513,553,591,628,674,708

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,17,18,19,21,22
10-min:, 14,17,20,22,25,27,29,30,33,34
15-min:, 18,21,25,28,31,34,36,38,41,43
30-min:, 24,29,35,40,46,51,55,60,65,70
60-min:, 30,36,45,52,61,69,76,84,93,101
2-hr:, 36,43,54,64,76,86,96,106,120,132
3-hr:, 39,47,59,69,83,95,106,119,136,150
6-hr:, 47,57,71,84,101,116,132,148,171,191
12-hr:, 56,67,84,100,122,142,163,185,217,245
24-hr:, 61,74,96,115,143,167,194,224,267,305
2-day:, 71,86,112,134,166,194,224,258,307,349
3-day:, 75,92,118,141,174,203,234,268,318,360
4-day:, 80,97,125,148,182,211,243,278,328,371
7-day:, 93,112,142,166,203,233,266,301,353,395
10-day:, 106,128,159,184,221,251,283,317,365,405
20-day:, 143,170,206,234,274,305,338,371,416,451
30-day:, 178,212,252,284,327,361,395,429,475,510
45-day:, 225,266,311,346,392,426,459,491,533,564
60-day:, 269,316,366,403,450,485,517,548,586,612

Date/time (GMT):  Thu Feb 29 23:15:05 2024
pyRunTime:  0.02778172492980957
