Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.14359374 Degree
Longitude: -78.05064246 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,20,21,22
10-min:, 15,18,21,23,26,28,30,32,34,35
15-min:, 19,22,26,30,33,36,38,40,43,44
30-min:, 26,31,37,43,49,54,58,62,68,72
60-min:, 32,39,48,56,65,73,80,88,97,105
2-hr:, 38,46,57,67,80,90,101,112,127,139
3-hr:, 41,49,61,72,86,97,109,120,137,150
6-hr:, 49,59,74,87,105,120,136,153,176,197
12-hr:, 59,71,90,106,129,150,172,195,230,260
24-hr:, 69,84,107,127,156,181,208,238,282,319
2-day:, 81,98,125,147,179,205,234,265,310,348
3-day:, 86,104,132,155,188,216,246,278,324,363
4-day:, 90,109,139,163,198,227,257,291,339,378
7-day:, 104,125,156,182,218,248,280,314,363,403
10-day:, 119,142,175,202,240,271,303,336,384,422
20-day:, 161,192,232,263,306,339,373,408,454,491
30-day:, 199,236,279,312,354,387,419,450,490,521
45-day:, 249,295,344,382,429,465,499,532,574,604
60-day:, 297,349,404,444,496,534,571,605,649,680

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,16,18,20,21,23,24,25
10-min:, 17,20,24,26,29,32,34,36,38,40
15-min:, 21,25,30,33,37,40,43,45,48,50
30-min:, 29,35,42,48,55,60,65,70,76,81
60-min:, 36,44,54,63,73,82,90,99,109,118
2-hr:, 43,52,65,76,90,102,114,126,143,157
3-hr:, 47,56,70,82,97,110,123,136,154,169
6-hr:, 57,68,85,100,119,136,154,173,199,221
12-hr:, 67,81,101,120,145,167,191,217,255,288
24-hr:, 78,95,121,142,174,202,232,265,314,356
2-day:, 90,109,139,163,198,227,259,293,343,385
3-day:, 95,115,146,171,207,238,271,306,358,401
4-day:, 99,120,152,179,217,248,283,319,372,416
7-day:, 114,137,172,199,239,272,307,344,398,443
10-day:, 129,155,191,220,261,294,329,366,418,461
20-day:, 174,207,250,284,329,365,402,439,490,530
30-day:, 213,253,299,334,379,414,448,482,527,561
45-day:, 266,314,367,407,457,495,532,568,614,648
60-day:, 316,371,429,472,526,567,606,644,691,726

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,14,16,17,17,19,19
10-min:, 13,16,18,21,23,25,26,28,29,30
15-min:, 17,20,23,26,29,31,33,35,37,38
30-min:, 23,27,33,38,43,47,51,54,59,62
60-min:, 28,34,43,49,58,64,70,76,84,90
2-hr:, 33,40,50,59,69,78,87,96,108,117
3-hr:, 36,43,54,63,75,84,94,104,116,126
6-hr:, 44,52,65,76,91,104,117,130,148,163
12-hr:, 53,64,80,94,114,131,148,167,193,215
24-hr:, 62,75,96,113,138,159,182,205,240,268
2-day:, 73,89,113,132,160,183,207,233,268,297
3-day:, 78,94,120,140,169,194,219,245,283,313
4-day:, 83,100,127,148,179,204,230,258,297,329
7-day:, 96,115,143,166,199,225,253,282,322,354
10-day:, 109,131,162,186,220,248,275,305,344,376
20-day:, 149,178,215,244,282,312,342,372,412,442
30-day:, 186,220,260,290,329,359,387,415,450,475
45-day:, 233,276,322,356,400,433,464,493,530,556
60-day:, 280,329,380,417,465,500,533,564,602,630

Date/time (GMT):  Thu Feb 29 23:15:09 2024
pyRunTime:  0.00925445556640625
