Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.8895449 Degree
Longitude: -74.28089251 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,21,23
10-min:, 14,17,20,23,25,27,30,31,34,36
15-min:, 18,21,26,28,32,35,37,40,43,45
30-min:, 24,30,36,41,48,52,57,62,68,73
60-min:, 30,37,47,54,63,71,79,87,97,106
2-hr:, 37,46,58,67,80,90,101,112,128,141
3-hr:, 41,50,63,74,89,101,114,127,146,161
6-hr:, 51,63,79,93,112,129,146,165,193,216
12-hr:, 62,76,96,114,140,163,188,216,257,294
24-hr:, 72,87,114,136,171,201,235,273,332,383
2-day:, 83,101,131,157,195,229,267,310,374,430
3-day:, 88,107,138,164,204,238,276,318,382,438
4-day:, 93,112,144,171,212,246,285,327,391,445
7-day:, 108,130,164,193,236,272,312,356,421,476
10-day:, 122,146,181,211,253,289,327,367,429,482
20-day:, 165,196,237,270,316,353,391,431,486,530
30-day:, 204,241,287,323,373,412,451,491,545,587
45-day:, 261,308,360,400,453,493,531,569,618,655
60-day:, 310,365,422,464,518,558,596,631,676,709

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,26
10-min:, 16,19,22,25,28,30,33,35,38,40
15-min:, 20,24,28,32,36,38,41,44,48,51
30-min:, 27,33,40,46,53,58,63,69,76,82
60-min:, 34,41,51,60,70,79,87,96,109,120
2-hr:, 42,51,64,75,89,100,113,126,144,160
3-hr:, 46,56,71,83,99,113,127,143,165,184
6-hr:, 58,70,89,104,126,144,164,186,219,247
12-hr:, 70,85,108,128,157,183,211,244,293,336
24-hr:, 79,96,125,149,186,218,255,296,359,415
2-day:, 90,110,143,170,212,249,289,336,406,468
3-day:, 95,116,149,177,220,256,297,344,413,474
4-day:, 100,121,156,185,227,264,305,351,420,480
7-day:, 116,140,177,207,253,292,334,381,452,512
10-day:, 130,156,194,225,270,308,348,391,458,517
20-day:, 174,208,251,285,334,372,413,455,514,561
30-day:, 214,254,302,339,391,432,474,516,574,620
45-day:, 273,322,377,418,473,514,555,595,647,686
60-day:, 324,381,440,484,540,581,621,659,707,743

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,19,20
10-min:, 13,15,18,20,23,24,26,28,30,31
15-min:, 16,19,23,26,29,31,33,35,37,39
30-min:, 22,27,33,37,43,47,51,54,59,63
60-min:, 27,34,42,48,57,63,70,76,85,92
2-hr:, 34,41,52,60,71,80,89,98,110,120
3-hr:, 37,45,57,66,79,89,99,110,124,136
6-hr:, 46,56,70,82,99,113,127,142,162,179
12-hr:, 56,68,86,101,123,142,162,183,214,239
24-hr:, 66,80,104,125,155,181,210,242,289,329
2-day:, 76,93,120,144,178,207,240,275,327,371
3-day:, 81,99,127,151,187,217,249,285,337,382
4-day:, 86,105,134,159,195,226,259,295,348,392
7-day:, 101,122,153,180,219,251,286,323,377,422
10-day:, 114,137,170,198,237,268,302,337,390,434
20-day:, 156,186,225,256,298,332,366,402,449,486
30-day:, 194,230,273,307,353,389,424,460,507,543
45-day:, 249,294,344,382,431,468,503,538,582,613
60-day:, 297,349,403,444,494,531,566,599,639,668

Date/time (GMT):  Thu Feb 29 23:15:11 2024
pyRunTime:  0.011006593704223633
