Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.0955451 Degree
Longitude: -80.62203992 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,20,22,23
10-min:, 13,15,18,21,23,25,28,29,32,34
15-min:, 15,19,22,25,29,32,34,37,40,42
30-min:, 20,25,31,35,41,45,49,53,59,63
60-min:, 25,30,39,45,53,59,66,73,82,89
2-hr:, 29,35,44,51,61,69,77,86,97,106
3-hr:, 31,37,47,54,65,73,82,92,104,115
6-hr:, 36,44,55,64,76,86,97,109,124,137
12-hr:, 43,51,63,73,88,100,112,125,144,160
24-hr:, 51,61,74,85,101,114,127,141,160,176
2-day:, 60,71,86,99,116,129,143,158,177,193
3-day:, 64,76,92,104,122,136,150,164,184,200
4-day:, 69,81,97,110,128,142,156,171,191,207
7-day:, 82,97,115,129,148,163,178,193,213,228
10-day:, 95,112,131,146,166,182,197,213,233,248
20-day:, 133,156,181,200,225,244,263,281,304,321
30-day:, 167,196,224,246,275,297,318,338,364,383
45-day:, 214,249,282,307,339,363,385,406,432,450
60-day:, 257,299,336,364,398,423,447,468,494,512

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,24,26
10-min:, 14,17,20,23,26,28,31,33,36,38
15-min:, 17,21,25,28,32,35,38,41,44,47
30-min:, 23,28,34,39,46,50,55,60,66,70
60-min:, 28,34,43,50,59,66,74,81,91,99
2-hr:, 33,40,50,58,69,78,86,96,108,118
3-hr:, 35,42,53,61,73,83,92,103,117,128
6-hr:, 41,49,61,71,85,96,108,120,137,151
12-hr:, 48,57,70,81,96,109,122,136,156,172
24-hr:, 55,66,80,92,109,122,136,150,171,187
2-day:, 64,77,93,106,124,138,153,168,189,206
3-day:, 69,82,98,111,130,144,159,175,196,212
4-day:, 73,87,103,117,136,151,166,181,202,219
7-day:, 87,103,122,137,157,173,189,205,226,242
10-day:, 100,118,138,154,176,192,209,225,246,262
20-day:, 141,165,191,211,237,257,276,295,320,338
30-day:, 176,206,236,259,290,312,334,356,383,403
45-day:, 224,262,296,322,355,380,403,425,453,472
60-day:, 269,313,351,380,416,442,467,489,517,536

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,17,19,20
10-min:, 11,14,16,18,21,23,24,26,28,29
15-min:, 14,17,20,23,26,28,30,32,35,37
30-min:, 18,22,27,31,36,40,43,47,52,55
60-min:, 22,27,34,40,47,53,58,64,71,77
2-hr:, 26,31,39,46,54,61,68,75,84,91
3-hr:, 27,33,42,48,58,65,72,80,91,99
6-hr:, 33,40,49,57,68,77,86,95,108,118
12-hr:, 39,47,57,66,79,89,100,111,126,139
24-hr:, 48,57,69,79,94,105,117,129,146,159
2-day:, 56,67,81,92,107,120,132,145,162,176
3-day:, 60,72,86,98,114,126,139,152,169,183
4-day:, 65,77,92,104,120,133,146,159,176,190
7-day:, 78,92,108,122,139,153,167,180,198,212
10-day:, 90,106,124,138,157,171,186,199,218,231
20-day:, 127,149,172,190,213,231,248,264,285,300
30-day:, 159,186,213,234,261,281,300,319,342,359
45-day:, 204,238,269,293,323,345,366,385,409,425
60-day:, 246,286,321,348,380,404,426,446,469,485

Date/time (GMT):  Thu Feb 29 23:15:13 2024
pyRunTime:  0.03340649604797363
