Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 43.24375576 Degree
Longitude: -75.43719473 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,16,18,19,22,24,27
10-min:, 11,13,16,18,22,25,28,31,35,38
15-min:, 13,15,19,22,26,29,32,36,41,45
30-min:, 17,20,25,30,35,40,44,49,56,61
60-min:, 22,26,32,38,45,51,56,62,71,77
2-hr:, 27,32,40,47,56,63,70,78,88,97
3-hr:, 31,37,46,53,63,71,79,88,100,110
6-hr:, 39,45,56,65,78,87,97,108,123,135
12-hr:, 47,55,68,79,94,106,117,130,149,164
24-hr:, 56,66,81,93,110,123,137,151,171,187
2-day:, 67,77,93,106,124,138,152,167,187,203
3-day:, 75,85,102,115,134,149,163,178,198,214
4-day:, 81,92,109,123,143,158,173,188,208,223
7-day:, 99,110,128,144,164,181,197,212,232,247
10-day:, 116,128,147,164,186,203,220,237,257,272
20-day:, 166,181,206,226,254,275,296,316,340,357
30-day:, 209,226,254,278,310,335,359,381,408,427
45-day:, 262,282,315,341,378,408,435,460,490,509
60-day:, 308,329,365,394,435,467,497,523,555,575

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,16,20,23,26,29,34,37
10-min:, 13,16,20,23,28,32,36,41,48,53
15-min:, 15,18,23,27,33,38,43,48,56,62
30-min:, 21,25,31,37,45,51,59,66,77,85
60-min:, 27,32,40,47,57,65,74,84,97,108
2-hr:, 34,40,49,58,71,81,92,104,121,134
3-hr:, 38,45,56,65,80,91,103,117,136,152
6-hr:, 47,55,68,79,97,111,126,142,166,186
12-hr:, 56,66,82,96,117,133,152,171,200,223
24-hr:, 67,78,97,112,136,154,175,197,228,253
2-day:, 80,91,110,127,152,171,193,216,248,272
3-day:, 88,100,120,137,163,183,206,230,262,286
4-day:, 96,108,129,146,173,194,217,241,273,297
7-day:, 116,129,151,169,198,220,244,271,303,327
10-day:, 135,149,172,192,223,247,273,301,335,359
20-day:, 193,210,239,263,302,331,363,398,439,468
30-day:, 241,261,294,322,367,401,438,479,525,557
45-day:, 302,325,363,395,446,486,528,575,627,663
60-day:, 352,378,419,455,511,555,600,652,708,745

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,12,13,14,15,16,17
10-min:, 9,10,13,15,17,18,20,21,23,24
15-min:, 10,12,15,17,20,22,23,25,27,28
30-min:, 14,16,20,23,27,30,32,34,36,39
60-min:, 17,21,26,30,34,38,40,43,46,49
2-hr:, 22,26,32,37,43,47,51,53,58,62
3-hr:, 25,30,37,42,49,53,57,60,66,71
6-hr:, 31,37,45,52,60,66,71,75,82,88
12-hr:, 38,45,55,64,73,80,87,91,100,107
24-hr:, 46,54,66,76,86,94,101,106,116,123
2-day:, 55,64,76,87,98,107,113,119,128,135
3-day:, 62,70,84,95,106,115,122,127,136,143
4-day:, 68,76,90,101,113,122,129,135,143,149
7-day:, 83,92,107,119,131,141,148,153,161,166
10-day:, 97,107,123,136,149,159,166,171,179,184
20-day:, 141,153,173,189,205,217,225,231,238,243
30-day:, 177,192,215,233,251,265,273,280,288,292
45-day:, 224,240,267,288,308,324,332,339,347,350
60-day:, 263,281,310,333,355,372,381,387,394,397

Date/time (GMT):  Thu Feb 29 23:15:15 2024
pyRunTime:  0.007710933685302734
