Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 43.00491923 Degree
Longitude: -76.19971155 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,13,16,18,20,23,26,30
10-min:, 10,12,16,19,22,25,29,32,38,42
15-min:, 12,14,18,22,26,30,34,38,44,49
30-min:, 16,20,25,30,37,41,47,53,61,68
60-min:, 21,25,32,38,47,53,60,67,78,88
2-hr:, 27,32,40,47,57,64,71,80,92,103
3-hr:, 30,36,45,52,63,71,79,88,101,112
6-hr:, 37,43,54,63,75,85,94,105,121,134
12-hr:, 44,52,65,76,91,102,114,127,146,162
24-hr:, 51,61,76,89,106,119,133,148,170,188
2-day:, 60,70,87,101,120,134,149,165,188,207
3-day:, 67,77,94,109,129,144,159,176,200,219
4-day:, 72,83,101,116,136,151,167,185,209,228
7-day:, 88,99,118,134,155,171,188,206,232,252
10-day:, 102,114,134,151,174,191,209,228,255,276
20-day:, 145,160,184,205,233,254,276,298,328,352
30-day:, 182,199,227,250,282,307,331,356,388,413
45-day:, 228,248,279,305,342,370,397,424,459,485
60-day:, 268,289,323,352,391,421,451,480,516,542

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,16,21,24,28,32,38,43
10-min:, 13,15,20,23,29,34,39,45,54,61
15-min:, 15,18,23,27,35,40,46,53,63,72
30-min:, 20,25,32,38,48,55,64,73,88,100
60-min:, 26,32,41,49,61,71,82,94,112,128
2-hr:, 33,39,50,59,73,84,97,110,131,148
3-hr:, 37,44,56,65,81,93,106,121,143,161
6-hr:, 45,53,66,78,96,110,126,143,169,189
12-hr:, 53,63,79,93,115,131,151,171,202,227
24-hr:, 62,73,91,107,133,151,174,197,232,261
2-day:, 71,84,104,121,148,168,192,217,254,283
3-day:, 79,91,112,130,158,179,204,229,267,297
4-day:, 85,98,119,137,166,188,213,240,278,309
7-day:, 102,116,138,157,188,211,238,266,306,338
10-day:, 119,133,157,177,209,234,262,292,334,367
20-day:, 167,185,213,238,277,307,341,377,426,463
30-day:, 208,228,261,288,333,367,405,446,500,539
45-day:, 260,282,319,351,401,440,482,529,587,629
60-day:, 304,328,368,402,456,498,544,595,655,699

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,12,13,15,15,17,19
10-min:, 8,10,12,15,17,19,21,22,24,27
15-min:, 9,11,15,17,20,22,24,26,29,31
30-min:, 13,16,20,24,28,31,34,36,40,43
60-min:, 17,20,26,30,36,39,43,46,51,55
2-hr:, 21,25,32,37,43,48,52,55,61,66
3-hr:, 24,29,36,42,49,53,58,61,67,72
6-hr:, 30,35,44,51,59,65,70,73,81,87
12-hr:, 36,43,53,62,71,79,85,90,99,107
24-hr:, 43,50,63,73,84,93,100,106,116,125
2-day:, 50,59,72,83,96,105,113,119,130,139
3-day:, 56,65,79,91,104,113,121,128,139,148
4-day:, 61,70,85,97,110,120,128,134,146,156
7-day:, 75,84,100,113,126,137,145,152,164,174
10-day:, 87,98,114,128,142,153,162,169,181,191
20-day:, 125,138,159,175,193,206,216,223,236,247
30-day:, 158,172,196,215,234,249,260,268,282,292
45-day:, 199,216,243,264,286,302,314,322,336,345
60-day:, 235,253,282,305,328,346,357,366,379,387

Date/time (GMT):  Thu Feb 29 23:15:17 2024
pyRunTime:  0.0074079036712646484
