Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.85145728 Degree
Longitude: -77.30874425 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,11,13,15,17,20,22,26,29
10-min:, 10,12,15,18,22,25,28,31,37,41
15-min:, 11,14,18,21,26,29,33,37,43,48
30-min:, 15,19,24,29,35,39,44,50,58,65
60-min:, 19,24,30,36,44,50,56,63,74,83
2-hr:, 24,29,37,44,53,60,68,76,88,98
3-hr:, 27,32,41,49,59,67,75,84,96,106
6-hr:, 32,39,49,58,70,78,88,98,112,123
12-hr:, 39,46,58,68,82,92,102,114,130,143
24-hr:, 47,55,69,80,96,107,120,133,153,168
2-day:, 55,65,80,94,112,126,140,157,180,200
3-day:, 61,71,89,103,123,138,154,172,198,219
4-day:, 66,77,95,111,132,148,164,183,211,234
7-day:, 79,91,112,129,152,170,189,209,239,263
10-day:, 91,105,127,145,170,189,209,231,261,286
20-day:, 129,145,171,192,221,244,266,290,321,345
30-day:, 162,179,207,230,263,288,312,337,368,391
45-day:, 202,222,253,279,314,342,369,394,425,447
60-day:, 237,258,291,319,357,388,416,442,473,494

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,13,16,20,24,28,32,38,44
10-min:, 12,15,19,23,29,33,39,45,54,62
15-min:, 14,17,22,27,34,39,46,53,64,73
30-min:, 19,23,30,36,46,53,62,72,86,99
60-min:, 24,30,38,46,58,68,79,91,109,125
2-hr:, 30,36,46,55,70,81,94,108,129,146
3-hr:, 33,40,51,61,77,89,103,118,140,158
6-hr:, 40,48,61,72,90,103,119,136,161,181
12-hr:, 48,57,72,84,105,120,138,157,185,207
24-hr:, 57,67,84,98,122,139,160,182,215,241
2-day:, 66,78,98,114,142,162,186,212,251,283
3-day:, 73,86,107,125,155,177,203,231,274,309
4-day:, 79,92,115,134,165,188,216,245,290,327
7-day:, 94,109,134,155,190,215,246,277,326,365
10-day:, 108,124,151,174,210,238,270,304,354,394
20-day:, 152,171,202,228,270,302,338,377,429,469
30-day:, 190,210,244,273,319,354,393,435,489,528
45-day:, 237,259,296,328,379,418,459,506,561,600
60-day:, 276,301,341,375,429,471,515,565,621,659

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 5,7,8,10,12,13,14,15,17,18
10-min:, 8,9,12,14,17,18,20,21,24,26
15-min:, 9,11,14,17,19,22,23,25,28,30
30-min:, 12,15,19,22,26,29,32,34,38,41
60-min:, 15,19,24,28,33,37,40,43,48,52
2-hr:, 19,23,29,35,41,45,49,52,57,62
3-hr:, 21,26,33,39,45,50,54,57,63,68
6-hr:, 26,31,39,46,53,59,64,67,74,79
12-hr:, 32,38,47,55,63,69,75,79,86,92
24-hr:, 38,45,56,65,74,82,88,93,102,109
2-day:, 45,53,66,76,88,96,104,109,121,130
3-day:, 50,59,73,84,97,106,115,120,133,144
4-day:, 54,64,79,91,104,114,123,129,142,153
7-day:, 66,76,93,106,121,132,141,148,162,174
10-day:, 76,87,105,120,136,147,157,164,178,189
20-day:, 109,122,143,160,177,190,200,207,219,229
30-day:, 136,151,174,192,211,225,235,242,253,260
45-day:, 172,188,213,234,253,268,277,284,293,299
60-day:, 202,219,246,268,289,305,313,320,327,331

Date/time (GMT):  Thu Feb 29 23:15:19 2024
pyRunTime:  0.009030818939208984
