Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.40337468 Degree
Longitude: -74.30240757 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,13,15,18,21,23,26,30,33
10-min:, 12,14,18,21,26,29,33,37,42,47
15-min:, 14,17,21,25,31,35,39,43,50,55
30-min:, 19,23,30,35,42,48,53,60,68,75
60-min:, 25,30,38,44,54,61,68,76,87,96
2-hr:, 32,38,48,57,68,77,86,96,110,121
3-hr:, 37,44,55,65,78,89,99,111,127,141
6-hr:, 45,55,70,83,100,114,128,144,169,190
12-hr:, 54,66,87,104,127,145,164,187,224,256
24-hr:, 64,79,104,124,153,174,197,225,271,310
2-day:, 76,92,119,141,172,194,219,248,294,334
3-day:, 84,100,128,151,183,206,231,262,307,347
4-day:, 90,107,136,159,192,216,242,273,319,359
7-day:, 105,124,155,181,216,242,270,303,351,392
10-day:, 121,141,174,201,238,266,296,330,379,420
20-day:, 169,192,229,260,303,335,369,405,454,493
30-day:, 210,235,276,310,357,392,428,465,515,553
45-day:, 262,290,335,372,424,464,503,542,592,629
60-day:, 306,336,385,425,481,525,567,607,658,694

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,17,20,25,29,33,38,45,51
10-min:, 15,19,24,28,35,41,47,54,64,72
15-min:, 18,22,28,33,42,48,55,63,75,84
30-min:, 25,30,39,46,57,66,76,87,103,116
60-min:, 32,38,49,58,73,84,97,111,132,148
2-hr:, 41,49,62,74,92,106,122,139,165,185
3-hr:, 47,56,71,84,106,121,140,160,191,215
6-hr:, 57,69,89,106,135,155,181,207,251,287
12-hr:, 68,84,110,132,170,198,233,267,330,383
24-hr:, 80,99,130,157,203,236,278,319,396,461
2-day:, 94,114,148,177,225,260,305,349,426,492
3-day:, 103,124,159,188,238,274,320,365,443,509
4-day:, 111,132,168,198,249,286,333,380,459,525
7-day:, 129,152,191,223,278,318,368,419,501,569
10-day:, 147,172,212,247,305,348,400,454,538,607
20-day:, 204,232,278,317,383,432,489,551,639,707
30-day:, 253,283,333,376,447,501,563,631,720,789
45-day:, 314,347,402,450,528,588,655,730,824,893
60-day:, 365,401,460,511,596,661,733,815,912,982

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,8,10,11,13,15,16,17,19,21
10-min:, 9,11,14,16,19,21,23,25,27,29
15-min:, 11,13,16,19,22,25,27,29,32,35
30-min:, 15,18,22,26,31,34,37,40,44,48
60-min:, 19,23,29,34,39,44,48,51,56,61
2-hr:, 25,29,37,43,50,56,61,64,71,77
3-hr:, 28,34,43,50,58,64,70,75,83,90
6-hr:, 35,42,54,64,75,84,92,98,110,121
12-hr:, 42,52,68,81,97,108,119,127,146,164
24-hr:, 51,63,82,98,117,130,144,154,178,199
2-day:, 61,74,95,112,132,146,161,170,194,215
3-day:, 67,81,103,120,141,156,170,180,203,224
4-day:, 73,87,109,127,148,164,178,188,211,232
7-day:, 86,101,126,146,168,185,200,210,233,254
10-day:, 99,115,141,162,186,203,219,229,252,272
20-day:, 140,158,188,212,238,257,272,283,304,321
30-day:, 175,195,228,254,281,302,316,327,346,360
45-day:, 219,242,278,307,336,358,372,382,399,410
60-day:, 257,281,321,352,382,405,419,429,444,454

Date/time (GMT):  Thu Feb 29 23:15:21 2024
pyRunTime:  0.012518882751464844
