Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.24807863 Degree
Longitude: -78.01156566 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,19,20,21,23
10-min:, 14,17,20,23,25,27,30,31,34,36
15-min:, 18,21,25,28,32,35,37,40,43,45
30-min:, 24,30,36,41,47,52,57,62,68,73
60-min:, 30,37,46,54,63,71,79,87,97,106
2-hr:, 36,44,55,64,77,87,98,110,125,138
3-hr:, 39,48,60,70,84,95,107,119,137,151
6-hr:, 49,59,74,87,104,120,136,153,178,199
12-hr:, 61,73,92,108,132,153,175,200,236,268
24-hr:, 70,85,109,129,159,185,214,246,294,336
2-day:, 82,99,127,149,182,210,241,274,322,363
3-day:, 87,106,134,158,193,223,255,290,341,384
4-day:, 93,112,142,168,205,236,270,306,360,406
7-day:, 107,129,162,189,228,261,296,335,390,436
10-day:, 122,146,181,209,250,283,318,355,408,452
20-day:, 162,193,233,265,308,342,378,413,462,500
30-day:, 198,235,278,312,356,390,424,457,501,534
45-day:, 248,293,343,380,428,464,499,532,575,606
60-day:, 293,344,397,437,488,526,561,595,638,668

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,17,19,20,22,24,25
10-min:, 16,19,22,25,28,30,32,35,37,39
15-min:, 20,24,28,31,35,38,41,44,47,49
30-min:, 27,33,40,46,52,58,63,68,75,80
60-min:, 34,41,51,59,70,78,86,95,107,117
2-hr:, 40,49,61,72,86,98,109,122,139,154
3-hr:, 45,54,68,80,95,108,121,135,155,171
6-hr:, 57,68,85,100,120,137,156,175,203,227
12-hr:, 70,84,105,124,150,173,198,226,267,303
24-hr:, 78,95,121,144,177,206,237,272,324,370
2-day:, 91,110,140,164,200,231,264,301,355,400
3-day:, 96,116,148,174,212,244,280,318,375,423
4-day:, 102,123,156,184,224,258,295,336,395,445
7-day:, 118,142,178,207,250,286,325,367,429,481
10-day:, 133,160,198,228,272,308,346,387,446,494
20-day:, 174,207,250,284,330,367,405,444,498,540
30-day:, 212,251,297,332,379,416,452,488,536,573
45-day:, 264,311,363,403,453,492,529,565,611,645
60-day:, 310,364,420,462,515,555,593,629,675,709

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,17,18,19,20
10-min:, 13,15,18,20,23,25,26,28,30,31
15-min:, 16,19,23,26,29,31,33,35,37,39
30-min:, 22,27,33,37,43,47,51,54,59,63
60-min:, 27,34,42,48,57,63,70,76,85,92
2-hr:, 32,39,49,57,68,77,86,95,108,118
3-hr:, 35,42,53,61,73,82,92,102,116,127
6-hr:, 43,52,64,76,90,103,115,129,147,163
12-hr:, 54,65,81,95,115,131,149,168,195,219
24-hr:, 64,77,98,116,142,165,189,215,253,285
2-day:, 75,91,115,135,164,188,214,242,281,314
3-day:, 80,97,123,144,175,200,228,257,299,333
4-day:, 85,102,130,153,185,212,241,272,316,352
7-day:, 98,118,148,172,207,235,266,297,343,380
10-day:, 112,134,166,192,228,257,287,319,363,398
20-day:, 151,180,217,246,285,316,347,378,420,452
30-day:, 186,221,261,292,332,363,393,423,461,489
45-day:, 234,276,322,357,401,434,465,495,532,559
60-day:, 277,326,376,413,460,495,527,557,595,621

Date/time (GMT):  Thu Feb 29 23:15:23 2024
pyRunTime:  0.010927438735961914
