Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.63311826 Degree
Longitude: -75.03367661 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,13,16,18,20,23,27,31
10-min:, 10,12,16,19,23,26,29,33,39,44
15-min:, 12,14,18,22,27,30,34,39,45,51
30-min:, 16,19,25,29,36,40,46,52,61,69
60-min:, 20,24,31,37,45,51,57,65,77,87
2-hr:, 25,30,38,45,54,61,68,77,90,101
3-hr:, 29,35,43,51,61,68,76,85,100,111
6-hr:, 36,43,54,63,75,84,94,106,123,138
12-hr:, 44,53,67,78,94,106,119,134,157,176
24-hr:, 53,63,80,94,114,128,143,162,190,215
2-day:, 62,74,93,108,130,146,163,183,214,240
3-day:, 69,81,101,117,139,156,174,194,225,251
4-day:, 76,88,108,124,147,164,182,203,233,258
7-day:, 92,104,125,142,166,183,202,222,251,275
10-day:, 107,120,142,160,184,203,222,242,271,293
20-day:, 154,169,194,215,244,266,288,310,338,359
30-day:, 193,210,239,262,295,320,344,368,398,419
45-day:, 243,262,295,322,359,388,416,441,472,494
60-day:, 284,306,342,372,412,445,475,503,536,557

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,16,21,24,29,33,41,47
10-min:, 12,15,19,23,30,35,41,47,57,66
15-min:, 14,18,23,27,35,41,48,55,68,78
30-min:, 19,24,31,37,47,55,64,74,91,105
60-min:, 24,30,39,46,59,69,81,93,114,132
2-hr:, 31,37,47,56,70,81,95,109,132,151
3-hr:, 36,42,53,62,79,90,105,120,145,166
6-hr:, 44,52,66,77,96,111,129,147,177,203
12-hr:, 53,64,81,95,120,138,161,184,224,256
24-hr:, 63,76,96,114,144,165,193,221,268,308
2-day:, 74,88,110,130,162,187,217,247,298,341
3-day:, 82,96,120,139,173,198,229,260,311,354
4-day:, 89,103,127,147,182,207,238,270,321,363
7-day:, 107,122,147,168,203,229,260,293,342,382
10-day:, 125,140,166,187,224,251,283,318,367,405
20-day:, 177,195,225,250,293,325,361,401,452,490
30-day:, 222,242,276,304,351,388,428,473,527,566
45-day:, 278,301,339,371,425,467,512,563,622,663
60-day:, 324,350,392,427,487,533,582,639,701,744

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,12,14,15,16,18,20
10-min:, 8,10,13,15,17,19,21,22,25,28
15-min:, 9,12,15,17,21,23,25,26,30,33
30-min:, 13,15,20,23,28,31,33,35,40,44
60-min:, 16,19,25,29,35,38,42,44,50,55
2-hr:, 21,25,31,36,42,46,50,53,59,64
3-hr:, 24,28,35,41,47,52,56,59,65,71
6-hr:, 30,35,44,51,59,64,69,73,81,88
12-hr:, 37,44,55,64,74,81,88,92,103,113
24-hr:, 44,53,67,78,90,99,107,112,126,138
2-day:, 53,62,78,90,104,113,122,128,142,155
3-day:, 59,69,85,98,112,122,130,136,150,162
4-day:, 64,74,91,104,118,128,137,142,155,167
7-day:, 78,89,106,120,134,144,152,156,168,178
10-day:, 92,103,121,135,149,159,167,171,182,190
20-day:, 133,146,167,183,198,210,216,220,228,234
30-day:, 168,182,206,224,240,253,259,262,269,273
45-day:, 211,228,255,276,294,308,313,315,320,322
60-day:, 249,267,297,320,339,354,359,360,364,366

Date/time (GMT):  Thu Feb 29 23:15:25 2024
pyRunTime:  0.007340669631958008
