Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.62269337 Degree
Longitude: -78.48553191 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,19,20,22,24
10-min:, 13,15,18,21,24,26,28,31,34,36
15-min:, 16,19,23,26,30,33,35,38,42,45
30-min:, 21,25,32,36,42,47,52,57,64,69
60-min:, 26,31,40,47,56,63,70,78,90,99
2-hr:, 31,37,48,56,68,78,89,100,117,131
3-hr:, 33,40,51,60,73,83,95,107,126,141
6-hr:, 41,50,63,74,89,103,117,133,157,177
12-hr:, 51,61,77,90,111,128,147,169,202,230
24-hr:, 60,72,91,107,130,149,170,192,224,250
2-day:, 70,84,105,123,149,170,192,216,249,275
3-day:, 74,89,112,131,158,180,203,228,263,290
4-day:, 79,95,119,139,167,190,215,240,276,305
7-day:, 92,110,136,157,187,210,235,260,295,323
10-day:, 105,125,153,175,204,228,251,275,307,333
20-day:, 141,167,199,224,258,284,310,336,370,395
30-day:, 173,204,238,265,299,325,351,375,406,429
45-day:, 216,253,292,321,357,384,410,434,463,482
60-day:, 257,301,343,374,412,439,464,487,514,532

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,25,27
10-min:, 14,17,20,23,26,29,31,34,37,40
15-min:, 17,21,25,29,33,36,39,42,47,50
30-min:, 23,28,35,40,47,52,57,63,71,77
60-min:, 29,35,44,52,61,69,78,86,99,109
2-hr:, 34,42,53,63,76,87,98,111,130,146
3-hr:, 37,45,57,67,81,93,105,119,140,157
6-hr:, 46,56,70,82,99,114,130,148,174,197
12-hr:, 57,69,87,101,123,143,164,188,225,258
24-hr:, 66,80,101,119,144,165,187,212,246,275
2-day:, 76,92,116,135,163,185,209,235,272,301
3-day:, 82,98,123,144,173,196,222,249,287,317
4-day:, 87,104,131,152,183,208,234,262,302,334
7-day:, 101,121,150,172,205,231,258,286,324,354
10-day:, 114,137,167,190,222,248,274,300,335,364
20-day:, 152,181,215,242,279,307,335,363,400,428
30-day:, 185,218,255,283,320,347,375,401,436,460
45-day:, 229,269,309,340,379,408,435,461,492,513
60-day:, 272,318,362,395,435,464,491,515,544,564

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,18,19,21
10-min:, 11,14,17,19,21,23,25,27,29,31
15-min:, 14,17,21,23,26,29,31,33,36,39
30-min:, 19,23,28,33,38,42,46,50,55,59
60-min:, 23,28,36,42,49,56,62,68,77,84
2-hr:, 28,34,43,50,61,69,78,87,101,112
3-hr:, 30,36,46,54,65,74,83,93,108,119
6-hr:, 37,45,56,66,79,90,102,115,134,149
12-hr:, 46,55,69,81,98,112,128,145,170,191
24-hr:, 54,66,83,97,117,134,151,170,196,216
2-day:, 64,77,96,112,134,153,172,191,219,240
3-day:, 68,82,103,119,143,162,182,203,231,254
4-day:, 72,87,109,127,152,172,193,215,244,267
7-day:, 84,101,125,143,170,190,212,233,262,285
10-day:, 97,116,141,160,187,208,228,249,276,298
20-day:, 131,155,185,208,238,262,285,308,336,358
30-day:, 162,192,224,248,280,303,326,348,375,394
45-day:, 203,239,275,302,336,360,383,405,431,448
60-day:, 244,286,325,354,390,415,438,459,483,499

Date/time (GMT):  Thu Feb 29 23:15:28 2024
pyRunTime:  0.05881190299987793
