Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.6801638 Degree
Longitude: -80.2865648 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,20,22,23,25
10-min:, 16,19,23,25,28,30,32,34,37,39
15-min:, 20,24,29,32,36,38,41,43,47,49
30-min:, 27,33,41,46,53,58,63,68,74,79
60-min:, 34,42,52,60,70,78,87,95,106,115
2-hr:, 43,53,66,77,92,103,116,128,147,162
3-hr:, 47,58,73,85,101,114,128,143,163,181
6-hr:, 60,73,93,108,129,147,167,187,217,243
12-hr:, 76,93,118,138,167,192,219,248,293,331
24-hr:, 87,105,135,159,196,227,261,299,357,406
2-day:, 103,125,159,187,228,262,298,339,398,448
3-day:, 109,132,168,198,240,275,314,356,418,470
4-day:, 115,140,177,208,252,289,329,373,437,492
7-day:, 130,157,196,228,273,311,352,395,459,512
10-day:, 149,178,220,253,301,339,380,423,484,535
20-day:, 200,239,289,327,380,421,463,506,565,612
30-day:, 247,293,346,387,439,479,518,557,609,648
45-day:, 312,369,431,477,536,580,622,664,717,757
60-day:, 370,435,502,551,614,661,705,748,802,842

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,21,22,24,26,28
10-min:, 17,21,25,27,31,33,36,38,41,43
15-min:, 22,26,31,35,39,42,45,48,52,54
30-min:, 30,36,45,50,58,63,69,75,82,88
60-min:, 37,45,57,66,77,86,95,105,118,129
2-hr:, 47,58,73,84,100,113,127,142,163,181
3-hr:, 51,64,80,93,111,126,141,158,182,202
6-hr:, 65,80,101,118,141,161,183,206,240,271
12-hr:, 83,102,129,150,182,209,238,271,322,366
24-hr:, 95,115,147,173,212,246,283,324,387,442
2-day:, 112,136,173,203,247,284,324,368,434,491
3-day:, 118,143,182,214,259,298,340,386,454,513
4-day:, 124,151,191,225,272,312,355,403,474,535
7-day:, 140,168,210,244,292,333,377,424,494,553
10-day:, 159,191,235,271,321,362,405,452,520,576
20-day:, 214,255,308,349,405,449,494,540,605,657
30-day:, 262,311,368,410,466,508,550,592,648,691
45-day:, 331,391,456,504,567,614,660,705,765,810
60-day:, 391,459,530,582,649,698,746,792,852,897

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,19,20,21
10-min:, 15,18,21,23,26,27,29,31,32,34
15-min:, 18,22,26,29,33,35,37,39,41,42
30-min:, 25,31,37,42,48,52,56,60,65,68
60-min:, 31,38,48,55,64,71,78,84,93,100
2-hr:, 39,48,61,70,83,93,103,113,127,138
3-hr:, 43,53,67,78,92,103,114,125,141,154
6-hr:, 55,68,85,99,117,132,148,164,187,205
12-hr:, 70,86,108,126,151,172,193,216,249,276
24-hr:, 80,97,124,146,178,205,234,266,312,350
2-day:, 95,116,147,172,208,238,269,303,351,391
3-day:, 101,122,155,182,220,251,284,319,369,411
4-day:, 107,129,164,192,231,264,298,335,387,431
7-day:, 122,146,183,212,253,287,322,359,411,454
10-day:, 139,167,206,237,279,313,349,386,437,478
20-day:, 188,224,270,306,354,392,429,466,516,555
30-day:, 233,276,326,363,412,448,484,518,562,595
45-day:, 295,349,407,450,505,546,584,621,668,702
60-day:, 351,412,475,522,580,623,663,701,749,784

Date/time (GMT):  Thu Feb 29 23:15:30 2024
pyRunTime:  0.09417605400085449
