Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.68314479 Degree
Longitude: -79.35084086 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,17,18,19
10-min:, 11,13,16,18,20,22,24,26,28,30
15-min:, 14,16,20,23,26,28,31,33,36,38
30-min:, 18,22,28,32,38,42,46,50,56,60
60-min:, 23,28,36,42,50,57,63,70,80,87
2-hr:, 26,32,41,49,60,69,79,90,105,119
3-hr:, 29,34,44,52,63,73,84,96,113,128
6-hr:, 35,42,53,63,77,90,103,119,142,162
12-hr:, 43,52,65,77,95,111,129,150,182,211
24-hr:, 53,64,80,94,116,135,157,182,220,254
2-day:, 62,74,92,107,131,151,173,197,234,266
3-day:, 69,82,101,117,141,161,183,207,245,276
4-day:, 75,90,110,127,151,171,193,217,255,287
7-day:, 87,104,125,143,167,188,209,231,266,296
10-day:, 101,119,141,159,184,203,222,242,274,303
20-day:, 137,160,185,205,232,253,273,293,320,340
30-day:, 169,197,224,247,275,297,318,338,364,383
45-day:, 210,245,276,301,332,356,378,399,425,443
60-day:, 250,291,326,353,387,412,435,457,483,501

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,16,17,19,20,22
10-min:, 12,15,18,20,23,25,27,29,32,34
15-min:, 15,18,22,25,29,31,34,36,40,42
30-min:, 21,25,31,36,42,47,51,56,62,67
60-min:, 26,31,40,47,56,63,70,78,89,98
2-hr:, 29,35,46,54,66,77,88,100,118,134
3-hr:, 32,38,49,57,70,81,93,107,127,145
6-hr:, 39,47,59,69,85,99,115,132,159,183
12-hr:, 48,57,72,85,105,123,144,168,205,240
24-hr:, 60,72,90,106,131,153,178,207,251,291
2-day:, 69,83,102,120,146,169,194,223,267,306
3-day:, 76,91,112,130,156,179,205,233,278,317
4-day:, 83,99,121,140,167,190,215,243,288,327
7-day:, 95,113,137,157,184,206,230,256,297,334
10-day:, 109,129,154,173,200,221,243,266,303,338
20-day:, 147,172,199,221,250,273,296,319,351,375
30-day:, 180,210,240,264,295,319,342,365,396,418
45-day:, 223,260,293,319,353,379,403,427,457,479
60-day:, 266,308,345,374,411,438,464,488,518,539

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,9,10,11,12,13,14,15,16
10-min:, 10,12,14,16,18,20,21,22,24,25
15-min:, 12,15,18,20,23,25,27,28,30,32
30-min:, 17,20,25,29,33,37,40,43,47,50
60-min:, 20,25,32,37,44,50,55,60,68,73
2-hr:, 24,29,37,44,53,61,69,78,90,100
3-hr:, 26,31,40,47,57,65,74,84,98,109
6-hr:, 32,39,49,57,70,80,91,104,121,136
12-hr:, 40,47,59,70,85,98,113,129,153,173
24-hr:, 48,58,72,84,103,119,136,155,183,206
2-day:, 56,67,83,97,116,133,150,169,196,218
3-day:, 63,75,92,106,126,143,160,179,206,229
4-day:, 69,82,100,115,136,153,170,189,217,240
7-day:, 80,95,115,131,152,169,186,204,231,254
10-day:, 93,110,131,147,168,185,201,217,243,266
20-day:, 127,150,173,191,215,233,251,267,288,304
30-day:, 158,185,211,231,257,277,295,312,333,348
45-day:, 198,231,260,283,311,332,352,370,391,406
60-day:, 236,275,308,333,364,386,407,426,447,462

Date/time (GMT):  Thu Feb 29 23:15:32 2024
pyRunTime:  0.01183772087097168
