Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.40222298 Degree
Longitude: -77.25944941 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,16,17,19,21,23,25
10-min:, 13,16,19,21,24,26,29,31,35,37
15-min:, 16,19,23,26,30,33,36,39,43,47
30-min:, 21,26,32,37,43,48,53,58,66,72
60-min:, 26,32,40,47,56,63,71,80,92,102
2-hr:, 30,36,46,54,66,76,88,101,121,139
3-hr:, 33,39,50,58,71,82,95,109,132,152
6-hr:, 41,49,61,71,87,101,116,134,161,186
12-hr:, 50,61,75,88,107,125,145,168,204,237
24-hr:, 60,72,89,104,128,150,176,206,254,298
2-day:, 69,83,103,121,149,174,204,239,295,346
3-day:, 74,88,109,127,156,182,212,248,305,358
4-day:, 78,93,115,134,163,190,221,258,316,369
7-day:, 92,109,133,154,187,216,249,288,350,405
10-day:, 106,126,151,174,207,237,271,310,370,424
20-day:, 144,170,199,224,260,292,327,366,425,476
30-day:, 179,210,242,269,308,342,378,417,476,525
45-day:, 226,263,299,328,370,405,442,482,539,587
60-day:, 269,314,353,386,432,470,510,553,615,665

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,18,19,21,23,26,28
10-min:, 15,18,21,24,27,30,32,35,39,42
15-min:, 18,22,26,29,34,37,41,44,49,53
30-min:, 24,29,36,41,48,54,60,65,74,81
60-min:, 30,36,46,53,63,71,80,90,103,115
2-hr:, 34,41,52,61,74,86,99,113,136,156
3-hr:, 37,45,57,66,81,93,107,123,149,171
6-hr:, 46,56,69,81,98,113,130,150,180,208
12-hr:, 57,68,85,99,120,139,161,186,226,262
24-hr:, 66,79,99,115,141,164,191,223,274,320
2-day:, 77,93,115,134,164,191,223,260,321,376
3-day:, 81,98,120,140,171,199,232,270,331,387
4-day:, 86,103,126,147,178,207,241,280,342,399
7-day:, 100,119,145,168,203,234,270,311,377,436
10-day:, 114,136,164,187,223,255,291,333,397,454
20-day:, 154,181,212,238,276,310,346,388,450,504
30-day:, 190,223,257,285,326,361,399,441,503,556
45-day:, 239,278,316,347,390,427,466,508,569,620
60-day:, 284,330,371,405,453,493,535,580,646,699

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,14,15,16,18,20,21
10-min:, 12,14,16,18,21,23,25,27,30,32
15-min:, 14,17,20,23,26,29,31,34,37,40
30-min:, 19,23,28,32,37,42,46,50,56,61
60-min:, 23,28,36,41,49,55,62,69,79,87
2-hr:, 26,32,41,47,57,66,76,86,103,117
3-hr:, 29,35,44,51,62,71,82,94,112,127
6-hr:, 36,44,54,63,77,88,101,115,137,156
12-hr:, 45,54,67,78,94,109,125,144,172,197
24-hr:, 55,66,81,95,116,134,156,181,220,255
2-day:, 63,76,94,109,134,155,180,209,254,294
3-day:, 67,81,100,116,141,163,189,219,265,307
4-day:, 72,86,105,122,148,172,198,229,276,319
7-day:, 85,101,123,142,171,196,225,258,309,354
10-day:, 98,117,141,161,191,218,247,280,331,375
20-day:, 136,160,187,210,243,272,303,337,388,430
30-day:, 169,199,229,254,290,320,352,387,438,481
45-day:, 214,250,284,311,350,382,416,452,503,545
60-day:, 257,299,336,366,409,445,481,520,575,620

Date/time (GMT):  Thu Feb 29 23:15:34 2024
pyRunTime:  0.09684062004089355
