Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.20523707 Degree
Longitude: -77.39367749 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,13,15,17,18,20,21,23,24
10-min:, 16,18,21,24,27,29,31,33,36,38
15-min:, 20,23,27,31,34,37,40,42,45,47
30-min:, 27,32,39,44,51,56,61,66,71,76
60-min:, 33,40,49,58,68,76,84,92,103,111
2-hr:, 40,48,59,70,84,95,107,119,136,150
3-hr:, 43,51,64,76,91,104,117,131,150,167
6-hr:, 52,62,77,91,111,127,145,164,190,214
12-hr:, 61,74,92,110,135,157,180,206,243,277
24-hr:, 71,86,111,131,161,187,215,245,291,329
2-day:, 83,100,128,151,183,211,241,273,320,359
3-day:, 87,106,135,159,193,222,252,286,334,374
4-day:, 92,112,142,167,202,232,264,299,349,390
7-day:, 107,129,161,188,225,257,290,325,376,418
10-day:, 122,147,181,209,248,280,313,348,397,437
20-day:, 165,197,238,271,315,350,385,422,471,510
30-day:, 205,243,288,323,368,403,438,472,517,551
45-day:, 257,304,355,394,445,483,520,556,603,637
60-day:, 306,361,417,460,515,555,594,632,680,715

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,20,22,23,25,27
10-min:, 17,21,24,27,30,33,35,37,40,42
15-min:, 22,26,30,34,38,41,44,47,50,52
30-min:, 30,36,43,49,56,62,68,73,80,85
60-min:, 37,45,55,64,75,84,93,102,114,124
2-hr:, 45,53,66,78,93,106,119,132,151,167
3-hr:, 48,58,72,85,102,116,131,146,168,187
6-hr:, 59,70,87,103,124,143,162,183,213,239
12-hr:, 70,84,105,125,152,176,202,230,271,308
24-hr:, 79,95,122,145,177,206,236,270,319,361
2-day:, 91,110,140,165,201,231,264,299,351,394
3-day:, 96,116,148,174,211,242,276,313,366,411
4-day:, 101,122,155,182,221,253,288,326,382,428
7-day:, 117,141,176,205,246,280,317,356,412,459
10-day:, 133,159,197,226,269,303,340,378,432,477
20-day:, 177,212,256,290,338,376,414,454,509,552
30-day:, 219,259,307,344,393,430,467,504,554,592
45-day:, 273,322,377,419,472,513,553,592,643,682
60-day:, 324,381,441,486,544,587,629,669,721,760

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,16,17,19,20,21
10-min:, 14,17,19,22,24,26,28,29,31,33
15-min:, 18,21,24,27,31,33,35,37,39,41
30-min:, 24,29,35,40,45,50,54,58,62,66
60-min:, 30,36,44,52,60,67,74,81,90,97
2-hr:, 36,43,53,63,74,84,94,104,117,129
3-hr:, 38,46,57,67,80,91,102,114,129,142
6-hr:, 46,55,68,81,97,111,126,141,162,179
12-hr:, 55,66,82,98,118,137,156,176,204,229
24-hr:, 65,79,101,119,146,168,191,216,253,283
2-day:, 76,92,117,137,167,190,216,243,281,312
3-day:, 80,97,124,145,175,200,227,255,294,326
4-day:, 85,103,130,153,184,211,238,267,308,341
7-day:, 99,119,148,173,206,234,262,293,335,369
10-day:, 113,136,168,193,228,256,285,315,357,389
20-day:, 154,184,222,252,292,323,355,386,429,461
30-day:, 192,228,270,302,344,376,406,437,476,505
45-day:, 242,285,334,370,417,451,485,517,558,588
60-day:, 289,340,394,433,484,521,557,591,633,664

Date/time (GMT):  Thu Feb 29 23:15:36 2024
pyRunTime:  0.0716552734375
