Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.00842541 Degree
Longitude: -75.13326719 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,15,17,18,19,20,21
10-min:, 14,17,20,22,25,26,28,30,31,33
15-min:, 18,21,25,28,31,33,35,37,40,41
30-min:, 24,29,36,40,46,50,54,58,63,67
60-min:, 30,37,46,52,61,68,75,82,90,97
2-hr:, 36,44,55,64,75,84,93,103,115,125
3-hr:, 40,48,61,70,83,93,104,115,130,142
6-hr:, 50,60,75,87,105,119,134,150,173,191
12-hr:, 60,73,92,108,131,151,173,196,231,261
24-hr:, 69,84,106,124,151,174,199,227,267,301
2-day:, 80,96,122,143,173,199,226,255,298,334
3-day:, 84,102,128,150,181,207,234,264,307,343
4-day:, 89,107,134,156,188,215,243,273,316,352
7-day:, 103,124,154,178,214,243,274,308,356,395
10-day:, 117,140,171,197,232,261,290,322,366,403
20-day:, 158,188,225,254,293,324,355,387,430,463
30-day:, 197,233,272,303,343,374,405,435,475,504
45-day:, 251,295,340,374,417,449,480,509,545,572
60-day:, 301,352,403,440,487,521,553,583,620,646

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,15,17,18,19,21,22,23
10-min:, 15,18,22,24,27,29,31,33,35,37
15-min:, 19,23,27,30,34,36,39,41,44,46
30-min:, 26,32,39,44,50,55,60,64,70,74
60-min:, 33,40,50,57,67,74,82,90,100,108
2-hr:, 40,48,61,70,82,92,103,113,128,139
3-hr:, 44,53,67,77,91,103,115,127,145,159
6-hr:, 55,66,83,96,115,131,148,166,193,215
12-hr:, 67,80,101,119,144,166,191,218,259,294
24-hr:, 75,91,114,134,163,188,215,244,287,324
2-day:, 87,105,132,155,187,215,244,276,323,362
3-day:, 91,110,139,162,195,223,253,286,333,371
4-day:, 96,116,145,169,203,232,262,295,342,381
7-day:, 112,134,166,193,231,262,296,331,383,426
10-day:, 126,150,184,211,249,279,311,345,393,433
20-day:, 168,200,239,269,311,343,376,410,456,493
30-day:, 208,245,287,319,361,394,426,459,501,533
45-day:, 264,310,357,392,438,472,504,535,574,602
60-day:, 315,370,423,462,511,547,581,613,652,680

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,18
10-min:, 13,15,18,20,22,24,25,26,28,29
15-min:, 16,19,23,25,28,30,32,33,35,36
30-min:, 22,27,33,37,42,45,49,52,56,58
60-min:, 28,33,42,48,55,61,67,73,80,85
2-hr:, 33,40,50,58,68,75,83,91,100,108
3-hr:, 36,44,55,63,75,84,93,101,113,122
6-hr:, 45,55,68,79,94,106,118,131,148,161
12-hr:, 55,66,84,98,118,134,151,170,195,216
24-hr:, 64,77,98,114,138,158,180,203,236,263
2-day:, 73,89,112,131,158,181,204,229,264,293
3-day:, 78,94,118,138,166,189,213,238,274,303
4-day:, 82,99,124,144,173,197,221,247,284,313
7-day:, 96,115,143,165,197,224,251,280,320,352
10-day:, 110,131,160,183,216,241,268,295,333,364
20-day:, 150,178,212,239,276,304,332,361,398,426
30-day:, 187,221,258,287,325,353,381,408,443,469
45-day:, 239,281,323,355,396,426,454,480,513,537
60-day:, 286,336,384,419,463,495,525,553,586,609

Date/time (GMT):  Thu Feb 29 23:15:38 2024
pyRunTime:  0.009954452514648438
