Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.33160376 Degree
Longitude: -75.03251761 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,17,19,21,24,27
10-min:, 12,14,17,20,23,25,28,31,36,40
15-min:, 15,18,21,24,28,31,35,39,45,50
30-min:, 20,24,29,34,40,45,51,57,66,75
60-min:, 24,29,37,43,52,59,68,77,92,105
2-hr:, 29,35,44,52,63,73,84,98,119,138
3-hr:, 32,39,48,56,68,79,91,106,128,149
6-hr:, 41,49,60,70,85,98,114,132,161,188
12-hr:, 51,62,76,89,108,126,147,171,210,246
24-hr:, 62,75,93,109,133,156,184,216,268,317
2-day:, 73,88,109,127,155,181,212,248,307,362
3-day:, 77,92,114,132,162,189,221,260,322,380
4-day:, 81,97,119,138,169,197,231,271,337,398
7-day:, 96,114,139,161,195,227,264,307,377,441
10-day:, 111,132,159,182,218,251,289,332,401,463
20-day:, 150,177,207,232,271,306,344,388,455,514
30-day:, 187,220,253,281,323,359,399,444,511,568
45-day:, 239,278,315,346,392,431,473,519,586,643
60-day:, 288,335,376,411,463,506,553,604,678,739

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,13,14,17,19,21,24,28,31
10-min:, 14,16,20,22,26,29,32,36,41,46
15-min:, 17,20,24,27,32,36,40,44,51,57
30-min:, 22,27,33,38,45,51,57,65,76,86
60-min:, 27,33,42,48,58,67,77,88,105,121
2-hr:, 33,39,50,58,70,82,95,110,134,157
3-hr:, 36,43,54,63,76,88,102,119,145,170
6-hr:, 46,55,67,78,94,109,127,147,181,212
12-hr:, 58,69,85,99,121,140,164,191,236,278
24-hr:, 70,84,104,121,148,173,203,238,295,347
2-day:, 82,98,122,141,173,201,235,274,338,397
3-day:, 85,102,126,146,178,208,242,283,350,412
4-day:, 89,106,130,151,184,214,250,293,363,427
7-day:, 105,126,152,176,213,246,286,332,406,474
10-day:, 121,144,173,198,236,271,311,357,430,496
20-day:, 161,190,222,249,291,327,367,414,485,548
30-day:, 200,234,269,299,343,381,424,471,542,603
45-day:, 254,296,335,367,415,456,501,549,622,683
60-day:, 304,354,397,434,488,533,583,636,714,780

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,15,16,18,20,23
10-min:, 11,13,15,17,20,22,24,27,30,33
15-min:, 13,16,19,21,25,27,30,33,37,41
30-min:, 17,21,26,30,35,39,43,48,56,62
60-min:, 21,26,32,38,45,51,58,66,77,87
2-hr:, 26,31,39,46,55,64,73,84,100,114
3-hr:, 29,35,43,50,60,69,79,91,108,124
6-hr:, 37,44,54,63,76,87,100,114,137,157
12-hr:, 46,55,68,79,96,110,127,146,176,202
24-hr:, 57,68,84,98,119,138,161,187,228,265
2-day:, 67,80,99,115,139,161,187,216,263,306
3-day:, 71,85,104,121,146,170,197,229,279,325
4-day:, 75,89,109,127,154,179,207,241,295,344
7-day:, 88,105,128,147,178,205,237,273,331,382
10-day:, 103,123,147,168,200,229,261,299,356,407
20-day:, 140,165,193,216,252,283,317,355,413,463
30-day:, 176,206,237,263,301,334,370,409,468,517
45-day:, 226,264,298,327,369,405,443,484,544,594
60-day:, 272,317,356,389,436,476,519,565,631,685

Date/time (GMT):  Thu Feb 29 23:15:41 2024
pyRunTime:  0.012710332870483398
