Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.81980341 Degree
Longitude: -79.39731264 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,19,21,21
10-min:, 15,17,21,23,26,27,29,31,33,34
15-min:, 18,22,26,29,32,35,37,39,41,42
30-min:, 25,30,37,42,48,52,57,60,65,69
60-min:, 31,38,48,55,64,71,78,85,93,100
2-hr:, 37,45,57,66,78,88,98,108,122,133
3-hr:, 40,48,61,71,84,95,105,116,131,142
6-hr:, 49,59,75,87,105,119,134,150,172,190
12-hr:, 59,72,91,107,130,150,171,193,227,254
24-hr:, 71,86,110,130,159,185,212,243,288,326
2-day:, 84,102,129,152,184,211,240,272,318,356
3-day:, 89,107,136,160,194,222,253,286,334,374
4-day:, 93,113,143,168,204,234,266,300,351,392
7-day:, 107,129,161,187,224,255,288,324,374,416
10-day:, 121,146,179,207,246,277,310,345,395,434
20-day:, 164,195,235,267,310,344,378,414,461,498
30-day:, 202,240,283,316,359,392,424,455,496,527
45-day:, 254,300,350,388,436,473,507,540,583,614
60-day:, 303,356,411,451,503,541,578,612,656,687

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,20,21,23,24
10-min:, 16,19,23,25,28,30,32,34,36,37
15-min:, 20,24,29,32,35,38,40,42,45,47
30-min:, 27,33,41,46,52,57,62,66,71,75
60-min:, 34,41,52,60,70,77,85,92,102,110
2-hr:, 41,50,63,72,86,96,107,118,133,145
3-hr:, 44,53,67,78,92,104,115,127,143,156
6-hr:, 55,66,83,97,116,131,148,165,189,208
12-hr:, 66,80,101,119,143,164,187,211,248,278
24-hr:, 77,94,120,141,173,200,229,262,310,352
2-day:, 91,111,140,164,199,229,260,295,345,389
3-day:, 97,117,148,174,211,242,275,311,364,409
4-day:, 102,123,156,183,222,255,289,327,383,429
7-day:, 116,140,174,202,242,276,311,350,405,452
10-day:, 131,156,193,222,263,297,333,371,424,469
20-day:, 175,208,251,285,331,367,404,442,494,536
30-day:, 214,253,299,334,379,414,448,482,527,561
45-day:, 268,316,369,408,459,497,534,570,616,650
60-day:, 318,374,431,474,528,568,607,643,690,725

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,16,17,18,19
10-min:, 13,16,19,21,23,25,26,27,29,30
15-min:, 17,20,24,26,29,31,33,35,36,37
30-min:, 23,28,34,38,44,47,51,54,58,60
60-min:, 28,35,43,50,58,64,70,75,83,88
2-hr:, 33,41,51,59,70,78,87,95,106,114
3-hr:, 36,44,55,64,76,84,93,102,114,122
6-hr:, 44,54,68,79,94,106,118,130,148,161
12-hr:, 54,65,83,97,116,132,150,167,193,212
24-hr:, 66,79,101,119,145,167,191,216,252,281
2-day:, 78,94,119,139,168,192,217,244,281,312
3-day:, 82,99,126,147,178,203,229,256,296,328
4-day:, 86,105,132,155,187,213,240,269,310,344
7-day:, 100,120,149,173,206,234,262,292,334,368
10-day:, 113,136,168,193,228,256,285,315,356,389
20-day:, 154,183,221,250,290,320,351,381,422,453
30-day:, 191,227,268,299,339,369,397,425,461,487
45-day:, 241,285,332,368,413,446,477,507,544,571
60-day:, 289,340,391,430,479,514,547,579,617,645

Date/time (GMT):  Thu Feb 29 23:15:43 2024
pyRunTime:  0.03779006004333496
